AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME,ROAD_MSG,ROAD_TRAFFIC_IDX,ROAD_TRFFIC_TIME,ROAD_TRAFFIC_SPD,ACDNT_CNTRL_CNT,WEATHER_TIME,TEMP,SENSIBLE_TEMP,MAX_TEMP,MIN_TEMP,HUMIDITY,WIND_DIRCT,WIND_SPD,PRECIPITATION,PRECPT_TYPE,PCP_MSG,SUNRISE,SUNSET,UV_INDEX_LVL,UV_INDEX,UV_MSG,PM25_INDEX,PM25,PM10_INDEX,PM10,AIR_IDX,AIR_IDX_MVL,AIR_IDX_MAIN,AIR_MSG,NEWS_LIST
경복궁·서촌마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,40.9,59.1,0.4,8.3,22.0,19.3,17.0,15.0,10.1,7.8,24.7,75.3,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,18,0,2023-03-20 15:51,16.5,17.8,16,3,28,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,나쁨,36,보통,55,나쁨,204.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
광화문·덕수궁,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,32000,34000,52.0,48.0,0.1,1.9,17.3,26.2,26.1,16.9,7.4,4.1,36.4,63.6,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,16,0,2023-03-20 15:51,16.5,17.8,16,3,28,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,나쁨,36,보통,55,나쁨,204.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
창덕궁·종묘,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,16000,18000,51.8,48.2,0.0,3.6,22.2,19.6,18.9,17.2,11.4,7.0,33.4,66.6,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,15,0,2023-03-20 15:51,16.5,17.8,16,3,28,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,나쁨,36,보통,55,나쁨,204.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
강남 MICE 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,48.5,51.5,0.0,1.8,22.5,32.0,24.1,12.4,5.3,1.9,33.5,66.5,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,정체,2023-03-20 15:55,13,0,2023-03-20 15:51,16.1,17.3,17,3,23,S,2.6,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,33,보통,60,나쁨,151.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '건조', 'WARN_STRESS': '경보', 'ANNOUNCE_TIME': '2023-03-17 11:00', 'COMMAND': '변경발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-19 16:00', 'COMMAND': '변경발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,45.1,54.9,0.1,5.5,18.7,21.7,19.2,15.6,12.1,7.2,20.7,79.3,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,16,0,2023-03-20 15:51,16.5,17.8,16,3,28,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,나쁨,36,보통,55,나쁨,204.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,64000,66000,47.8,52.2,0.1,2.1,18.4,27.2,23.3,15.6,8.5,4.8,31.4,68.6,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,15,2,2023-03-20 14:00,2023-03-20 17:00,집회및행사,집회/시위,14:00∼17:00 한전서울본부 앞|※행진: 을입구6出→ 서울광장서측→ 숭례문→ 삼각지역12出(4.5km| 1개차로),126.98292973712542,37.56555449428889,2023-03-20 16:00,2023-03-20 14:40,2023-03-20 18:00,공사,시설물보수,을지로 (을지로2가 → 을지로1가) 4차로 시설물보수,126.98692114149299,37.566255968763194,2023-03-20 16:00,2023-03-20 15:51,16.5,17.8,16,3,28,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,35,보통,54,점검중,점검중,,원본 시스템 서비스 점검중입니다.,"{'NEWS_LIST': [{'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
이태원 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,44.4,55.6,0.3,1.8,23.9,28.1,19.1,13.2,8.7,5.0,29.1,70.9,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,19,2023-03-20 10:18,2023-03-20 18:00,공사,시설물보수,이태원로 (이태원역 → 제일기획)2차로 시설물보수,126.99806522590113,37.53455298160681,2023-03-20 16:00,8,2023-03-20 15:51,16.2,17.6,16,3,21,ESE,2.1,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,나쁨,38,보통,55,나쁨,185.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
잠실 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,52000,54000,44.0,56.0,0.3,4.3,26.3,24.7,17.2,13.3,8.7,5.2,23.8,76.2,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,22,0,2023-03-20 15:51,16.3,17.6,17,3,18,SE,2.4,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,나쁨,37,보통,68,나쁨,147.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '건조', 'WARN_STRESS': '경보', 'ANNOUNCE_TIME': '2023-03-17 11:00', 'COMMAND': '변경발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-19 16:00', 'COMMAND': '변경발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
종로·청계 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,36000,38000,53.7,46.3,0.0,2.0,17.9,18.5,18.3,18.4,14.3,10.6,28.3,71.7,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,정체,2023-03-20 15:55,14,0,2023-03-20 15:51,16.5,17.8,16,3,28,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,나쁨,36,보통,55,나쁨,204.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,54000,56000,43.3,56.7,0.1,4.9,36.1,25.4,15.4,9.5,5.4,3.2,27.9,72.1,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,15,0,2023-03-20 15:51,15.1,16,16,3,27,SSE,3.2,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,나쁨,67,보통,80,점검중,점검중,PM-2.5,원본 시스템 서비스 점검중입니다.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,43.8,56.2,0.2,4.9,27.7,27.2,18.4,11.5,6.2,3.8,30.9,69.1,N,2023-03-20 15:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-20 15:55,19,0,2023-03-20 15:51,16.2,17.6,17,3,21,ESE,2.1,-,없음,비 또는 눈 소식이 없어요.,06:38,18:42,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,33,보통,60,나쁨,151.0,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.","{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '건조', 'WARN_STRESS': '경보', 'ANNOUNCE_TIME': '2023-03-17 11:00', 'COMMAND': '변경발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-19 16:00', 'COMMAND': '변경발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
