,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,1692163.027653046,1300.831667685349,1137.513882139456,0.12458372070150757,0.12930735825354012,0.11468874120793343,1.0
1,0 days 13:00:00,2091729.4032186128,1446.2812324090405,1224.077367523296,0.11441165442730093,0.1027700452939485,0.10652618876792798,1.0
2,0 days 14:00:00,1884420.2136669606,1372.741859807211,1117.968972493226,0.09854917004429119,0.08152762444790318,0.09220878589403926,1.0
3,0 days 15:00:00,1647954.8488811238,1283.7269370396198,986.9998734191669,0.08011214090508853,0.06422510850029653,0.0756707358292802,1.0
4,0 days 16:00:00,1770239.0621408892,1330.503311585841,1018.9426788298418,0.06509049539666342,0.059776985306708635,0.06308210662818553,1.0
5,0 days 17:00:00,2112707.910775851,1453.5157070963667,1106.5401432713875,0.0545354806568138,0.059776985306708635,0.05436355196041339,1.0
6,0 days 18:00:00,3058887.7825953322,1748.9676333755672,1319.880684175563,0.05387822483602561,0.059776985306708635,0.05477335785846585,1.0
7,0 days 19:00:00,3487568.2734703682,1867.5032191325315,1427.5966496933534,0.05124586535282754,0.059776985306708635,0.0524428417420845,1.0
8,0 days 20:00:00,3484690.9701727536,1866.732699175957,1419.6544859227126,0.05034749641862341,0.059776985306708635,0.05155680332760145,1.0
9,0 days 21:00:00,3518621.13432971,1875.7987989999647,1430.5343532828463,0.05027611522368549,0.059776985306708635,0.05147980975118325,1.0
10,0 days 22:00:00,3540253.506944779,1881.5561397271088,1438.615449910955,0.05221808434491334,0.06982511152939258,0.05355537278682932,1.0
11,0 days 23:00:00,3594000.6018303023,1895.7849566420507,1504.415539122732,0.05695548490982443,0.06982511152939258,0.058433984571032715,1.0
12,1 days 00:00:00,3629077.691418234,1905.0138297183655,1550.7584252790457,0.06212760066371812,0.06982511152939258,0.06343275758885292,1.0
13,1 days 01:00:00,2964963.548195675,1721.9069510852423,1328.156097221592,0.056210080148756246,0.06572808940361938,0.057162512412892164,1.0
14,1 days 02:00:00,2955982.482188383,1719.2970895654953,1307.2481887680772,0.056140790495033455,0.06572808940361938,0.05709245951368755,1.0
15,1 days 03:00:00,2955367.429091504,1719.1182126577287,1304.1145055421575,0.05664235580478872,0.06572808940361938,0.05759750847876871,1.0
16,1 days 04:00:00,2586756.7059955476,1608.3397358753366,1137.347437496857,0.05232040506411636,0.06151161438885882,0.0530971443626449,1.0
17,1 days 05:00:00,2090984.2644973963,1446.023604405335,968.1939049752476,0.05086698956364616,0.05872148596405276,0.05153830937911453,1.0
18,1 days 06:00:00,1091424.4689401127,1044.7126250505987,717.411676552248,0.046844034444581316,0.05872148596405276,0.04714886124961223,1.0
19,1 days 07:00:00,544455.4871309496,737.8722702005745,549.4866781994001,0.0428662058404304,0.05872148596405276,0.04381342895383403,1.0
20,1 days 08:00:00,676887.4648520501,822.7317089136957,644.002353160654,0.04994839700253547,0.06054723937932831,0.05125215248978512,1.0
