,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,10728031.519928738,3275.3673870161097,2578.737603120321,0.9586645232447535,0.5628557209045243,0.5624461782039656,0.9166666666666666
1,0 days 13:00:00,16766962.87785334,4094.748206892988,3190.3754604463957,0.8741871311033286,0.35618775644080836,0.5219653638060434,0.8333333333333334
2,0 days 14:00:00,21449744.534720685,4631.386891064132,3702.501411164194,0.7367627323753382,0.2568929983314331,0.4624539802537085,0.75
3,0 days 15:00:00,23789860.48441306,4877.485057323401,4030.9276206414747,0.5616407009746798,0.24729998208973908,0.38954438768578864,0.75
4,0 days 16:00:00,24118805.696787413,4911.090072151743,4113.379405570412,0.36070787443425895,0.2400439941455534,0.3047039595567729,0.75
5,0 days 17:00:00,24047413.925681483,4903.816261411258,4075.525615768338,0.24130640778998347,0.2317318914776504,0.23682609628658283,0.75
6,0 days 18:00:00,24261013.79178396,4925.5470550776345,4149.0674140453875,0.19390678419688012,0.1988773742215616,0.20314523379523988,0.75
7,0 days 19:00:00,25328126.288092997,5032.7056627715665,4355.008839394439,0.18283592375470106,0.1988773742215616,0.19535602571119468,0.75
8,0 days 20:00:00,26168991.688370142,5115.563672594658,4567.091011672036,0.20629535643851885,0.2317318914776504,0.21409536790093728,0.75
9,0 days 21:00:00,25178991.934024528,5017.867269470619,4390.5851928917145,0.20855007520074267,0.2317318914776504,0.21093831496631932,0.75
10,0 days 22:00:00,23249114.128133554,4821.73351898812,4127.922691105922,0.23861044561543263,0.23898787942183602,0.2267885841359464,0.75
11,0 days 23:00:00,19100894.73200132,4370.457039258174,3675.3309093735893,0.29468883164684084,0.23898787942183602,0.2548528217243929,0.8333333333333334
12,1 days 00:00:00,17643046.0899414,4200.362614101478,3427.6553803976203,0.36245185127490065,0.260828294663082,0.2950226133484383,0.8333333333333334
13,1 days 01:00:00,11699558.643979723,3420.4617588828155,2848.6450888460586,0.47955680919083843,0.29369789011938296,0.34642345352069137,0.9166666666666666
14,1 days 02:00:00,7086224.737146574,2661.9963818808196,2357.8589505228333,0.6233408538610262,0.35090057841388034,0.40759716145308184,1.0
15,1 days 03:00:00,4807987.746149126,2192.7124175662266,2047.6197530697773,0.7975052317045129,0.4911372175015334,0.4802965252621509,1.0
16,1 days 04:00:00,4526100.611515996,2127.4634218984816,1979.9762382444853,0.9898295862967478,0.7664695490638367,0.563396643628594,1.0
17,1 days 05:00:00,4625152.026041258,2150.6166618068546,2029.0084681286035,1.1081085275069893,0.9524663572755978,0.6308985544816306,1.0
18,1 days 06:00:00,4446035.712013512,2108.5624752455196,1971.0752415580139,1.165913865571066,0.9524663572755978,0.6701409106356246,1.0
