,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 13:00:00,1660919.036860815,1288.7664787931192,1173.0944148699166,0.20482419307268826,0.16238684847045778,0.1771713073712536,1.0
1,0 days 14:00:00,1523844.5745960919,1234.440996806284,1128.8165437423793,0.17950287874608445,0.07875517943029035,0.15693652092939428,1.0
2,0 days 15:00:00,1330580.5950304882,1153.5079518713724,1056.0888959779704,0.15282465902978046,0.07702825724972603,0.1352866805068228,1.0
3,0 days 16:00:00,1103826.116327181,1050.631294188014,938.4702792830857,0.12423706738079938,0.061774421401331284,0.11145335644337194,1.0
4,0 days 17:00:00,1049907.3520134392,1024.649868010258,920.3552721787521,0.10431452861295593,0.061774421401331284,0.09533639467914587,1.0
5,0 days 18:00:00,856845.1483571281,925.6593046888947,821.210792187938,0.0784638442931888,0.05349708108404047,0.07367969550052941,1.0
6,0 days 19:00:00,751764.4222322962,867.0434950060442,779.6679227623513,0.06122849587645064,0.05349708108404047,0.05933223479510438,1.0
7,0 days 20:00:00,696455.8403377756,834.5392982584916,746.8259808152939,0.05276649003094254,0.05238077247885243,0.051916643571679084,1.0
8,0 days 21:00:00,723707.4612635672,850.709974823128,780.0203100078064,0.05645474883011059,0.05349708108404047,0.05544275100753429,1.0
9,0 days 22:00:00,765766.9371686706,875.0811031948242,803.5391521367067,0.0632087823980486,0.05349708108404047,0.06124470328209571,1.0
10,0 days 23:00:00,801232.5949692955,895.1159673300972,827.3572946417333,0.07149855623071645,0.06958324795931509,0.06866092425477706,1.0
11,1 days 00:00:00,887261.2281248979,941.9454485929098,870.4668863583521,0.08771023749884203,0.07702825724972603,0.0825654565333238,1.0
12,1 days 01:00:00,1047714.9997173125,1023.5795033690898,944.8729925942212,0.11155025575759067,0.07875517943029035,0.10250947865636732,1.0
13,1 days 02:00:00,1105751.6617467166,1051.5472703339192,966.0524252718641,0.13139910333333782,0.08289147779362202,0.11887968785546649,1.0
14,1 days 03:00:00,1139127.4779452393,1067.2991511030257,978.4970522468359,0.14964636340381599,0.09789193953289525,0.1340404649312775,1.0
