,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 13:00:00,25137498.76901011,5013.731022802292,4749.431275996723,0.8790898602715862,0.5983105275404998,0.5075420959984348,1.0
1,0 days 14:00:00,22241820.51936587,4716.123463117337,4389.820766916299,0.7193389857677764,0.16554712356138937,0.43185282279854026,1.0
2,0 days 15:00:00,20718527.122598186,4551.760881526861,4236.9659112219,0.5737704595321763,0.15005618740049317,0.36315581146960557,1.0
3,0 days 16:00:00,18499996.367265217,4301.162211224452,3859.5328447745533,0.43654441064331145,0.1241359242694128,0.29138091273502725,1.0
4,0 days 17:00:00,16880205.24569696,4108.552694769407,3627.1057016127234,0.31267743603515474,0.09973133511246488,0.22582304585313567,1.0
5,0 days 18:00:00,21309559.71916827,4616.2278669026155,3939.3025597999836,0.21891270458605108,0.09973133511246488,0.18104294533928003,1.0
6,0 days 19:00:00,19934810.11688486,4464.841555630486,3800.9250799977444,0.14287713507126845,0.09973133511246488,0.1371774044295522,1.0
7,0 days 20:00:00,17460600.740768183,4178.588366992875,3392.742688783511,0.09830547497526737,0.0808009769363056,0.10319004148821503,1.0
8,0 days 21:00:00,16857623.481798854,4105.803634101228,3241.913187221331,0.09365308975337776,0.06444111820270107,0.09806672086601373,1.0
9,0 days 22:00:00,15183479.588771712,3896.5984638876653,2960.026767924147,0.08940052755559871,0.06444111820270107,0.09324052023044388,1.0
10,0 days 23:00:00,15408458.417493857,3925.360928308868,3015.814416307247,0.11615904457597478,0.0808009769363056,0.11485954006308961,1.0
11,1 days 00:00:00,15739950.682210477,3967.3606695396975,3074.39196138444,0.17293800813165452,0.09477287882936555,0.15379421844850774,1.0
12,1 days 01:00:00,15703968.882196758,3962.8233473366886,3068.7617873175604,0.23614775308342867,0.09973133511246488,0.19515483487911395,1.0
13,1 days 02:00:00,12362128.577017738,3515.981879506454,2746.9571493577114,0.3029162600716062,0.09973133511246488,0.23368721025021394,1.0
14,1 days 03:00:00,12568780.945772815,3545.247656479419,2798.0837694786305,0.35983917158891426,0.18490616359010328,0.2735329965306299,1.0
15,1 days 04:00:00,11594207.617522646,3405.026815977026,2629.7798273043913,0.3983547652016346,0.2280782037635234,0.3009814383660852,1.0
16,1 days 05:00:00,11804724.758350035,3435.800453802583,2725.04609003693,0.43520975894448605,0.3965008962152112,0.3303407705768662,1.0
17,1 days 06:00:00,11943975.965466436,3456.005782036025,2756.9665709852193,0.46774165634954906,0.4777407010723138,0.3556680570226221,1.0
18,1 days 07:00:00,5732861.24358737,2394.339416955618,2176.4963178204393,0.4623280626708072,0.4777407010723138,0.34710955494255696,1.0
19,1 days 08:00:00,6163560.591412322,2482.6519271561856,2225.5843698581516,0.46455933776343056,0.4777407010723138,0.3525152839126481,1.0
20,1 days 09:00:00,11894422.546850843,3448.8291559384097,2861.129274209471,0.48387553103520287,0.4777407010723138,0.37508622504568606,1.0
21,1 days 10:00:00,16250702.65860679,4031.2160272809483,3366.939135826949,0.4952055093970197,0.4777407010723138,0.3881684777493446,1.0
22,1 days 11:00:00,19384190.101390973,4402.74801702198,3778.14547064576,0.5010386824801797,0.4777407010723138,0.39486285842325014,1.0
23,1 days 12:00:00,28861894.473162472,5372.326728072528,4468.382329366156,0.4903849151850523,0.4777407010723138,0.3921946993359296,0.9230769230769231
24,1 days 13:00:00,42051528.46247843,6484.714986988898,5258.534632503002,0.45119451196576205,0.29309240257576424,0.3745548366261756,0.8461538461538461
25,1 days 14:00:00,52282910.59185993,7230.69226228443,5935.368500928689,0.4026743546344761,0.27176561600265275,0.3509094561058163,0.7692307692307693
26,1 days 15:00:00,59739555.84939604,7729.136811403719,6490.88404049271,0.3420767926425935,0.2699894588255271,0.3200474880481138,0.6923076923076923
27,1 days 16:00:00,72067627.05513468,8489.265401383955,7300.356494731305,0.3042468128889199,0.2699894588255271,0.3030754698044819,0.6153846153846154
28,1 days 17:00:00,74985048.03130914,8659.390742500835,7655.369854679462,0.27176999656575257,0.2580019213785548,0.2826045585443136,0.6153846153846154
29,1 days 18:00:00,85129562.34446414,9226.568286446707,8416.018249198016,0.25738445539773963,0.2580019213785548,0.27994725092810796,0.5384615384615384
30,1 days 19:00:00,85157447.82320312,9228.079313876919,8421.76532156328,0.228530733027145,0.24576940851322313,0.2586063998170603,0.5384615384615384
31,1 days 20:00:00,86317543.12114376,9290.72349826125,8622.875364972324,0.23252079343067875,0.24576940851322313,0.26537005970989125,0.5384615384615384
32,1 days 21:00:00,87044673.49715303,9329.773496562124,8693.282853701721,0.24309182127802195,0.2580019213785548,0.2797296618605557,0.5384615384615384
33,1 days 22:00:00,83864426.89979951,9157.752284256192,8472.590664020856,0.25931483865404314,0.2580019213785548,0.3044214917715893,0.5384615384615384
34,1 days 23:00:00,80528538.97118796,8973.769496214396,8179.347907144395,0.2818765438912461,0.27176561600265275,0.33814619929414297,0.5384615384615384
35,2 days 00:00:00,77595706.31138761,8808.842506901097,7832.6069279256535,0.3025193744665674,0.2926466125730494,0.36706017229132465,0.5384615384615384
36,2 days 01:00:00,67867207.67842968,8238.15559930921,7078.522016628806,0.3167166045538743,0.29309240257576424,0.3879919572601993,0.6153846153846154
37,2 days 02:00:00,54232854.504707366,7364.295927290495,6205.047695122428,0.3409201414744691,0.3055933696198776,0.42873073214266977,0.6923076923076923
38,2 days 03:00:00,43674020.350359984,6608.632260185158,5469.22195813206,0.3813472100702117,0.35133610180966773,0.5065305557722615,0.7692307692307693
39,2 days 04:00:00,36151449.642269716,6012.607557646658,4902.82726749319,0.43831838837047854,0.4389609263896224,0.6346926665442459,0.8461538461538461
40,2 days 05:00:00,23897223.095619876,4888.47860746264,4108.417665970524,0.48116931902946203,0.44256591251354416,0.7219674939208248,0.9230769230769231
41,2 days 06:00:00,21006330.452595923,4583.266351914966,3760.5820504304284,0.4998454447404595,0.44256591251354416,0.747937933294437,0.9230769230769231
42,2 days 07:00:00,10760495.51357228,3280.3194224910903,2966.28069657214,0.4943330938661696,0.44256591251354416,0.7363015817204919,1.0
43,2 days 08:00:00,12620514.818157574,3552.536392235493,3199.8547993542265,0.5468757599155657,0.48088868471380225,0.7713707075136577,1.0
44,2 days 09:00:00,14586003.147217892,3819.1626238244808,3382.5550583361774,0.572848077455642,0.5042468031721051,0.7864132354428846,1.0
45,2 days 10:00:00,19269525.459116563,4389.706762315287,3689.906576016845,0.5986625935735981,0.5472123992068103,0.7929595604773324,1.0
46,2 days 11:00:00,22581074.83663908,4751.954843707911,3918.154650506531,0.5990125630611327,0.5472123992068103,0.7743062892606114,1.0
47,2 days 12:00:00,26262876.82807972,5124.731878652748,4233.745388467483,0.5905494651912907,0.5472123992068103,0.74777369977467,1.0
48,3 days 17:00:00,31028114.937482163,5570.288586552959,4706.012864156217,0.5914618783438276,0.5472123992068103,0.7328120769266415,1.0
49,3 days 18:00:00,35015956.761498205,5917.428221913487,5153.388832953448,0.5928263672281772,0.5472123992068103,0.7178780647741896,1.0
50,4 days 00:00:00,34696470.010902815,5890.370956985886,5036.63073328308,0.5616985183963045,0.48543828805175265,0.668109098034993,1.0
51,4 days 01:00:00,34258824.31246788,5853.10381869892,4866.404001534813,0.50587424889311,0.46030426801008845,0.5718292536294408,1.0
52,4 days 02:00:00,33590069.75201697,5795.6940699123315,4658.076121785235,0.43771840047661303,0.4508222973726022,0.43024174474450044,1.0
53,4 days 03:00:00,33110146.605638053,5754.141691480846,4501.140481461241,0.38801658605685874,0.4210250741196206,0.3340322883025176,1.0
54,4 days 04:00:00,32859057.04495779,5732.282010243197,4399.2804735445825,0.3731818182206338,0.3942265308641585,0.31282211489998824,1.0
55,4 days 05:00:00,32764962.783837512,5724.0687263377185,4350.879169963423,0.369635635142681,0.3942265308641585,0.3126579256678721,1.0
56,4 days 06:00:00,30457028.914234817,5518.788718028152,3965.927426707436,0.31682057784215234,0.22817309224869678,0.2765293788803713,1.0
57,4 days 07:00:00,27142332.248693623,5209.830347400347,3473.7958491940417,0.2760260723863023,0.20358512368302908,0.2447668099824223,1.0
58,4 days 08:00:00,24510853.404273197,4950.84370630635,3321.253857096996,0.24765333517254406,0.20358512368302908,0.23453019572513378,1.0
59,4 days 09:00:00,24997983.781632964,4999.798374097996,3348.5732599975354,0.2321702010499058,0.20358512368302908,0.22996023070519395,1.0
60,4 days 10:00:00,22611099.316802565,4755.112965724638,3171.301157179471,0.21446950247811156,0.20307634772915056,0.21838133098423104,1.0
61,4 days 11:00:00,20323835.04727957,4508.196429535826,3009.364340900406,0.1919560924394883,0.18783242824072294,0.2032915147515875,1.0
62,4 days 12:00:00,24516936.86111202,4951.458054059634,3245.0209285665096,0.1747795472216157,0.18783242824072294,0.1951905056370563,1.0
63,4 days 13:00:00,27367590.797404107,5231.404285409808,3668.7708884953277,0.1709236330160312,0.16411744943083334,0.1905434384652751,1.0
64,4 days 14:00:00,28698398.895283494,5357.088658523722,3975.2503254045587,0.1738433931992596,0.16411744943083334,0.19374710531905168,1.0
65,4 days 15:00:00,29035583.583488844,5388.467647067099,4118.151730154278,0.17062836523381425,0.16411744943083334,0.1902600853200562,1.0
66,4 days 16:00:00,29406785.419094287,5422.80235847613,4252.456177164339,0.15978617755806496,0.15814796687049984,0.17779890453074365,1.0
67,4 days 17:00:00,30270339.882958837,5501.848769546364,4470.020175311692,0.14949671898025352,0.15294946305655213,0.16560895839968756,1.0
68,4 days 18:00:00,35422687.440332346,5951.696181789889,5051.028705379794,0.15166856537009235,0.15294946305655213,0.1682962331049928,1.0
69,4 days 19:00:00,35536002.47218117,5961.208138639447,5113.7560914327605,0.14824719602035263,0.15294946305655213,0.16512305583138126,1.0
