,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,2629733.946244598,1621.6454440612467,1502.5636166524882,0.36333511216367453,0.31781015730198214,0.29305456301552524,1.0
1,0 days 13:00:00,2383022.2393354555,1543.7040646883895,1413.9555664929549,0.3036902321635739,0.19225514185302883,0.2513513327191134,1.0
2,0 days 14:00:00,2247570.1302095833,1499.1898246084727,1357.862901256102,0.2574087397390144,0.16171188974991169,0.21705593264351622,1.0
3,0 days 15:00:00,2210283.212161905,1486.7021262384424,1338.2871081822025,0.22671756275295393,0.13244105473095819,0.19250621634883636,1.0
4,0 days 16:00:00,2147908.7297513215,1465.5745391317773,1310.7418102825818,0.17769172059243957,0.09995739287857344,0.1568784423572791,1.0
5,0 days 17:00:00,2090752.591421133,1445.9434952380168,1282.718347216477,0.1425296791646312,0.07191909435183587,0.129439473779377,1.0
6,0 days 18:00:00,2652810.716402249,1628.7451354961122,1388.1110391340999,0.10129828646796914,0.07191909435183587,0.10405478210431836,1.0
7,0 days 19:00:00,2675017.5821213163,1635.548098382104,1396.6687228706876,0.09335771155770574,0.07191909435183587,0.09724399370754326,1.0
8,0 days 20:00:00,2360290.764422001,1536.323782417626,1290.8298071774623,0.08453780191660365,0.06659252699425672,0.08721266154946523,1.0
9,0 days 21:00:00,2201839.176369532,1483.8595541255015,1229.2418516973187,0.08272378482719327,0.06659252699425672,0.08518686456022849,1.0
10,0 days 22:00:00,2239557.5206150343,1496.515125421402,1273.0287744682432,0.08997895095584381,0.07630877005091438,0.0928781765769592,1.0
11,0 days 23:00:00,2136364.0174748586,1461.6306022640804,1199.5000489824902,0.08800100650309663,0.06659252699425672,0.09103126900191714,1.0
12,1 days 00:00:00,1572509.9469701636,1253.997586508907,1016.6085733528281,0.08635912265991495,0.06659252699425672,0.0877920858219673,1.0
13,1 days 01:00:00,1593924.3087584248,1262.507151963277,1028.1264892922995,0.11516794897199083,0.08374672298453192,0.1109345540280633,1.0
14,1 days 02:00:00,1555121.6920855518,1247.0451844602712,1000.6436619204666,0.128019244353076,0.09778596709230697,0.12218121925725052,1.0
15,1 days 03:00:00,1497041.0944697522,1223.5363069683515,931.9856543557261,0.12341690108368053,0.09778596709230697,0.11772358745346706,1.0
16,1 days 04:00:00,1420733.3006316747,1191.945175178655,862.9805383675052,0.12416753630027412,0.09778596709230697,0.11812312233894005,1.0
17,1 days 05:00:00,1377319.808799571,1173.5926928877714,829.6802265121396,0.1385671198928812,0.10573147865261083,0.1304889558800287,1.0
18,1 days 06:00:00,513856.67680518207,716.8379710961062,614.9181671548758,0.1433420567763296,0.10573147865261083,0.13157074763793275,1.0
19,1 days 07:00:00,372932.90669189114,610.6823287863266,532.3591911534013,0.13940125404236733,0.09778596709230697,0.1279572787582235,1.0
