,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,32135088.677257106,5668.781939469634,5398.093727480463,0.7085340186566883,0.9473648509340534,0.46643123566935846,1.0
1,0 days 13:00:00,31989604.944556683,5655.93537308876,5386.735136533888,0.6312126332049733,0.5128632452176681,0.42163188966830867,1.0
2,0 days 14:00:00,29638322.271136303,5444.108951071452,5188.623667965724,0.533176356939797,0.1395497543026071,0.3666363739712162,1.0
3,0 days 15:00:00,26015287.40075509,5100.51834628159,4813.638747873394,0.43155133481224267,0.12656127727159186,0.3072253653459179,1.0
4,0 days 16:00:00,22836569.541294098,4778.762344090162,4495.184843461456,0.32327962636889235,0.12354420667225544,0.24620879160400214,1.0
5,0 days 17:00:00,21028902.573576454,4585.728139955143,4295.23070775219,0.24430033269780138,0.12042405776705227,0.19724962167236118,1.0
6,0 days 18:00:00,18783727.85164012,4334.0198259399,4055.357479408592,0.16775128801205294,0.10995528558691481,0.14985274636709295,1.0
7,0 days 19:00:00,15658484.12306423,3957.0802522900935,3787.2123932562913,0.1124231835381374,0.10995528558691481,0.1150340851054293,1.0
8,0 days 20:00:00,15552006.086618913,3943.6031857451017,3764.1215229691406,0.11227192031371518,0.10995528558691481,0.11489962645632756,1.0
9,0 days 21:00:00,14722434.807411281,3836.9825133053814,3651.5570968543943,0.11949862019646845,0.10995528558691481,0.11965559028296852,1.0
10,0 days 22:00:00,15674403.107387846,3959.091197154701,3777.7346595025374,0.15063119549994264,0.11951647842051882,0.14354529223884924,1.0
11,0 days 23:00:00,16692563.04358579,4085.65331906487,3915.7830327160214,0.19171559538444738,0.12263662732572199,0.1740540950721717,1.0
12,1 days 00:00:00,16180364.672276327,4022.4824017360634,3863.872593634262,0.24056561123086762,0.13562510435673725,0.20666882450026805,1.0
13,1 days 01:00:00,14562203.90875423,3816.0455852563173,3715.2624694336096,0.2912255441580448,0.1656631488096735,0.23891197234038272,1.0
14,1 days 02:00:00,14795250.354624972,3846.459457036428,3739.0982345870357,0.35757532889326865,0.21294799805206305,0.2807111128333523,1.0
15,1 days 03:00:00,16175778.035547262,4021.912236181598,3925.642687646394,0.42493844792391905,0.33395173068505224,0.3256282238099731,1.0
16,1 days 04:00:00,16700093.549187412,4086.574794273,3999.9881688021073,0.47836986173546164,0.508718993202802,0.362806400475649,1.0
17,1 days 05:00:00,16594962.757893922,4073.6915393649924,3983.676736130064,0.5180281429735872,0.5663163830404342,0.39161927887967957,1.0
18,1 days 06:00:00,16660763.587201513,4081.759863980427,3993.6450785249594,0.5562597066678855,0.5663163830404342,0.4191907653735456,1.0
19,1 days 07:00:00,16877261.09402315,4108.19438367066,4018.4308878770844,0.5829573079888392,0.5663163830404342,0.4382722619791049,1.0
20,1 days 08:00:00,16519554.436696745,4064.42547436864,3890.7934649794165,0.5755721565540205,0.5663163830404342,0.4314995014378942,1.0
21,1 days 09:00:00,18375480.349708553,4286.6630786322075,4106.4323205196715,0.5722344645422934,0.5663163830404342,0.4312972467963292,1.0
22,1 days 10:00:00,18284777.305615153,4276.070311116873,4096.2831749414145,0.5446922583447021,0.5663163830404342,0.41139004123523865,1.0
23,1 days 11:00:00,20004566.872434735,4472.64651771574,4253.750389260003,0.5109957481484992,0.5640924606124799,0.3892098487817883,1.0
24,1 days 12:00:00,24890035.64969949,4988.991446144149,4613.885428540553,0.46948441325919305,0.545676946067581,0.36535525098724,1.0
25,1 days 13:00:00,28747201.190278396,5361.641650677374,4916.674668111679,0.4233075272742828,0.37212383501156665,0.338513602305112,1.0
26,1 days 14:00:00,30430290.403624166,5516.365687989164,5059.575588861983,0.3618658979665641,0.20879846428650983,0.3024404119323962,1.0
27,1 days 15:00:00,30360657.705972016,5510.050608294992,5052.2854134749605,0.2997965134893918,0.19109516220365338,0.26338861910429306,1.0
28,1 days 16:00:00,31458831.9944372,5608.817343650727,5169.693703272714,0.2520668536484502,0.176224108157577,0.23263305604165552,1.0
29,1 days 17:00:00,33421042.942771357,5781.093576718107,5390.259264855878,0.21886818175531272,0.17233093709349684,0.21122017005742474,1.0
30,1 days 18:00:00,33710105.91864664,5806.0404682233,5430.394508183897,0.18363164194546422,0.1649452905043917,0.18703582876879185,1.0
31,1 days 19:00:00,32034204.14752768,5659.876690134483,5098.478363304127,0.1415775238481282,0.15480850776715754,0.15430480943153457,1.0
32,1 days 20:00:00,32045636.463371444,5660.8865439409265,5106.817391394808,0.1427606259699293,0.15480850776715754,0.1555352916402888,1.0
33,1 days 21:00:00,29783207.990983453,5457.399379831336,4810.742579485356,0.14035289252671382,0.1477477536969698,0.15268900328618126,1.0
34,1 days 22:00:00,28202330.577198263,5310.586650945285,4499.746250378882,0.13578055125583186,0.1477477536969698,0.14764821372076742,1.0
35,1 days 23:00:00,24932734.129846398,4993.268882189943,4077.6392508805234,0.13557582271366725,0.1477477536969698,0.14740661802973332,1.0
36,2 days 00:00:00,18563130.52042498,4308.495157293899,3489.424055353817,0.1387755833255276,0.1477477536969698,0.1515023744345015,1.0
37,2 days 01:00:00,13080363.239728646,3616.678481663617,2899.270598035024,0.13705843301916001,0.1477477536969698,0.14939561274843285,1.0
38,2 days 02:00:00,9422708.868042702,3069.6431173741844,2443.208742610449,0.13995354030567045,0.1477477536969698,0.15295001118331003,1.0
39,2 days 03:00:00,7778586.816963603,2789.011799358978,2184.8560217597765,0.1516638418968028,0.15358013651416988,0.16745678880916692,1.0
40,2 days 04:00:00,5740742.200743579,2395.984599437897,1913.2594999239536,0.1713592777308226,0.16371691925140403,0.19383102423094237,1.0
41,2 days 05:00:00,3770055.2306840275,1941.6630064674014,1691.3341122705926,0.20431070852028813,0.1708651635020678,0.24402169545701632,1.0
42,2 days 06:00:00,3063579.2340962435,1750.3083254376195,1580.0508260003182,0.23085404365470083,0.19816290408451037,0.28093042916325256,1.0
43,2 days 07:00:00,3062606.169981996,1750.0303340176695,1579.1285879060608,0.2358831492660376,0.19816290408451037,0.28562727896664936,1.0
44,2 days 08:00:00,6273788.595973484,2504.753200611486,2038.7542320835219,0.31219358053490637,0.2318096966519455,0.3358248793709258,1.0
45,2 days 09:00:00,17292077.153271496,4158.374340204535,2841.647495816789,0.4216813777401713,0.2616551749697381,0.3930223195882008,1.0
46,2 days 10:00:00,37975476.77765611,6162.42458596096,4099.415482358223,0.5620589832676585,0.32889597041852414,0.46502244561368605,0.9166666666666666
47,2 days 11:00:00,55792886.87098059,7469.463626725857,5211.348837456289,0.6508875234349809,0.4207770334679246,0.5140209508943505,0.8333333333333334
48,2 days 12:00:00,71998438.02372031,8485.189333404429,6226.924082013862,0.727664390105813,0.510449785937833,0.5516678315371352,0.75
49,3 days 17:00:00,88039684.01957093,9382.946446589734,7294.744738800764,0.8411987038168012,0.7634311163933702,0.6074523196243992,0.6666666666666666
50,3 days 18:00:00,97131803.86195403,9855.54685757995,8065.498990593627,0.9209414408322031,1.0654427685321304,0.6491492713620098,0.6666666666666666
51,4 days 00:00:00,96909902.19318442,9844.282716032916,7929.707026521678,0.8983123672983075,1.0654427685321304,0.6229531542404426,0.6666666666666666
52,4 days 01:00:00,96563952.99772662,9826.69593493798,7802.284558960971,0.8760430613660364,1.0654427685321304,0.5924456814669763,0.6666666666666666
53,4 days 02:00:00,95887336.57646,9792.207952063722,7646.760598015066,0.8496480026312246,1.0654427685321304,0.5452120051985307,0.6666666666666666
54,4 days 03:00:00,95606962.3753764,9777.881282536437,7580.239067014393,0.8401414594090181,1.0654427685321304,0.5203438194565404,0.6666666666666666
55,4 days 04:00:00,95783162.53421128,9786.88727503343,7665.4840813023075,0.8586405244140436,1.0654427685321304,0.5356993215257231,0.6666666666666666
56,4 days 05:00:00,92592162.45170756,9622.482135691786,7218.313096655867,0.7919078335429098,0.7554221787433544,0.4939909384063081,0.6666666666666666
57,4 days 06:00:00,81498505.48630984,9027.652268796679,6395.863074524498,0.6953848241399285,0.3253227737958854,0.4455065630315304,0.6666666666666666
58,4 days 07:00:00,61606010.83084413,7848.949664180815,5344.619219572559,0.5785799513674909,0.3253227737958854,0.39252825913685857,0.75
59,4 days 08:00:00,44297532.12561525,6655.639122249286,4355.271525301726,0.4872601517998782,0.3052940951759897,0.34064067411837035,0.8333333333333334
60,4 days 09:00:00,31985959.802788585,5655.613123507352,3773.5184356821337,0.4069179211929012,0.2750114955758278,0.2984412342138034,0.9166666666666666
61,4 days 10:00:00,18118155.509752136,4256.542670965738,3049.091724473246,0.2895046879057533,0.22849193057985595,0.2380693099987402,1.0
62,4 days 11:00:00,10619009.348247759,3258.6821490056004,2551.6891370234584,0.20155935054689164,0.18472923963100302,0.18664186586976006,1.0
63,4 days 12:00:00,16543183.148670288,4067.3312071517225,3254.1208848913734,0.21749304343297218,0.20009070746597957,0.20426769697446748,1.0
64,4 days 13:00:00,20624595.956960157,4541.431047253735,3789.9937467321943,0.22154584764208474,0.20009070746597957,0.21014516982953615,1.0
65,4 days 14:00:00,22533083.97828645,4746.902566757238,4098.496049542577,0.2111439138795751,0.17942467619268337,0.2027091333683436,1.0
66,4 days 15:00:00,23832324.511085615,4881.8361823278765,4314.658557233605,0.19163577583441035,0.16406320835770682,0.187864399195702,1.0
67,4 days 16:00:00,24088375.611219432,4907.990995429742,4380.625187184992,0.1710104397938179,0.149201113223479,0.17084741114487453,1.0
68,4 days 17:00:00,25441509.637560874,5043.957735505014,4650.680371252141,0.1666493642565775,0.13264408964336835,0.1680040653746958,1.0
69,4 days 18:00:00,25384318.08058394,5038.285232158253,4633.949773677097,0.1457059921511783,0.12569599260252773,0.15046209119047754,1.0
70,4 days 19:00:00,26076703.54574133,5106.535375941435,4727.179639700764,0.13268727935711738,0.12569599260252773,0.14036490810860128,1.0
71,4 days 20:00:00,29079027.864221226,5392.497368030997,5045.242126793381,0.15655955607067543,0.13055220159727404,0.15758693152996398,1.0
72,4 days 21:00:00,27752514.07611798,5268.0654965668355,4942.83172694953,0.1740726883976816,0.13055220159727404,0.16703629731367173,1.0
73,4 days 22:00:00,31869293.99539792,5645.289540439704,5237.245252888059,0.24370667887701192,0.14541429673150186,0.2092825716668595,1.0
74,4 days 23:00:00,36312107.826741256,6025.952856332454,5574.865103060501,0.329834173245591,0.17942467619268337,0.25998102992863514,1.0
75,5 days 00:00:00,37223999.3194184,6101.147377290472,5627.0068885976825,0.43965981544893046,0.18071914345492257,0.3140074169881469,1.0
76,5 days 01:00:00,40350631.79773261,6352.214715965811,5818.324081249712,0.5669249693415696,0.3042344996072967,0.37524073584040335,1.0
77,5 days 02:00:00,46018931.70840141,6783.725503615356,6207.630310494489,0.7023191565860282,0.41648467029427766,0.44200015603217685,1.0
78,5 days 03:00:00,52331108.940639935,7234.024394528949,6658.154941825437,0.8404548574936362,0.6959111618836575,0.5106640449270115,1.0
79,5 days 04:00:00,58859222.97979921,7671.97647153582,7226.280114483464,0.9740287598502819,1.0602426936542493,0.5810782032238883,1.0
80,5 days 05:00:00,63587665.13114045,7974.18742764054,7598.185271637522,1.095109897427742,1.3284548864186454,0.6445857234541477,1.0
81,5 days 06:00:00,70267310.29625621,8382.559889213808,8222.14911147946,1.217258809910957,1.5127973679488822,0.7121517304317061,1.0
82,5 days 07:00:00,77961776.38919303,8829.596615315619,8742.437020288637,1.3041739195065876,1.5127973679488822,0.7610966315680204,1.0
83,5 days 08:00:00,76934437.72135483,8771.227834308878,8658.571101691448,1.2930763702232062,1.5127973679488822,0.7530361218930538,1.0
84,5 days 09:00:00,74169586.43803602,8612.176637647188,8260.778546604159,1.2608513862805781,1.5127973679488822,0.7268949899138297,1.0
85,5 days 10:00:00,67787868.13602875,8233.33882067468,7559.992750809238,1.180523388699764,1.5127973679488822,0.6731052980299839,1.0
86,5 days 11:00:00,61646445.124390654,7851.525019025963,6892.506382223295,1.0861492313708474,1.5127973679488822,0.6135783631648294,1.0
87,5 days 12:00:00,55950421.85676307,7480.001461013431,6445.966538822392,0.9673599969433323,1.3766286395648677,0.5492036037054792,1.0
88,5 days 13:00:00,49319227.95909979,7022.764979628735,5894.113671165378,0.8315106603124792,0.7591398614807918,0.4782921338474662,1.0
89,5 days 14:00:00,41699095.48345042,6457.483680463344,5177.070448937362,0.6879230482434396,0.1825731832997164,0.4026877484882631,1.0
90,5 days 15:00:00,33891108.649252765,5821.6070503987785,4430.352137897228,0.5423825053431018,0.07413802641834706,0.3261243201445751,1.0
91,5 days 16:00:00,26969150.41781943,5193.183071856743,3738.878721933952,0.40556259658368626,0.04811431405685246,0.25228069758405425,1.0
92,5 days 17:00:00,20957796.469510622,4577.968596387553,3129.4281022084774,0.2782302626227678,0.03278449841308041,0.18205036858168291,1.0
93,5 days 18:00:00,14132981.931090012,3759.385844933985,2448.0558602601627,0.15428733757372867,0.030380698728063038,0.11254837164793115,1.0
94,5 days 19:00:00,8439619.707091158,2905.1023574206743,2113.499321233095,0.07581456296819393,0.030380698728063038,0.07030790583527637,1.0
95,5 days 20:00:00,11940532.78429542,3455.5076015392324,2360.0151622127532,0.09707773240047968,0.030380698728063038,0.08500920774568356,1.0
96,5 days 21:00:00,16605321.365190482,4074.9627440248432,2899.3556571136237,0.1394132834726492,0.031150865075441868,0.11773313346597102,1.0
97,6 days 04:00:00,24527699.701894328,4952.54477030691,3683.355102217583,0.2864752573727624,0.04888448040423128,0.19531335242548373,1.0
98,6 days 05:00:00,30697706.73541346,5540.5511219926,4352.500384592233,0.40502959206059713,0.07413802641834706,0.2637799884787033,1.0
