,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,53149200.90141863,7290.34984766977,6930.143025893634,1.023726870173188,0.8726865300574059,0.5499049072749109,1.0
1,0 days 13:00:00,53002002.35809759,7280.247410500387,6922.087447544777,0.8803568987104651,0.24640151281693007,0.4804228621023821,1.0
2,0 days 14:00:00,47047652.93449741,6859.12916735772,6467.18355265747,0.6915633302107268,0.12473404545574002,0.3954791985504979,1.0
3,0 days 15:00:00,43248144.574723765,6576.332152098445,6189.578135406361,0.5202853668681221,0.1121309519868795,0.3157928459245171,1.0
4,0 days 16:00:00,40141354.117581405,6335.720489224679,5955.55503932523,0.35897580436245646,0.0912570837752453,0.23871422132582576,1.0
5,0 days 17:00:00,36736987.36353951,6061.104467301278,5696.909493394993,0.2147144763555405,0.07548372557880652,0.16619942514743744,1.0
6,0 days 18:00:00,37505904.44344532,6124.206433771262,5738.449469809061,0.11162964545674042,0.07548372557880652,0.11135930127188672,1.0
7,0 days 19:00:00,37266298.207463786,6104.6128630293815,5717.169698898443,0.09310519804540589,0.07548372557880652,0.09666991714164151,1.0
8,0 days 20:00:00,36779083.60888793,6064.576127718073,5560.964088591992,0.08842618008068527,0.07548372557880652,0.09177020248231203,1.0
9,0 days 21:00:00,33435394.44352546,5782.334687954811,5175.0587688292935,0.0833491662289655,0.07339809413378719,0.08612846342529058,1.0
10,0 days 22:00:00,32607066.546844196,5710.259761766027,4963.0762612550825,0.08187140170632588,0.07339809413378719,0.08445945634199771,1.0
11,0 days 23:00:00,31051454.50869621,5572.383198300006,4725.131830692156,0.08890189548754707,0.07548372557880652,0.09037307603585436,1.0
12,1 days 00:00:00,26794061.837180953,5176.29808233461,4375.731591769687,0.12749467729395977,0.07548372557880652,0.1178912441173025,1.0
13,1 days 01:00:00,21146872.228884485,4598.572846969425,3939.275279465482,0.176127988443992,0.07548372557880652,0.15079617702081186,1.0
14,1 days 02:00:00,21082387.39754987,4591.5560976154775,3930.708829716133,0.24046044598347016,0.10687837668362346,0.19493192291641379,1.0
15,1 days 03:00:00,19719057.009248424,4440.61448554684,3768.604557506085,0.3018109869607855,0.14303086019659836,0.23667892842854724,1.0
16,1 days 04:00:00,17984021.37442509,4240.757169943251,3546.0777316023814,0.3489830689702424,0.15096922838812582,0.2706502231258993,1.0
17,1 days 05:00:00,16198017.973457659,4024.6761327413237,3290.7280577548336,0.37538421139147765,0.27322359940256263,0.29142096974383935,1.0
18,1 days 06:00:00,9260362.29659166,3043.084339381947,2720.4546596193127,0.39468852967921647,0.3865863072986998,0.3046727763219402,1.0
19,1 days 07:00:00,6742780.033302591,2596.68635635931,2282.938836507913,0.3845382524641749,0.3865863072986998,0.29527058400837203,1.0
20,1 days 08:00:00,12959856.581679618,3599.980080733728,2952.7309959452964,0.4043227571680405,0.3865863072986998,0.31813999752294975,1.0
21,1 days 09:00:00,26603745.288060326,5157.88186061491,3864.1234155539883,0.4199095130166801,0.3865863072986998,0.3367152323765053,1.0
22,1 days 10:00:00,31460568.74436454,5608.972164698675,4446.021601270844,0.4281584349580872,0.3865863072986998,0.3458607188698372,1.0
23,1 days 11:00:00,41743822.3409064,6460.945932362102,5230.927761516735,0.4291714960251449,0.3865863072986998,0.3490304083208416,1.0
24,1 days 12:00:00,91954190.6813112,9589.274773480589,6970.384809156577,0.40569809788671757,0.33466911297563906,0.3401937010223568,0.9166666666666666
25,1 days 13:00:00,138238875.1577644,11757.502930374476,8639.480333438747,0.3704945905344989,0.283426076781673,0.3238484265008829,0.8333333333333334
26,1 days 14:00:00,172842820.7832076,13146.970022906708,10056.19860936668,0.3227962112570414,0.2683713202241405,0.2992694642581811,0.75
27,1 days 15:00:00,205902082.97133985,14349.288587638755,11468.342769421783,0.2764718947070255,0.25688546311809773,0.2753584945322814,0.6666666666666666
28,1 days 16:00:00,227589545.78921977,15086.071250965897,12615.95161579305,0.2414641355344018,0.2536489444931966,0.2555916574696284,0.6666666666666666
29,1 days 17:00:00,239732008.15917554,15483.281569459865,13471.35587255191,0.22415472921788335,0.25241271159747575,0.24523791279898563,0.6666666666666666
30,1 days 18:00:00,262676273.6123227,16207.290754852356,14650.025299790983,0.21435659888488753,0.25241271159747575,0.24380670126696227,0.6666666666666666
31,1 days 19:00:00,265572037.56255046,16296.381118596559,15120.707810412498,0.22421857586276994,0.25241271159747575,0.2544613424934094,0.6666666666666666
32,1 days 20:00:00,264829589.68004525,16273.585642999678,15076.48535673204,0.22181100742993007,0.23901841591791817,0.25135128624125047,0.6666666666666666
33,1 days 21:00:00,258577483.33663943,16080.344627421373,14799.662327317104,0.22888744408821016,0.23901841591791817,0.2611694454559721,0.6666666666666666
34,1 days 22:00:00,260500120.8216622,16140.016134492003,14914.721391049432,0.2551707042061095,0.25241271159747575,0.297628042881481,0.6666666666666666
35,1 days 23:00:00,255272280.83790088,15977.242591821057,14643.33555631407,0.2890110898395845,0.2575890557952305,0.3492900508393735,0.6666666666666666
36,2 days 00:00:00,205790794.60532162,14345.410227850636,12985.159566583383,0.31669814982497163,0.2575890557952305,0.3962472563727239,0.75
37,2 days 01:00:00,159439387.3142854,12626.931033085015,11307.279919922787,0.3559791148835833,0.2575890557952305,0.4691735199267077,0.8333333333333334
38,2 days 02:00:00,125784833.65675749,11215.383794447584,9999.314197858625,0.4185531850929185,0.30328419436981247,0.6117474854538324,0.9166666666666666
39,2 days 03:00:00,94053607.87100317,9698.123935638438,8745.852491962134,0.5045481151825869,0.39812797050744486,0.7543618601193205,1.0
40,2 days 04:00:00,74768738.75483008,8646.891855159869,7880.461352632592,0.6101103011156422,0.5119708124574124,0.900351573960703,1.0
41,2 days 05:00:00,65504066.129152894,8093.458230518824,7377.665048191972,0.7094160558046093,0.5965494451950207,1.0499996254233583,1.0
