,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,42784993.12517186,6541.023859089024,6083.714017461886,0.31461632750363494,0.4096485370854934,0.2584454638210154,1.0
1,0 days 13:00:00,44256420.95909304,6652.549959157995,6170.341787450544,0.28482515298174976,0.2507982966752626,0.23782602165183953,1.0
2,0 days 14:00:00,42086138.02069163,6487.382987051992,5998.191432079347,0.25393518408413623,0.1234425901813932,0.214398653721283,1.0
3,0 days 15:00:00,38039089.25475368,6167.58374525662,5695.772178405653,0.21007944991693325,0.09981088515544946,0.18262609265057447,1.0
4,0 days 16:00:00,35884050.60734898,5990.3297578137535,5527.179995704224,0.17348682424628628,0.09161014700827355,0.15559816087359293,1.0
5,0 days 17:00:00,34666759.67282283,5887.8484757017,5435.177156127104,0.13953489968957483,0.09161014700827355,0.13082209159324906,1.0
6,0 days 18:00:00,33752022.74528289,5809.649106898186,5372.302263598273,0.11032681478065433,0.09161014700827355,0.11003021145634741,1.0
7,0 days 19:00:00,30813022.853413895,5550.947923860743,5149.698957898581,0.09245160874565946,0.09161014700827355,0.095918762738877,1.0
8,0 days 20:00:00,30973952.91487368,5565.424773983894,5211.7426331949455,0.09461636663277799,0.09161014700827355,0.0979629784208222,1.0
9,0 days 21:00:00,28343870.024824157,5323.89613204692,4827.345260280443,0.08868050569565235,0.08875227905876709,0.09158359231842861,1.0
10,0 days 22:00:00,28243254.971914407,5314.43834962025,4783.715641280779,0.08943176477033453,0.08875227905876709,0.09225977624051113,1.0
11,0 days 23:00:00,27118903.244520616,5207.581323850893,4655.824471907786,0.09761042551677786,0.09161014700827355,0.09887960796822826,1.0
12,1 days 00:00:00,25199576.91555592,5019.918018808267,4443.947951882668,0.1048976658091046,0.09710250049870645,0.10453241030876266,1.0
13,1 days 01:00:00,19654888.910010133,4433.383460745318,4012.3000329641704,0.11312508102287483,0.09710250049870645,0.10973569067164589,1.0
14,1 days 02:00:00,18045620.20097493,4248.013677117216,3815.578530419451,0.12096055880074351,0.11613270023272036,0.11597159337019898,1.0
15,1 days 03:00:00,17267219.330921743,4155.384378240085,3725.866610741838,0.1368069234428533,0.13699747164881915,0.12882806102100977,1.0
16,1 days 04:00:00,15345975.888420613,3917.3940175096777,3479.74066585376,0.14377682571424977,0.15978668554318406,0.13429567427163763,1.0
17,1 days 05:00:00,13568380.820303017,3683.5283113209566,3301.842433306903,0.1623476335966606,0.17715300239061288,0.14854814093356547,1.0
18,1 days 06:00:00,9993096.066412175,3161.1858639460247,2907.086937684651,0.16295381924613841,0.17715300239061288,0.14771692434449066,1.0
19,1 days 07:00:00,8086649.137541543,2843.7034194060293,2651.8183161826823,0.1591075740446942,0.17715300239061288,0.14430367119210233,1.0
20,1 days 08:00:00,11812695.829609176,3436.960260114914,3087.0481569252843,0.1693746540585498,0.17715300239061288,0.15602232065563132,1.0
21,1 days 09:00:00,19905400.756462943,4461.546901744164,3820.6100597830077,0.182365164737462,0.1812122906850095,0.17063671619353663,1.0
22,1 days 10:00:00,22659477.031601846,4760.1971631017395,4231.128221638976,0.18848611615387365,0.1812122906850095,0.1773169238893131,1.0
23,1 days 11:00:00,29514687.713118244,5432.742190930676,4742.82179012166,0.18693548299918059,0.17715300239061288,0.1782259826931323,1.0
24,1 days 12:00:00,41859903.75121554,6469.923009682228,5521.306699329481,0.18878708769367158,0.177584559354358,0.18324488775149653,1.0
25,1 days 13:00:00,52629341.05009735,7254.608263035114,6201.640832840155,0.18548678517079709,0.177584559354358,0.18393066952861056,1.0
26,1 days 14:00:00,60991989.9195871,7809.736866219444,6828.453765707102,0.18531909784283407,0.17657843538657997,0.18650730094855508,1.0
27,1 days 15:00:00,68470948.66443835,8274.717437135745,7362.386074643543,0.17736525942082937,0.1746439972126761,0.18267144088853718,1.0
28,1 days 16:00:00,74541878.12494853,8633.763844636274,7899.653734953124,0.17612801911222,0.1741426721139437,0.18372196569424815,1.0
29,1 days 17:00:00,84691678.39097765,9202.808179625263,8548.47963596225,0.16627777357590232,0.1741426721139437,0.1797458977136834,1.0
30,1 days 18:00:00,97745504.9393608,9886.632639041505,9426.887227911915,0.17538195664730985,0.17792154185876918,0.19239288457840564,1.0
31,1 days 19:00:00,97942820.18051577,9896.606498215222,9467.24264218135,0.17325839053673933,0.17792154185876918,0.19090814972663708,1.0
32,1 days 20:00:00,95619497.61215515,9778.522261167847,9262.02467915909,0.17043487587027337,0.17792154185876918,0.1875887306400951,1.0
33,1 days 21:00:00,89814490.10497725,9477.050707101722,8881.97060851929,0.17048432596738905,0.17792154185876918,0.18764917526939495,1.0
34,1 days 22:00:00,91672863.73740833,9574.594703558387,9021.588620303211,0.18552245815251167,0.1855843589387907,0.20621932147261213,1.0
35,1 days 23:00:00,87684616.42988725,9364.0064304702,8782.280244002046,0.19807984650235497,0.19562986536018123,0.222430682466075,1.0
36,2 days 00:00:00,76892094.89304668,8768.81376772518,8182.962295682918,0.20618196185723567,0.19562986536018123,0.23304349655591716,1.0
37,2 days 01:00:00,65635551.32726693,8101.577088892442,7431.06740443772,0.20722257481752449,0.20025121175585484,0.2343371022740498,1.0
38,2 days 02:00:00,59605187.3574169,7720.439583172509,7064.912530364486,0.22368139082009453,0.21081201703286076,0.2566281830174015,1.0
39,2 days 03:00:00,53253522.49681214,7297.501113176492,6655.014820276704,0.24049484344557484,0.22834061800065072,0.27935668518947576,1.0
40,2 days 04:00:00,50548858.20366835,7109.772021919433,6482.484843610164,0.2677847754429728,0.26621797084676935,0.318506961888137,1.0
41,2 days 05:00:00,43726568.31820784,6612.606771781295,6126.3295873251745,0.29464253569645965,0.2943194043621784,0.3593578179580857,1.0
42,2 days 06:00:00,32667883.351424735,5715.58250324713,5513.639555427569,0.3061252818043121,0.30697514215214106,0.37552649489042594,1.0
43,2 days 07:00:00,32239796.694338664,5678.009923761904,5409.981809410453,0.30742112524091986,0.30697514215214106,0.3769361344002145,1.0
44,2 days 08:00:00,32971000.489815105,5742.038008391716,5484.916757406173,0.3205555894982563,0.30697514215214106,0.38603233158843203,1.0
45,2 days 09:00:00,39204556.433352284,6261.354201237324,5886.301432104284,0.343148364208282,0.34543115086729814,0.3997020820278729,1.0
46,2 days 10:00:00,51209633.37002047,7156.0906485329315,6441.006079134134,0.3682623707101587,0.37755515362707137,0.4095877231225782,1.0
47,2 days 11:00:00,63770072.29204794,7985.616588094368,7039.7294035882405,0.38727095332158484,0.3798941880436201,0.41412220613036776,1.0
48,2 days 12:00:00,71680566.91351344,8466.43767552289,7517.664220763966,0.3953980969518727,0.3900076595466323,0.4123190719207515,1.0
49,3 days 17:00:00,85226444.95229678,9231.816990836462,8360.808965009624,0.4322444754541827,0.430200756280935,0.43361044060718673,1.0
50,3 days 18:00:00,88873886.94645001,9427.294784106945,8604.05959081464,0.43811764387670826,0.45513291374951825,0.42534251277030394,1.0
51,4 days 00:00:00,87788484.31582303,9369.550913241415,8485.489753460975,0.4334833315304394,0.45513291374951825,0.41853214499604824,1.0
