,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,4491084.548737372,2119.2179096868194,1873.510140828105,0.8440489331504164,0.8680602008894001,0.49728199606447726,1.0
1,0 days 13:00:00,4202637.826777288,2050.033616011525,1815.716107752966,0.7368136304786747,0.412581301209184,0.4400460990877408,1.0
2,0 days 14:00:00,3890030.938820264,1972.3161356182898,1742.5484723834943,0.6383515754146236,0.12194347096255793,0.3841047055524074,1.0
3,0 days 15:00:00,3330245.497817343,1824.8960238373427,1593.5034706654435,0.48946482770417127,0.1078348577441088,0.30934604568473495,1.0
4,0 days 16:00:00,2795949.785026821,1672.1093818966572,1409.507568667853,0.34928270551433566,0.09462835446123227,0.2345059752373998,1.0
5,0 days 17:00:00,2178572.2398593905,1475.9987262390814,1203.4291413572614,0.19873388947810833,0.07232853556073916,0.15640547632141158,1.0
6,0 days 18:00:00,3725731.46937882,1930.215394555442,1405.608441824821,0.13262656253134988,0.07232853556073916,0.12322236724203985,0.9166666666666666
7,0 days 19:00:00,4017256.700485366,2004.3095321046014,1453.3963165443554,0.10286193012245685,0.07232853556073916,0.10426297687703921,0.9166666666666666
8,0 days 20:00:00,4158218.558946509,2039.1710470057455,1503.7993915013383,0.10864818685969924,0.07232853556073916,0.10829404499994166,0.9166666666666666
9,0 days 21:00:00,4163612.823567327,2040.4932794712477,1506.458985424818,0.11244645820671438,0.08377715946404708,0.11114251614342212,0.9166666666666666
10,0 days 22:00:00,4265701.414976195,2065.3574545284396,1563.4726684167779,0.12579052303183688,0.11741798254332303,0.12296667228903933,0.9166666666666666
11,0 days 23:00:00,4573719.59840741,2138.6256330661076,1679.4157309508334,0.1641908452093336,0.13152659576177217,0.15276602890824376,0.9166666666666666
12,1 days 00:00:00,5238174.949290874,2288.705955183163,1887.6815677157283,0.2569604380025415,0.15666101138601224,0.21112233868631783,0.9166666666666666
13,1 days 01:00:00,5366639.891624526,2316.6009349097067,1915.4257124841904,0.3284904880705737,0.192629003894803,0.25440845295066605,0.9166666666666666
14,1 days 02:00:00,5729871.868060581,2393.715076624739,1998.2071922704733,0.43175946534303034,0.22909713530989484,0.3120981207863261,0.9166666666666666
15,1 days 03:00:00,6114997.64467127,2472.852127538416,2113.247203509527,0.5251412529579637,0.2928284447554914,0.36872522069854785,0.9166666666666666
16,1 days 04:00:00,6679081.4981292,2584.3919010338195,2302.992831311731,0.6691565256842082,0.4198432731256459,0.4446691910126445,0.9166666666666666
17,1 days 05:00:00,7317777.960030767,2705.1391757228994,2512.9367670106753,0.8222823473126707,0.7493242715794517,0.5234693459486074,0.9166666666666666
18,1 days 06:00:00,5781091.999508393,2404.3901512667185,2312.752299682777,0.8891876075152935,1.023741004425034,0.5569955518300084,1.0
19,1 days 07:00:00,5490241.61878899,2343.1264623978345,2265.086494444559,0.9189827572945157,1.023741004425034,0.5759717985272358,1.0
20,1 days 08:00:00,5353195.94486826,2313.697461827769,2216.452974990108,0.9133734561075265,1.023741004425034,0.5721390207348672,1.0
21,1 days 09:00:00,5355347.383688201,2314.1623503307196,2217.4910134737033,0.9098833207944343,1.023741004425034,0.5696266571474516,1.0
22,1 days 10:00:00,5247361.180963714,2290.711937578297,2154.7971081948394,0.8960659041120698,1.023741004425034,0.5573489803201978,1.0
23,1 days 11:00:00,4949848.895951488,2224.825587759968,2046.5895373129576,0.8582181170525854,1.023741004425034,0.5281299687470243,1.0
24,1 days 12:00:00,4781459.057155598,2186.654764052981,2014.8717022502415,0.7762256206133928,0.8419447058393523,0.48159582050637373,1.0
25,1 days 13:00:00,4706910.29569904,2169.5414943482965,1999.262548016826,0.705454007453801,0.4226232612683359,0.43918553031704494,1.0
26,1 days 14:00:00,4395468.395937458,2096.5372393395396,1930.993722140007,0.603092071050686,0.14870368208925755,0.3825132005998602,1.0
27,1 days 15:00:00,4047323.4160106326,2011.796067202298,1832.982807852113,0.5107746019952001,0.130178458249681,0.3270265097232755,1.0
28,1 days 16:00:00,3501602.611774186,1871.256960380959,1662.9344758815835,0.3679904102584351,0.11433883626167703,0.2523503026927411,1.0
29,1 days 17:00:00,3391371.2568191923,1841.5676085387668,1642.1852818877617,0.2252241064891173,0.11433883626167703,0.18478512949892986,1.0
30,1 days 18:00:00,3744635.5787850134,1935.1060898010253,1701.2328548897538,0.1528109084609883,0.11433883626167703,0.14431140079573615,1.0
31,1 days 19:00:00,3192161.1554444446,1786.662014888223,1554.7852424175337,0.10120544768553923,0.09929678334585744,0.10772491841793884,1.0
32,1 days 20:00:00,3204981.383875441,1790.2461796846378,1560.3564014188003,0.10011809699499592,0.0927726792025976,0.10651347146773386,1.0
33,1 days 21:00:00,3115291.1157250777,1765.018729567785,1482.0515050312779,0.09388684222761583,0.08645857935855972,0.09994738291946532,1.0
34,1 days 22:00:00,3100260.443236428,1760.7556455216686,1461.1576431859642,0.0933080280134428,0.08645857935855972,0.09948278472616301,1.0
35,1 days 23:00:00,3077716.854274145,1754.3422853805198,1442.8482023010238,0.09741918376054477,0.09991107861634313,0.10307325977578315,1.0
36,2 days 00:00:00,2707859.3915963788,1645.5574713744818,1344.0205637781683,0.11501959551466685,0.09991107861634313,0.11490342000491656,1.0
37,2 days 01:00:00,2735336.0279193628,1653.885131416134,1349.9175735984425,0.20161544491805938,0.09991107861634313,0.16395957471466419,1.0
38,2 days 02:00:00,2784418.839165899,1668.6577957046493,1362.5222277370212,0.2761452954520546,0.09991107861634313,0.20958060862192152,1.0
39,2 days 03:00:00,2891922.1227476206,1700.565236251647,1400.4882515431902,0.3384403192666779,0.12090444877266515,0.2516929321385704,1.0
40,2 days 04:00:00,3148976.984572643,1774.5357095794502,1506.0426643216404,0.4382285648753899,0.1632617813237675,0.31218747504161065,1.0
41,2 days 05:00:00,2932668.9153739098,1712.5036979153972,1457.811215433306,0.535007773389937,0.2755428422099758,0.3652974729593057,1.0
42,2 days 06:00:00,2423802.0325357323,1556.856458552211,1366.959227429136,0.613494330650982,0.5935031532888301,0.4083137907486171,1.0
43,2 days 07:00:00,3263167.1391306315,1806.4238536762714,1560.4786960540976,0.7184902641905717,0.9165545621284923,0.4687167543787416,1.0
44,2 days 08:00:00,5143172.10764598,2267.8562802007496,1869.735269662885,0.8462427875868833,1.0695135946159084,0.5349499734676878,0.9166666666666666
45,2 days 09:00:00,7588978.5361969,2754.8100726178745,2312.705369808043,0.9455770547122101,1.1551265772853347,0.5965812454766019,0.8333333333333334
46,2 days 10:00:00,10482086.94887813,3237.605125533089,2784.5777614506646,1.032132839989518,1.1551265772853347,0.6519089785822166,0.75
47,2 days 11:00:00,12254466.583923494,3500.6380252638937,3129.049800833427,1.0752526074129838,1.1551265772853347,0.68325704446693,0.6666666666666666
48,2 days 12:00:00,13357974.17466531,3654.856245417227,3343.940435007545,1.0826310713587006,1.1551265772853347,0.6883424217818566,0.5833333333333334
49,3 days 17:00:00,14706869.70843918,3834.953677482843,3535.761824129622,1.0229768342346794,1.0999261782077492,0.6579467861637317,0.5
50,3 days 18:00:00,15694197.573992068,3961.5902834584076,3699.905899981071,0.9719699301395189,1.0999261782077492,0.6297071579169119,0.4166666666666667
51,4 days 00:00:00,16265820.663376098,4033.090708547986,3820.6125725439524,1.0323232664209598,1.1659105126437979,0.6538336580453447,0.4166666666666667
52,4 days 01:00:00,16920915.44527133,4113.504034916136,3946.3357245639113,1.1161387011009325,1.1659105126437979,0.6782851396044022,0.4166666666666667
53,4 days 02:00:00,17457139.69495107,4178.174205912323,4050.367996110592,1.1854935487987195,1.1659105126437979,0.698606880607275,0.4166666666666667
54,4 days 03:00:00,17787869.70410488,4217.566799009221,4113.188567053417,1.2586991381502484,1.2680168952454636,0.7219763164116587,0.4166666666666667
55,4 days 04:00:00,17567428.560995884,4191.35163891028,4077.8351763788196,1.3091257821022149,1.3750714978450267,0.7373527503636534,0.4166666666666667
56,4 days 05:00:00,16422721.273095042,4052.4956845251595,3936.387961043171,1.3508024948947772,1.3750714978450267,0.7484624525738598,0.5
57,4 days 06:00:00,14824417.17814819,3850.2489761245556,3750.737631232838,1.356816597054668,1.411156110804371,0.7507540668839437,0.5833333333333334
58,4 days 07:00:00,12921670.746139621,3594.672550614259,3547.2814506914,1.3394570782439417,1.411156110804371,0.7428616746810932,0.6666666666666666
59,4 days 08:00:00,11131639.21538976,3336.411128052081,3178.1382889046145,1.2897474231282435,1.411156110804371,0.7053094526797085,0.75
60,4 days 09:00:00,9892498.536807856,3145.234257858682,2863.366133001781,1.252487559531768,1.411156110804371,0.6750439947490561,0.8333333333333334
61,4 days 10:00:00,8286314.91875846,2878.595997836178,2606.3786497286233,1.2245900637721274,1.411156110804371,0.6538243600492445,0.9166666666666666
62,4 days 11:00:00,6979466.019940834,2641.867903575202,2315.91226858501,1.1943368264032346,1.411156110804371,0.629053634607089,1.0
63,4 days 12:00:00,6283359.776510518,2506.6630759857853,2149.814646486574,1.0712244084490838,1.0700566769192983,0.5623157220806471,1.0
64,4 days 13:00:00,5395730.738029779,2322.8712271733402,1936.2849951425153,0.8887299727512961,0.49787773129951995,0.47852844409686446,1.0
65,4 days 14:00:00,4546616.312856364,2132.2796047555216,1689.8390875022003,0.7121457522250144,0.10030265745968808,0.3937696279178031,1.0
66,4 days 15:00:00,4341586.9869657485,2083.6475198472867,1653.078315791215,0.5602510403881001,0.10030265745968808,0.3243100882374177,1.0
67,4 days 16:00:00,4545012.913303687,2131.9035891202225,1685.8648438022094,0.41846793475092675,0.10030265745968808,0.25987651076158974,1.0
68,4 days 17:00:00,4700407.521792033,2168.042324723397,1709.1455456273252,0.2615133695757355,0.10030265745968808,0.19229528869622559,1.0
69,4 days 18:00:00,3974603.5415874515,1993.640775462684,1544.3226741685532,0.16077143955823317,0.0680300229744522,0.13318066984076277,1.0
