,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,152001.03066594337,389.87309559130057,352.65063127322725,0.1309266728123942,0.14473340677137594,0.1260581460486335,1.0
1,0 days 13:00:00,134849.7848924039,367.2189876523325,317.87839460024344,0.11286217447994827,0.12443566142405438,0.10992709519795812,1.0
2,0 days 14:00:00,157094.34023142135,396.35128387759937,345.66337206145334,0.11887955059768,0.14473340677137594,0.11512157685363766,1.0
3,0 days 15:00:00,158132.00750764742,397.6581540816778,351.1411649401137,0.11934018674872678,0.14473340677137594,0.11556707921626208,1.0
4,0 days 16:00:00,147032.1108183091,383.44766372780146,334.5989491887744,0.10977019021221072,0.11496984319399182,0.10476677190833983,1.0
5,0 days 17:00:00,138875.64511070336,372.6602274333865,311.2642415087705,0.09737860995925894,0.09420262664723508,0.09333519977069897,1.0
6,0 days 18:00:00,145139.0558402893,380.9712008017001,321.4968356653719,0.09602798077790921,0.08609885155913666,0.09265464002750501,1.0
7,0 days 19:00:00,138214.4382427485,371.7720245563785,306.0587891084517,0.09122531600890398,0.07035860368973043,0.0874497963475241,1.0
8,0 days 20:00:00,115806.57373244748,340.3036493081546,270.4557379989348,0.08232455323152472,0.04775718466607079,0.0777977341702437,1.0
9,0 days 21:00:00,115421.0007086451,339.7366637686387,264.83732933320266,0.08071929361274412,0.04775718466607079,0.07620806322498071,1.0
10,0 days 22:00:00,91010.59169565146,301.6796176337597,225.78898681922638,0.0677031794414187,0.03468144392144554,0.06443280136525964,1.0
11,0 days 23:00:00,74438.13010147572,272.83352085379045,204.13722796341963,0.060485926489483116,0.03468144392144554,0.058645210288685155,1.0
12,1 days 00:00:00,52411.84737488829,228.93633913140195,162.14353418357223,0.04654522226410183,0.029501438995073383,0.0458313402690208,1.0
13,1 days 01:00:00,59701.16483793689,244.33821812794022,183.8266087820358,0.05806513955928763,0.03468144392144554,0.056494196868705514,1.0
14,1 days 02:00:00,33358.23634910085,182.6423728194004,142.6900406618579,0.045371968112071885,0.03468144392144554,0.04510586667967267,1.0
15,1 days 03:00:00,32842.3371448126,181.2245489573987,140.42746637170208,0.04651894125527744,0.03479768428636203,0.04641498774102389,1.0
16,1 days 04:00:00,28991.979261808305,170.27031233250352,128.90894622666974,0.0456815315760618,0.03479768428636203,0.045530418080963565,1.0
17,1 days 05:00:00,30805.420878064524,175.51473122807818,138.64185439152834,0.05127221207144095,0.042848966955693416,0.05088740430868375,1.0
18,1 days 06:00:00,20120.841340233692,141.84795148409333,114.89444513174381,0.04721691521151744,0.03483804284157027,0.04649785255255296,1.0
19,1 days 07:00:00,37645.29271495321,194.02394881806012,143.68243763211936,0.05583385025008136,0.042848966955693416,0.05599004434248653,1.0
20,1 days 08:00:00,153944.61074101797,392.35775860943284,234.0654000608105,0.0756849902321666,0.049614565450010216,0.07914574360917377,0.9166666666666666
21,1 days 09:00:00,154556.86885693506,393.1372137777535,241.15826818856382,0.07771152398295327,0.049614565450010216,0.0811975773084715,0.9166666666666666
22,1 days 10:00:00,154923.23894668612,393.6028949927657,243.18396475964406,0.07797967354183583,0.049614565450010216,0.08153005533494616,0.9166666666666666
23,1 days 11:00:00,151048.71400958122,388.6498604265557,233.11355262498384,0.07409926138692392,0.043356536245415064,0.07740113122165226,0.9166666666666666
24,1 days 12:00:00,152342.053296199,390.3102013734704,242.67266567050433,0.07673239019781346,0.043356536245415064,0.08008908138603295,0.9166666666666666
25,1 days 13:00:00,145693.25512376404,381.697858421768,225.78614959126858,0.0665829181938356,0.03719221463208984,0.07083303453566964,0.9166666666666666
26,1 days 14:00:00,145550.91900833757,381.5113615717592,224.72387024457922,0.06496924390398263,0.03670763807068572,0.0692870329864473,0.9166666666666666
27,1 days 15:00:00,165050.50785509025,406.2640863466647,257.5250749400944,0.0710772183140697,0.03670763807068572,0.07596470007601833,0.9166666666666666
28,1 days 16:00:00,174569.80812190208,417.81551924492,278.68204637287,0.07432424081522114,0.03670763807068572,0.0794464533521043,0.9166666666666666
29,1 days 17:00:00,174398.5384403936,417.6105104524952,278.1037770043068,0.07102222001891585,0.0359350627819222,0.07643043366719403,0.9166666666666666
30,1 days 18:00:00,252528.6689623836,502.5223069301338,352.21256640682924,0.08446933455188815,0.036927208633047964,0.09166552084687214,0.8333333333333334
31,1 days 19:00:00,233647.64006387265,483.3711204280544,315.15582543564886,0.07378521239562302,0.0359350627819222,0.08014781542700526,0.8333333333333334
32,1 days 20:00:00,119688.82182826383,345.96072295603705,232.6591836466489,0.05590565257346058,0.0359350627819222,0.05903899780015018,0.9166666666666666
33,1 days 21:00:00,119770.86041376051,346.07926897426336,233.1226871103164,0.05603808213450843,0.0359350627819222,0.059174840485475576,0.9166666666666666
34,1 days 22:00:00,140498.26608258582,374.83098335461256,267.0046563013546,0.06571864476051933,0.036927208633047964,0.06977006032628699,0.9166666666666666
35,1 days 23:00:00,148557.73939626888,385.4318868441853,284.1607907374353,0.07196096434923807,0.04254078774336978,0.07651189877624819,0.9166666666666666
36,2 days 00:00:00,147702.18938446473,384.3204254062809,279.844464056004,0.07142495008398424,0.04254078774336978,0.07595802888697323,0.9166666666666666
37,2 days 01:00:00,150802.6471280652,388.33316511478284,289.8200865890573,0.07811897531487087,0.0684522503626456,0.08216256383330466,0.9166666666666666
38,2 days 02:00:00,150504.71247284344,387.94936843980486,285.6007728422012,0.07709185305795108,0.0684522503626456,0.08112387453405726,0.9166666666666666
39,2 days 03:00:00,133024.50727153284,364.7252490183986,259.8681129834493,0.07451815106624567,0.0684522503626456,0.07824755755047695,0.9166666666666666
40,2 days 04:00:00,125567.75851735567,354.35541271067905,245.98926360237192,0.07491018959094332,0.07077702674701834,0.07867756170307026,0.9166666666666666
41,2 days 05:00:00,124131.43781105716,352.32291695411635,238.99205703305628,0.0744244724183092,0.07077702674701834,0.07809862979195002,0.9166666666666666
42,2 days 06:00:00,45448.57080315929,213.1867040956337,159.0962067275519,0.05866253352414413,0.03962648470756505,0.06059446925540157,1.0
43,2 days 07:00:00,60185.47449649459,245.32728037561293,191.54259272153976,0.07204631181263633,0.07077702674701834,0.0728872737591613,1.0
44,2 days 08:00:00,60551.726127785754,246.07260336694483,192.45289832270427,0.07370882873920381,0.08075212830642321,0.07425645745042214,1.0
45,2 days 09:00:00,67312.9502319793,259.44739395873546,209.77209232039013,0.07984411313893872,0.09265456611539474,0.07996849818396688,1.0
46,2 days 10:00:00,49966.76240844657,223.5324638804095,186.1788247517624,0.07310317954790223,0.08075212830642321,0.07245618378785447,1.0
47,2 days 11:00:00,89152.84335343879,298.5847339591205,221.72963961961068,0.07964489120264687,0.08075212830642321,0.08012055606363723,0.9166666666666666
48,2 days 12:00:00,137746.78027163772,371.14253363315515,279.55635332044454,0.09318646584546426,0.09265456611539474,0.09532092856769792,0.8333333333333334
49,3 days 17:00:00,133980.03843843506,366.03283792364186,264.42465163230514,0.0850192751416959,0.08075212830642321,0.08760790728531508,0.8333333333333334
50,3 days 18:00:00,137872.4454005042,371.31179001009946,281.6215666431531,0.08975428347404191,0.08075212830642321,0.09218743353700078,0.8333333333333334
51,4 days 00:00:00,138244.53077734672,371.81249411140925,282.5951249823411,0.0902410626436359,0.08077958307023639,0.09191431686618712,0.8333333333333334
52,4 days 01:00:00,135381.73892485717,367.9425755805614,267.35771348607494,0.08262235689550285,0.06673132157366973,0.08392023828684915,0.8333333333333334
53,4 days 02:00:00,138570.28536101637,372.250299343085,279.3696738118312,0.08862833705838097,0.08367280332398722,0.09042442858459103,0.8333333333333334
54,4 days 03:00:00,149439.4006112933,386.5739264504181,308.3989515401436,0.10325159150600506,0.09908584750999008,0.1065420716029698,0.8333333333333334
55,4 days 04:00:00,144371.5967831065,379.96262550822877,301.7652165253486,0.10344951185860439,0.09908584750999008,0.1091673614139257,0.8333333333333334
56,4 days 05:00:00,141298.3474600391,375.896724460375,290.90200690507163,0.1008877881010186,0.09908584750999008,0.10685850361372096,0.8333333333333334
57,4 days 06:00:00,135243.0004989441,367.75399453839265,276.7782204394387,0.09689999407531995,0.08152697963639208,0.1033802365723826,0.8333333333333334
58,4 days 07:00:00,133511.7032985308,365.3925331729301,272.45196068387025,0.0963549282941037,0.08014182407797837,0.10280014615481693,0.8333333333333334
59,4 days 08:00:00,147652.59800553066,384.2559017185431,281.1125216648099,0.09852006853933863,0.08014182407797837,0.1054855151151881,0.8333333333333334
60,4 days 09:00:00,104024.05061796495,322.52759667657114,238.42189790754526,0.08860586909381447,0.06731350508664004,0.0941055014359069,0.9166666666666666
61,4 days 10:00:00,109517.7037186657,330.93459129964896,257.19525317614335,0.09396968488484252,0.07339952532577412,0.09971000576898059,0.9166666666666666
62,4 days 11:00:00,111983.67368059442,334.6396176196035,262.19966454516594,0.09539951670456324,0.07648019792670566,0.10156482552193113,0.9166666666666666
63,4 days 12:00:00,114315.87502758358,338.1063072874914,267.32158889146854,0.09334619289683865,0.0739079014707649,0.10013236168161128,0.9166666666666666
