,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,6806130.594675048,2608.856185126932,2283.9075369231273,0.43748438626556285,0.48808650273167825,0.3228101919557113,1.0
1,0 days 13:00:00,5739003.441461231,2395.6217233656134,2101.8751227440957,0.38163288101241194,0.26634839761423545,0.28344557246038554,1.0
2,0 days 14:00:00,4767875.001935,2183.546427703107,1913.5446523108885,0.32385187767327445,0.06951654227298451,0.2424827786424516,1.0
3,0 days 15:00:00,3686625.6849752017,1920.0587712294646,1709.8082473606562,0.24707790785102154,0.05572374278777041,0.19216016390984544,1.0
4,0 days 16:00:00,2905933.810636919,1704.6799730849539,1559.7655984214427,0.16842704585063442,0.05342972910385875,0.1414491027233196,1.0
5,0 days 17:00:00,2422572.842132032,1556.4616417156035,1392.6481164224333,0.11872863469544714,0.04921244253240686,0.10371824247651469,1.0
6,0 days 18:00:00,2266101.096084382,1505.3574645526496,1355.8224894300677,0.08095969434599594,0.04921244253240686,0.07512783017784681,1.0
7,0 days 19:00:00,1925198.660021388,1387.515282806423,1281.1128087286947,0.0499903395626475,0.04921244253240686,0.050906983280560286,1.0
8,0 days 20:00:00,1996356.2448606398,1412.924713090064,1345.4839655727026,0.05274643538750451,0.04921244253240686,0.053581316010044365,1.0
9,0 days 21:00:00,1836860.4750703794,1355.3082583199955,1246.3382742737988,0.0472383414264543,0.047990077488867425,0.047816937930902505,1.0
10,0 days 22:00:00,1823290.2814204472,1350.2926650991062,1238.599179557323,0.04868374074085463,0.04921244253240686,0.04904506433638744,1.0
11,0 days 23:00:00,2166066.001370455,1471.7560943887595,1330.8677867682286,0.06459714850978827,0.05249306877744239,0.0626893349724629,1.0
12,1 days 00:00:00,2682498.8014404047,1637.833569518101,1472.113050682353,0.08954946142453239,0.05800858739940941,0.08359661280978396,1.0
13,1 days 01:00:00,3155929.087411057,1776.4934808242492,1569.7392667274844,0.12303698176279443,0.05800858739940941,0.10966542401988434,1.0
14,1 days 02:00:00,3791546.8169965036,1947.189466127142,1708.9230280021995,0.16626367569223913,0.06364522366032355,0.14235613799937344,1.0
15,1 days 03:00:00,4236135.227214134,2058.1873644578945,1816.09575980123,0.20757504404027205,0.07565673193488039,0.17389424054199523,1.0
16,1 days 04:00:00,4640359.247654146,2154.149309508082,1906.2373946142945,0.2608285618908559,0.16221991604253264,0.21204582225964527,1.0
17,1 days 05:00:00,5019970.857896644,2240.529146852735,2050.940924558974,0.30492348503246064,0.2877808473526267,0.2464051685392378,1.0
18,1 days 06:00:00,5063797.398085989,2250.2882922163526,2062.062869249192,0.33698049598143465,0.3935597289388184,0.27130074691864325,1.0
19,1 days 07:00:00,5260992.205687393,2293.6852891552917,2108.720665868707,0.3632745367511401,0.4257630422469568,0.29234602604011095,1.0
20,1 days 08:00:00,5190425.63932214,2278.250565526571,2046.0234954690611,0.36065793979664656,0.4257630422469568,0.2898293083251017,1.0
21,1 days 09:00:00,5443943.185943141,2333.2259183249143,2174.961077796753,0.36782113881485173,0.4257630422469568,0.2974040652744782,1.0
22,1 days 10:00:00,6279233.405432404,2505.839860292833,2378.5241702801723,0.37424366977076073,0.4257630422469568,0.30480058662051107,1.0
23,1 days 11:00:00,6017342.073894757,2453.02712457379,2313.7849903002843,0.35938908612609705,0.4257630422469568,0.2922776120150829,1.0
24,1 days 12:00:00,6317247.684643873,2513.4135522519714,2364.142590068844,0.34062895786942965,0.4257630422469568,0.27803734148450393,1.0
25,1 days 13:00:00,6960118.711640338,2638.203690324221,2454.6051981830533,0.31269995087616403,0.2676177580781677,0.25809488236769834,1.0
26,1 days 14:00:00,6377368.834685579,2525.345290190151,2332.4694093437633,0.2700415226945669,0.13218886688875375,0.22600298607711786,1.0
27,1 days 15:00:00,5968508.776450615,2443.0531669308007,2237.1865464130865,0.22912648330881238,0.11866535119794647,0.19488183346431712,1.0
28,1 days 16:00:00,5585270.211939461,2363.317628237783,2153.0837400790124,0.17607425974086155,0.10346306102716388,0.1569437314187842,1.0
29,1 days 17:00:00,5684859.0428739665,2384.2942441892455,2174.646439805568,0.13743355491434864,0.08944233180354136,0.12831505995791856,1.0
30,1 days 18:00:00,5613841.362764818,2369.3546300131643,2156.213780501976,0.105115447014897,0.0730695827784817,0.10314013943692336,1.0
