,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,30516254.915104896,5524.151963433383,4859.718181552035,0.5400865364610788,0.6747873163022191,0.3778566343710439,1.0
1,0 days 13:00:00,30239494.784453798,5499.044897475725,4838.05653495343,0.4880352044682436,0.36247932434520785,0.3444242047923906,1.0
2,0 days 14:00:00,26949061.699611392,5191.248568467069,4479.452503707181,0.4229079341073952,0.11285363251891463,0.30026284142751697,1.0
3,0 days 15:00:00,23356243.236194372,4832.829733830313,4086.5051219028396,0.35052795854126056,0.08147000624688788,0.2523424981593749,1.0
4,0 days 16:00:00,19460895.34049705,4411.450480340571,3701.15369506872,0.26179993843972654,0.07401036124812922,0.19797589135972435,1.0
5,0 days 17:00:00,17280674.54761727,4157.003072841932,3521.3781257853148,0.18061650345254443,0.07401036124812922,0.14995251237436882,1.0
6,0 days 18:00:00,13840745.697554143,3720.315268569875,3172.876887500163,0.11439696320926251,0.07401036124812922,0.10637099825960511,1.0
7,0 days 19:00:00,11615289.681678148,3408.1211365909735,2982.725117301355,0.0836807859419844,0.07401036124812922,0.08488548569356785,1.0
8,0 days 20:00:00,12138967.314727733,3484.1020815595707,3115.247343535555,0.09112681199080104,0.08147000624688788,0.09168194060595779,1.0
9,0 days 21:00:00,12392981.290775241,3520.3666415268794,3243.9173252324695,0.09871073150365656,0.08356488221197865,0.09888456654728095,1.0
10,0 days 22:00:00,13233266.972966893,3637.7557604884487,3418.320454090726,0.11629070661319209,0.09069185739282637,0.11415052931016012,1.0
11,0 days 23:00:00,13359733.610367132,3655.096935837288,3436.6615152578142,0.13437463682061393,0.11117721038124143,0.12877090121287532,1.0
12,1 days 00:00:00,14480628.033929354,3805.342039019535,3567.3087845614104,0.1743968137325371,0.13158704762399875,0.15816006519831802,1.0
13,1 days 01:00:00,13017490.419947652,3607.975945034508,3433.1593126346565,0.20811742589885943,0.13158704762399875,0.181187418072156,1.0
14,1 days 02:00:00,14320302.869083842,3784.217603294483,3617.1608675218463,0.25141938671482533,0.17633901261121576,0.21344673826766294,1.0
15,1 days 03:00:00,15681348.594135681,3959.9682567080863,3816.6694620291437,0.29800752397468755,0.2304743955311413,0.24787106909868004,1.0
16,1 days 04:00:00,16990327.822697207,4121.932534952168,3989.7773687789463,0.3540826948324804,0.2716457828349495,0.28703223292232,1.0
17,1 days 05:00:00,16511582.772264145,4063.4446929008577,3938.6081917183715,0.3997361688436656,0.42167732104328154,0.3178945315561203,1.0
18,1 days 06:00:00,17192574.66969708,4146.392970968512,4037.6337852256893,0.43477125348971835,0.5254791236401577,0.34416928484096254,1.0
19,1 days 07:00:00,16533532.733144583,4066.1447014518044,3960.010666532527,0.44317285668266554,0.5254791236401577,0.3507258631211371,1.0
20,1 days 08:00:00,15898845.57544676,3987.335648706635,3749.829152194708,0.43256955150964194,0.5254791236401577,0.34087590508124177,1.0
21,1 days 09:00:00,16880424.801298853,4108.5794140187745,3924.6212429110365,0.4344688217597003,0.5254791236401577,0.3437985869724099,1.0
