,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,617910.0974710954,786.0725777376383,650.319964234287,0.08498482329137554,0.07265206774136435,0.08097205651714692,1.0
1,0 days 13:00:00,1097293.6603190422,1047.5178568019937,823.974141793573,0.10083197156441513,0.0891880351957352,0.09474871085104951,0.9166666666666666
2,0 days 14:00:00,1995888.49555867,1412.7591781894996,1067.1399493145698,0.12443938493612305,0.10863428979135098,0.114225713284627,0.8333333333333334
3,0 days 15:00:00,2718848.9610167793,1648.8932533723278,1278.4459272225324,0.1425504837092876,0.12927140174726937,0.12937913217055663,0.75
4,0 days 16:00:00,2869485.1237782966,1693.95546688167,1372.6775740752103,0.1484835150163157,0.12927140174726937,0.13487606992712328,0.75
5,0 days 17:00:00,2847662.039713805,1687.501715469885,1341.7191607449365,0.14132114727250067,0.12927140174726937,0.12808821012940289,0.75
6,0 days 18:00:00,2865589.0495448546,1692.8050831518833,1351.7355876023264,0.13470080309172325,0.11656775657185522,0.12237496032819235,0.75
7,0 days 19:00:00,3000965.3154415414,1732.3294477210568,1441.8689337351477,0.1402006062845178,0.11656775657185522,0.12750652678717656,0.75
8,0 days 20:00:00,2997994.3587755095,1731.4717320174504,1438.2255645203084,0.13851979264892,0.11656775657185522,0.12569724299425322,0.75
9,0 days 21:00:00,3004321.2501106407,1733.2977961419788,1446.1367745570253,0.13853505158166163,0.11656775657185522,0.1255972412215857,0.75
10,0 days 22:00:00,3146240.8819038873,1773.764607241865,1492.08252358722,0.1387358976888432,0.11656775657185522,0.1276991638609182,0.75
11,0 days 23:00:00,3049204.6038884553,1746.1971835644608,1426.710759766742,0.1324302472580763,0.10299643566494801,0.12187615092036481,0.75
12,1 days 00:00:00,2833215.797498264,1683.2159093527675,1312.874663470395,0.12199544734129963,0.07597801575569767,0.11240812507027882,0.75
13,1 days 01:00:00,2347545.587254919,1532.170221370628,1127.4907331146048,0.10434372171495171,0.051715434078003567,0.09689900403108405,0.8333333333333334
14,1 days 02:00:00,1441810.7551027779,1200.7542442576573,873.245919576987,0.07888980734047357,0.04318541373575753,0.07567076029445828,0.9166666666666666
15,1 days 03:00:00,711180.6033481717,843.3152455328741,651.9205932269246,0.058957008850563604,0.04318541373575753,0.05881604354915362,1.0
16,1 days 04:00:00,557418.5354750744,746.6046714795417,549.1255972182408,0.05146700496971626,0.04028926908014717,0.051812511195355716,1.0
17,1 days 05:00:00,572541.5358034177,756.6647446547365,573.3547628598885,0.057405873133781066,0.04318541373575753,0.05748051403210319,1.0
18,1 days 06:00:00,547280.8414557771,739.78432090426,558.7975645941073,0.06326942207982657,0.04318541373575753,0.06252939142489208,1.0
19,1 days 07:00:00,414097.53549798974,643.50410682294,473.2744012406985,0.0585302666068837,0.04028926908014717,0.05807802354412076,1.0
20,1 days 08:00:00,416406.8567561938,645.295945095112,476.1392108228103,0.06012457361662287,0.04318541373575753,0.059796567228576715,1.0
21,1 days 09:00:00,407552.20576789713,638.3981561438732,464.39083521203656,0.059705402518191085,0.04318541373575753,0.059478279228001724,1.0
22,1 days 10:00:00,284271.35104587587,533.1710335772901,425.55157946107755,0.06034061444386076,0.04318541373575753,0.058096956107593696,1.0
23,1 days 11:00:00,322313.55239366664,567.7266528829404,459.79722157698114,0.06303610069169209,0.04465966108807061,0.0606380703415123,1.0
24,1 days 12:00:00,319739.24256938876,565.4548987933421,454.2596769528928,0.06125684737182635,0.04465966108807061,0.058929294998322966,1.0
25,1 days 13:00:00,350051.6216588127,591.6516049659738,490.6813993461153,0.06313087882107798,0.049790787690269706,0.06072770999159546,1.0
26,1 days 14:00:00,438703.1323139335,662.3466858933723,557.9226753272363,0.0669582289175892,0.05577399002646967,0.06431629726310101,1.0
27,1 days 15:00:00,566024.6838036159,752.3461196840294,637.4934442486482,0.07094129819009092,0.0644894578249446,0.06799031152442048,1.0
28,1 days 16:00:00,571822.2087481905,756.1892678081266,651.1122838173686,0.0707077310139294,0.0644894578249446,0.06779879377307584,1.0
29,1 days 17:00:00,730205.844134108,854.5208272090904,734.0357801604555,0.07134186585242949,0.0644894578249446,0.06906939942365561,1.0
30,1 days 18:00:00,703471.5888308872,838.7321317505889,713.736289704632,0.06329977386128369,0.049790787690269706,0.06173666004092391,1.0
31,1 days 19:00:00,703037.3970117139,838.4732536054528,712.9029065499003,0.06168050099849976,0.049790787690269706,0.060179404468194635,1.0
32,1 days 20:00:00,751301.4782898537,866.7764869271972,750.3288602015435,0.06296410564831452,0.057492415589158206,0.06121416656307555,1.0
33,1 days 21:00:00,834072.0599580434,913.2754567807258,811.6860017224859,0.06648297430171997,0.06828539991542668,0.06492903442420109,1.0
34,1 days 22:00:00,819596.4790726589,905.3156792371702,806.207638931854,0.0621546274975844,0.06828539991542668,0.06208748248928198,1.0
35,1 days 23:00:00,772209.4810656704,878.7545055734681,751.2696768495049,0.05675495127361522,0.057492415589158206,0.056925550186056655,1.0
36,2 days 00:00:00,777705.8745589306,881.8763374526673,761.7540729291613,0.05898293818469937,0.057492415589158206,0.05906536247720787,1.0
37,2 days 01:00:00,1002853.0982520586,1001.4255330537856,855.6970420575234,0.08127218436754419,0.06828539991542668,0.07778229958986094,1.0
38,2 days 02:00:00,964636.0185014359,982.1588560418502,835.3857597692125,0.08526649988650135,0.06828539991542668,0.08136290528726463,1.0
39,2 days 03:00:00,892900.8172509464,944.934292557396,802.1074454733777,0.0897002405459227,0.06828539991542668,0.08526135697415455,1.0
40,2 days 04:00:00,923350.7041952228,960.9113924786316,833.5966279030384,0.09813526626724443,0.08262904559793209,0.09309080310686564,1.0
41,2 days 05:00:00,929550.4038236346,964.1319431611187,835.7122296865688,0.11520206856765908,0.09091590297063215,0.10662618021849539,1.0
42,2 days 06:00:00,1040664.6722163303,1020.1297330321916,897.0997193697053,0.13009216043002372,0.11480896027953813,0.11977198132084076,1.0
