,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,2111383.588045878,1453.0600772321418,980.5466785607923,0.09770849627775456,0.09807026678123114,0.10299099374595833,0.9166666666666666
1,0 days 13:00:00,2111156.7914642333,1452.9820341161253,978.774964291048,0.09617857386909905,0.09807026678123114,0.10148018530687934,0.9166666666666666
2,0 days 14:00:00,2178935.6156058833,1476.1218159778966,1025.7292672525357,0.0886013303509593,0.08924708170272323,0.09461211495687967,0.9166666666666666
3,0 days 15:00:00,2360003.850391174,1536.230402768795,1146.3162963289876,0.09466968231333445,0.08930195023925706,0.10040848692635462,0.9166666666666666
4,0 days 16:00:00,2520849.2320071007,1587.7182470473472,1234.6671248494358,0.09077805474924593,0.08185071001492725,0.09554597628087474,0.9166666666666666
5,0 days 17:00:00,2603491.925836361,1613.5339865761616,1293.5728837725153,0.08737507807500296,0.08090820522428223,0.09157037056738737,0.9166666666666666
6,0 days 18:00:00,2855874.399472767,1689.933252963787,1406.7994610026792,0.08679130697872232,0.08090820522428223,0.0917091783583404,0.9166666666666666
7,0 days 19:00:00,3381424.6378474385,1838.8650406833663,1609.7720341697761,0.10089316677525656,0.08185071001492725,0.1045839403454467,0.9166666666666666
8,0 days 20:00:00,2211328.966275118,1487.0537872838083,1318.513896807602,0.08008901410652981,0.08090820522428223,0.0803302645326096,1.0
9,0 days 21:00:00,1981804.4598823723,1407.765768827461,1198.7682261305854,0.0721069645202624,0.06931353025733238,0.07168868119977682,1.0
10,0 days 22:00:00,1597670.494411127,1263.9899107236288,1052.2918691635407,0.0662436293500714,0.06256408424213436,0.06480885231773081,1.0
11,0 days 23:00:00,1538356.3770553775,1240.3049532495536,1001.557666310215,0.06628281988900626,0.06256408424213436,0.06485032453564922,1.0
12,1 days 00:00:00,1367448.6337596208,1169.3795935279616,907.3498189593356,0.06760533258486705,0.06256408424213436,0.06550323761453852,1.0
13,1 days 01:00:00,1372280.5420827938,1171.4437852849765,923.4553492548881,0.07323063100089633,0.06849525551525627,0.07092830068030964,1.0
14,1 days 02:00:00,1321794.3486657252,1149.6931541353654,892.6114944053137,0.08617802388967384,0.07524470153045429,0.08232188674187609,1.0
