,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,7287345.026227304,2699.508293417026,2407.7659681638174,0.4208921024155863,0.418992938627642,0.31555452953910695,1.0
1,0 days 13:00:00,6254175.798979848,2500.8350203441746,2188.5660022365005,0.3627937219373271,0.17504076966231324,0.2739509530036529,1.0
2,0 days 14:00:00,5103948.488981222,2259.191999140671,1930.8078876838588,0.2948728395228451,0.10224073322267341,0.2267386418978631,1.0
3,0 days 15:00:00,4226609.159634584,2055.871873350716,1721.0900204389138,0.2353157971521356,0.05865665125327281,0.18404710957556072,1.0
4,0 days 16:00:00,3239281.071783161,1799.8002866382594,1492.914868199229,0.1642667489445024,0.03767341007811534,0.13550300173443205,1.0
5,0 days 17:00:00,2365141.048997609,1537.9015082239853,1239.882482992147,0.10483477890944022,0.03543949488489451,0.09199770217229593,1.0
6,0 days 18:00:00,1484050.0564141916,1218.2159317683345,1033.4602613375778,0.05660353209483115,0.0340658820723564,0.05580844197364001,1.0
7,0 days 19:00:00,1943630.6847530883,1394.141558362381,1123.1806300648127,0.05078794290685726,0.0340658820723564,0.050956363752242724,1.0
8,0 days 20:00:00,1609643.4845171685,1268.7172594858039,965.445455574658,0.04081253099639447,0.03212006403171611,0.040281527809131475,1.0
9,0 days 21:00:00,1605197.2175187562,1266.9637790871357,961.6350337569561,0.04092524626645539,0.03250274927201183,0.04029589451201309,1.0
10,0 days 22:00:00,1676688.3965485282,1294.8700307554145,998.053269571178,0.046079600763112905,0.03250274927201183,0.04511290886363744,1.0
11,0 days 23:00:00,2272162.779271838,1507.3694899631735,1195.0894328537495,0.07299288459658544,0.03474217369272195,0.0679761784100199,1.0
12,1 days 00:00:00,2485727.783792274,1576.6190991461044,1238.2274026868586,0.10144986609261414,0.03474217369272195,0.09006983199538239,1.0
13,1 days 01:00:00,3152045.204819949,1775.4000126224933,1402.5527059598728,0.14400757791647867,0.03474217369272195,0.12275081701102343,1.0
14,1 days 02:00:00,3881640.2510901154,1970.187872028989,1598.5879442895875,0.19258802724359705,0.06751953062559214,0.15951416378377734,1.0
15,1 days 03:00:00,4591905.08184931,2142.8730904674007,1782.143576762539,0.24633123966497472,0.12748927954501438,0.19903762571236863,1.0
16,1 days 04:00:00,5126629.916864018,2264.206244330233,1937.1691865634511,0.29294756075914946,0.2458186322261066,0.2344937262843149,1.0
17,1 days 05:00:00,5782722.762457016,2404.729249303758,2154.215513685528,0.34438262899754385,0.3786540198904823,0.27352144035645287,1.0
18,1 days 06:00:00,6415214.66969943,2532.8274062200585,2320.986507635454,0.385404561684036,0.4736789063954724,0.30534331353428446,1.0
19,1 days 07:00:00,5805457.853921518,2409.4517745581707,2188.7965441493893,0.3865013070099177,0.4736789063954724,0.30628225155677885,1.0
20,1 days 08:00:00,5828566.789202415,2414.24248765579,2224.3092705389236,0.38923843918887546,0.4736789063954724,0.30908353341140843,1.0
21,1 days 09:00:00,5913236.488482802,2431.7147218542727,2273.709625211772,0.3916584979663227,0.4736789063954724,0.3117305949026095,1.0
22,1 days 10:00:00,5796967.702490293,2407.6892869492717,2191.3582772722325,0.38420748786339926,0.4736789063954724,0.30467178637719156,1.0
23,1 days 11:00:00,5256282.497519889,2292.658390933959,2039.8333959575905,0.3591905074452572,0.4736789063954724,0.2837533546624023,1.0
