,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,15974543.48672294,3996.816669140948,2848.696322266436,0.07860393737212647,0.0739034351446257,0.0824424262092412,1.0
1,0 days 13:00:00,16098874.50464321,4012.3402777734605,2916.828279375728,0.07787913589386071,0.0739034351446257,0.08165430261688134,1.0
2,0 days 14:00:00,16380897.367032843,4047.332129567926,3017.4571273555703,0.07591676535365298,0.06677906896671683,0.079777635826962,1.0
3,0 days 15:00:00,17135899.15812946,4139.553014291454,3261.4063662351105,0.07960034191276563,0.07051318557849398,0.08336032571887714,1.0
4,0 days 16:00:00,21304153.24947819,4615.642235862545,3803.0403895927216,0.0866025257665156,0.09362261056972623,0.0896553726570344,1.0
5,0 days 17:00:00,27394874.21043947,5234.011292540308,4486.598854276967,0.09770102243672395,0.11157428116768442,0.09975756538430243,1.0
6,0 days 18:00:00,29253876.12443589,5408.685249155833,4857.087560034294,0.10325320632841654,0.11157428116768442,0.10501089920518274,1.0
7,0 days 19:00:00,37959136.22170932,6161.0986213263395,5550.216869700848,0.11412972524950711,0.13110493596299047,0.11355361236152156,0.9166666666666666
8,0 days 20:00:00,37267958.052311264,6104.748811565572,5455.277604797388,0.1079984440221849,0.10879217208921664,0.10636031293204433,0.9166666666666666
9,0 days 21:00:00,35243425.01383792,5936.617303973528,5150.031856007526,0.0999656611592938,0.08766831526916605,0.09744495755052597,0.9166666666666666
10,0 days 22:00:00,30914844.50489205,5560.111914781217,4703.7326348478655,0.09255284746756316,0.07617962600725792,0.08911895184795977,0.9166666666666666
11,0 days 23:00:00,25572096.148415133,5056.886012994077,4063.815915463785,0.08189634029796188,0.06730625095229861,0.07753375450746691,0.9166666666666666
12,1 days 00:00:00,23852935.7155117,4883.9467355317975,3685.993813238747,0.074364075580461,0.05846762430144224,0.07033037594509985,0.9166666666666666
13,1 days 01:00:00,23711560.711277843,4869.451787550406,3594.3616762487345,0.07362011581618177,0.05846762430144224,0.06959985397163236,0.9166666666666666
14,1 days 02:00:00,23397410.611934435,4837.086996523262,3468.9825352012613,0.07344219336468348,0.05846762430144224,0.06950912199568011,0.9166666666666666
15,1 days 03:00:00,22691189.632144645,4763.527015998193,3282.1920170523395,0.07384138257204359,0.06086275954560294,0.06988812160531724,0.9166666666666666
16,1 days 04:00:00,18493655.107622564,4300.424991512184,2697.3324562392927,0.06375166032861966,0.04702438751908185,0.06042650924704277,0.9166666666666666
17,1 days 05:00:00,12401183.007112347,3521.5313440479763,2011.1856662284506,0.052468283277940085,0.035177743890816696,0.05009059272617075,0.9166666666666666
18,1 days 06:00:00,10548539.880883748,3247.85157925724,1650.000505871855,0.047497570973793195,0.02806521714741575,0.04537989553294419,0.9166666666666666
19,1 days 07:00:00,1637109.683308174,1279.4958707663632,898.6909575182617,0.0339764957487463,0.02806521714741575,0.03396585196444193,1.0
20,1 days 08:00:00,3362431.68760642,1833.6934551899399,1100.254269268123,0.04270892034801325,0.02806521714741575,0.044219009906451674,1.0
21,1 days 09:00:00,15986597.07676893,3998.3242835929314,2009.6374655318966,0.061911850196006694,0.02806521714741575,0.0669821062523497,0.9166666666666666
22,1 days 10:00:00,33698719.71432725,5805.059837273622,3056.9849583685027,0.07819080103353744,0.02806521714741575,0.08638655621319109,0.8333333333333334
23,1 days 11:00:00,48171299.94299337,6940.554728765805,4127.620103876432,0.09464028027064052,0.043129496525785724,0.10495341728889325,0.75
24,1 days 12:00:00,54300523.988884665,7368.888924993012,4841.621257255571,0.10576939602065648,0.059823092077384565,0.11688446878091004,0.75
25,1 days 13:00:00,57042632.27080072,7552.657298646664,5301.534589622094,0.11186327640532572,0.07582437154577698,0.1233158418562212,0.75
26,1 days 14:00:00,57104251.726885736,7556.735520506572,5342.73803846383,0.11055190198738278,0.07582437154577698,0.12197319308999784,0.75
27,1 days 15:00:00,57055388.36344245,7553.50172856553,5285.067792612744,0.10607162860468021,0.07582437154577698,0.11761542175566485,0.75
28,1 days 16:00:00,58549234.23176392,7651.747135900658,5631.345404955459,0.11148085258089209,0.07877828128573294,0.12282550331691529,0.75
29,1 days 17:00:00,59723288.91964013,7728.084427569365,5918.394533402083,0.11479215316058138,0.07877828128573294,0.12599942694207028,0.75
30,1 days 18:00:00,59710147.34459791,7727.234132896318,5886.836950762329,0.1127468846982785,0.07877828128573294,0.12397956403520455,0.75
31,1 days 19:00:00,59943556.970533155,7742.322453278031,5951.32626213075,0.11040856534326983,0.07877828128573294,0.1215180502684469,0.75
32,1 days 20:00:00,59940660.73938793,7742.135412106141,5951.062375742411,0.1042774790103224,0.07877828128573294,0.1144663605895685,0.75
33,1 days 21:00:00,51208518.305521436,7156.012737937338,5500.739321438239,0.0939599577641937,0.07877828128573294,0.10160505253962737,0.8333333333333334
34,1 days 22:00:00,36703489.64000588,6058.340502151219,4820.152783008886,0.08643967516149276,0.07877828128573294,0.09212522104250076,0.9166666666666666
35,1 days 23:00:00,22551925.36755429,4748.886750339945,3887.5201488545176,0.07510272546565147,0.07357922390901653,0.07893456826379655,1.0
36,2 days 00:00:00,16427743.935713282,4053.1153370849543,3193.3494986469636,0.06496135716687104,0.06668339960957248,0.06799762205502344,1.0
37,2 days 01:00:00,14026704.04954701,3745.2241654601944,2884.564676069167,0.06831300864399721,0.06668339960957248,0.07038588794450591,1.0
38,2 days 02:00:00,14101957.600550892,3755.257328140229,2916.306097941983,0.07418343748159957,0.07357922390901653,0.07595076285203102,1.0
39,2 days 03:00:00,14142641.310522346,3760.670327285063,2968.4220828061298,0.07774390142601377,0.07357922390901653,0.07943257623233257,1.0
40,2 days 04:00:00,13002895.636397244,3605.9528056253375,2787.439903591508,0.08414149410180859,0.08128604513541829,0.08518806725840368,1.0
41,2 days 05:00:00,12279935.511477767,3504.2738921890464,2669.2363401577372,0.09289059102303736,0.0919784720332114,0.09301431517841609,1.0
42,2 days 06:00:00,12783358.854973344,3575.3823368939643,2872.491591019268,0.10566696374920133,0.11258197747466936,0.10487752575049791,1.0
43,2 days 07:00:00,12972122.472386649,3601.683283186717,2911.3368854710516,0.11371093042855952,0.1301681643546311,0.11217213222665834,1.0
44,2 days 08:00:00,14106853.995111622,3755.909210179557,3005.1342035283214,0.13059120585738102,0.13941767499970115,0.1253603048979929,1.0
45,2 days 09:00:00,14982901.401077295,3870.775297156539,3064.7211305983637,0.14139178290193546,0.1402433937415403,0.13243098233578837,1.0
46,2 days 10:00:00,12323756.669952454,3510.5208545104038,2797.013226838306,0.13397838888382818,0.1301681643546311,0.12337081446378605,1.0
47,2 days 11:00:00,12794095.87445076,3576.8835421985377,2889.4022089524537,0.13238025836519007,0.1301681643546311,0.12165995029394783,1.0
48,2 days 12:00:00,22015088.656048693,4692.023940268069,3745.725080822361,0.14424934211056667,0.1402433937415403,0.13460396653124587,0.9166666666666666
49,3 days 17:00:00,58044335.91588071,7618.683345295348,5317.161452334826,0.15437606563699308,0.1504849040769062,0.14830814196914396,0.8333333333333334
50,3 days 18:00:00,87659694.96051781,9362.675630423058,6777.654495950862,0.1668994616199646,0.15417806590211905,0.16376456529362504,0.75
51,4 days 00:00:00,87745745.0622606,9367.269883069484,6822.040765151301,0.16967360344499202,0.15417806590211905,0.1663781504073832,0.75
52,4 days 01:00:00,87522298.23455371,9355.335281781927,6754.687417829457,0.16486265006486048,0.15417806590211905,0.16208948952676952,0.75
53,4 days 02:00:00,87071977.29255466,9331.236643261956,6587.014773070007,0.1528860325820426,0.14337932222827848,0.15117115880855192,0.75
54,4 days 03:00:00,86597509.95274337,9305.778309885925,6431.334459576498,0.14359482962493067,0.1113776734607509,0.1428686559087386,0.75
55,4 days 04:00:00,86029368.17385975,9275.201786153213,6252.944925463278,0.13612558022065746,0.08681197429835077,0.13601468988648988,0.75
56,4 days 05:00:00,82557752.65041238,9086.129684877516,5821.415694186283,0.1196129562379601,0.08681197429835077,0.12323396127312769,0.75
57,4 days 06:00:00,77808271.51226361,8820.899699705446,5308.877812993729,0.10478586757849694,0.08681197429835077,0.11159812200215526,0.75
58,4 days 07:00:00,77934571.28842492,8828.05591783519,5327.079427842025,0.11134092372397258,0.0934984668780873,0.11963550557146352,0.75
59,4 days 08:00:00,79981846.87076817,8943.257061650871,5555.933379035385,0.12279625663800092,0.0998783271070318,0.1327025026574422,0.75
60,4 days 09:00:00,74787198.62703331,8647.95921747052,5258.711431077285,0.12515458032598473,0.0998783271070318,0.13551607582069067,0.8333333333333334
61,4 days 10:00:00,40932804.37415417,6397.8749889439205,3975.9359593570794,0.11484295590306083,0.0998783271070318,0.1229550439184592,0.9166666666666666
62,4 days 11:00:00,11542483.218030073,3397.42302606403,2579.390499030174,0.09887449535342209,0.0934984668780873,0.10443392792699767,1.0
63,4 days 12:00:00,11420986.633958844,3379.495026473459,2498.2892335668116,0.09285938666403516,0.0934984668780873,0.09865702917172843,1.0
64,4 days 13:00:00,11989614.768050566,3462.6023115643193,2635.22493113714,0.08986328630863451,0.07552186474568337,0.09586435619013887,1.0
65,4 days 14:00:00,14450296.569965286,3801.35457040846,3060.857525065015,0.09626026712214787,0.09910092874459578,0.1018819460861391,1.0
66,4 days 15:00:00,17749161.898661282,4212.9754210844,3538.322744148296,0.10250182074231351,0.10159985712404224,0.10750888921276484,1.0
67,4 days 16:00:00,21013617.864440303,4584.061284978671,4018.199952806565,0.10856854929810146,0.10934240859878397,0.11312014000930581,1.0
68,4 days 17:00:00,25680863.515766457,5067.62898363391,4533.742563375544,0.1122483179172386,0.11666630111568918,0.11550602983706076,1.0
69,4 days 18:00:00,26607495.95238373,5158.245433515522,4710.624063972886,0.10981338096588038,0.11666630111568918,0.1124685601357936,1.0
70,4 days 19:00:00,27861523.517460283,5278.401606306617,4852.218363183935,0.10542065061930621,0.1131309424330098,0.10639819765676602,1.0
71,4 days 20:00:00,25284999.342523415,5028.419169333779,4515.45647203076,0.09260004289773932,0.10538839095826807,0.09175587257786054,1.0
72,4 days 21:00:00,21254775.012118474,4610.290122337039,3945.7123862977314,0.07762120340282373,0.0844913070364463,0.0752400518244665,1.0
73,4 days 22:00:00,18957490.60879897,4354.0200514925245,3623.691758426708,0.07207188126735288,0.06327399787200799,0.06914283735337202,1.0
74,4 days 23:00:00,19439561.450435475,4409.031804198681,3713.550329806973,0.08055378227505096,0.0844913070364463,0.07850380374277244,1.0
75,5 days 00:00:00,20537109.62608126,4531.788788776597,3994.89788401642,0.09697860951704519,0.10538839095826807,0.09682372881549571,1.0
76,5 days 01:00:00,20865381.19324072,4567.863963959601,4046.1081341435624,0.11080031561365666,0.1131309424330098,0.11301783086962762,1.0
