,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,15281736.19352188,3909.1861293013253,3422.877536819537,0.4894058287910505,0.5513078376206424,0.34920828016856936,1.0
1,0 days 13:00:00,13299587.398466492,3646.8599367766365,3140.643254668563,0.4264636335209087,0.20319134731686847,0.305432796251386,1.0
2,0 days 14:00:00,10870586.812958436,3297.057295977496,2742.89709518922,0.34550308364261634,0.06818733643222899,0.2517331602204506,1.0
3,0 days 15:00:00,8980469.130879184,2996.7430872330688,2382.363325479325,0.27401551863514506,0.05244168289881767,0.20221287234611876,1.0
4,0 days 16:00:00,6961653.065549898,2638.4944694939004,2003.1356047038644,0.19257763082203128,0.044982840777651474,0.14797676400077153,1.0
5,0 days 17:00:00,5235205.074585059,2288.057052301157,1754.1074009977358,0.12174294208648619,0.044982840777651474,0.10061694969829649,1.0
6,0 days 18:00:00,4470515.840404785,2114.3594397369584,1676.84529361971,0.06714722886844217,0.044982840777651474,0.06460194026051963,1.0
7,0 days 19:00:00,4491702.669877729,2119.363741757825,1679.514149300793,0.05246739123435717,0.044982840777651474,0.052895374978599356,1.0
8,0 days 20:00:00,4570399.209260435,2137.849201711953,1706.3133896566515,0.05317131627634849,0.044982840777651474,0.053261957591072516,1.0
9,0 days 21:00:00,4262714.023688526,2064.6341137568484,1607.9743330003084,0.05081917800273325,0.044982840777651474,0.050556718929825474,1.0
10,0 days 22:00:00,4138177.495417975,2034.2510895703053,1550.1977435531933,0.05091752048279422,0.045572895658017344,0.05048557579972529,1.0
11,0 days 23:00:00,4311682.33334363,2076.4590854008247,1648.1226617780121,0.06041859121627218,0.04720571954973725,0.05939797346258801,1.0
12,1 days 00:00:00,5132853.205968547,2265.5801036309767,1828.3194086405954,0.0927898884378253,0.050309404316682446,0.08565378378254616,1.0
13,1 days 01:00:00,5936868.8483806215,2436.569073180693,1976.7368253493871,0.13514487363993896,0.059888683866493375,0.1179157085990533,1.0
14,1 days 02:00:00,6763409.41913326,2600.655574875931,2189.4232070737653,0.1783935253388251,0.09295309767968672,0.1517196078773837,1.0
15,1 days 03:00:00,7476965.878872712,2734.4041176959768,2398.0705387023772,0.22226537433151752,0.1204084712144744,0.18607747005981565,1.0
16,1 days 04:00:00,7996175.750632983,2827.7510057699533,2576.3578789788603,0.2596881736348369,0.13803414495526567,0.2163493340823439,1.0
17,1 days 05:00:00,8182076.174174797,2860.4328648256715,2618.169505416823,0.28972345854813747,0.2828018281744783,0.2403964047191222,1.0
18,1 days 06:00:00,7448499.236032441,2729.193880257033,2524.703569013196,0.3199294512259454,0.4161442345614356,0.2622290120631234,1.0
19,1 days 07:00:00,6411769.350566499,2532.147181853081,2347.1958660195146,0.3200393849173138,0.4161442345614356,0.2623237935936595,1.0
20,1 days 08:00:00,7178257.707605168,2679.2270727964005,2498.3268164633605,0.3274231958207636,0.4161442345614356,0.2710001700209886,1.0
21,1 days 09:00:00,7545834.771654778,2746.968287340569,2610.065452671366,0.33078393610775086,0.4161442345614356,0.2748032463659575,1.0
22,1 days 10:00:00,8581485.8225659,2929.4173179261948,2849.168457757258,0.3363520441164016,0.4161442345614356,0.281015280484514,1.0
23,1 days 11:00:00,9657224.905536538,3107.6075855127747,3049.987909653879,0.3351088020212038,0.4161442345614356,0.2808763687645925,1.0
24,1 days 12:00:00,13251122.20632267,3640.2090882698853,3384.7293630388044,0.31474786312011566,0.2939786011549068,0.2679979239468459,1.0
25,1 days 13:00:00,15159923.289642215,3893.5746159078826,3583.8240300839534,0.28048660558790045,0.16605840982160514,0.24465367888155654,1.0
26,1 days 14:00:00,18969864.008939825,4355.440736474304,3939.6255916202467,0.24995867904066763,0.1633419212146927,0.22490251381180174,1.0
27,1 days 15:00:00,23153733.70351467,4811.832676175956,4332.786663464744,0.21962730982831705,0.1633419212146927,0.20548186493867168,1.0
28,1 days 16:00:00,24312794.17883173,4930.800561656467,4497.657605342298,0.1907411013390151,0.15554123898938726,0.18430213182435506,1.0
29,1 days 17:00:00,25183062.142474342,5018.272824635418,4630.649219033203,0.16530590169226367,0.1485886361465485,0.1652449079002906,1.0
30,1 days 18:00:00,30351918.039330915,5509.257485299713,5064.010843572342,0.1431055143063141,0.1485886361465485,0.15293989199281943,0.9166666666666666
31,1 days 19:00:00,30424808.01804639,5515.868745541938,5082.544741878685,0.13599334038927152,0.12759242453813224,0.14695913706812355,0.9166666666666666
32,1 days 20:00:00,29926250.622829597,5470.489066146609,4997.542528770475,0.13071783132826734,0.11255847251942877,0.14095615781250956,0.9166666666666666
33,1 days 21:00:00,31623507.366780598,5623.4782267543815,5227.290911014644,0.14090906712272247,0.12759242453813224,0.15288256947045106,0.9166666666666666
34,1 days 22:00:00,32900117.74097668,5735.862423470134,5370.434900919427,0.15369176450349206,0.15638931837185394,0.1685041248968319,0.9166666666666666
35,1 days 23:00:00,32201214.524447948,5674.611398540692,5262.419346565043,0.16010209352239893,0.1723705593179642,0.1759696958044318,0.9166666666666666
36,2 days 00:00:00,27710153.129768144,5264.043420201637,4707.894788969021,0.15148530501866772,0.15638931837185394,0.16616941105533653,0.9166666666666666
37,2 days 01:00:00,24905535.37067908,4990.544596602567,4332.586964791902,0.15863684606904152,0.1723705593179642,0.17045815174314458,0.9166666666666666
38,2 days 02:00:00,20258145.36539341,4500.9049496066245,3755.210611981556,0.15163701053845546,0.14357366548424247,0.1618422042237819,0.9166666666666666
39,2 days 03:00:00,15389633.7112007,3922.962364234546,3177.4122165950416,0.1483979572886213,0.1241393459852374,0.15649420706754374,0.9166666666666666
40,2 days 04:00:00,13744636.492030507,3707.3759577402598,2863.776689890179,0.1513582612224603,0.14190116958827131,0.1580434093542288,0.9166666666666666
41,2 days 05:00:00,12466333.221839108,3530.769494294283,2616.817248253295,0.1608719527816875,0.16646188064034806,0.165215386272785,0.9166666666666666
42,2 days 06:00:00,6655750.739047633,2579.8741711656467,2061.550549117981,0.1694284495530077,0.16646188064034806,0.16802364863453392,1.0
43,2 days 07:00:00,7489664.038230426,2736.72505711305,2203.8025880012638,0.20570871895592113,0.19806780860818163,0.19562463210719158,1.0
44,2 days 08:00:00,10379045.952810965,3221.652674142724,2532.5214180137386,0.25379683982194584,0.21630392175999505,0.2293141421450328,1.0
45,2 days 09:00:00,12161307.291593678,3487.3065955825678,2681.836761675177,0.2770421316590714,0.22483085370125436,0.24243453290753644,1.0
46,2 days 10:00:00,14415260.798765713,3796.743446529633,2858.5287750788543,0.28932041320260754,0.22483085370125436,0.24541814632640538,1.0
47,2 days 11:00:00,17948005.66648371,4236.508664747862,3226.7820713264678,0.30045940767609364,0.2725852189388605,0.25134415000389965,1.0
48,2 days 12:00:00,18843331.75721817,4340.8906640478945,3446.29150662885,0.3044294433923533,0.2725852189388605,0.25452377251447217,1.0
49,3 days 17:00:00,21601215.26867569,4647.710755702821,3817.681804520205,0.3079011861280823,0.2934156753532349,0.2572689995935056,1.0
50,3 days 18:00:00,24294895.18490912,4928.98520842872,4247.070130614647,0.3245216978224423,0.301211486243099,0.27121142570090556,1.0
51,4 days 00:00:00,24258785.806842715,4925.320883642275,4214.171968724702,0.31809650622521396,0.301211486243099,0.26565170722487647,1.0
52,4 days 01:00:00,24256346.62454577,4925.073260830317,4212.50275450854,0.3166708109545913,0.301211486243099,0.2658426729151853,1.0
53,4 days 02:00:00,24195541.23656409,4918.896343344113,4178.897243609439,0.30994970877477096,0.301211486243099,0.26184442360516785,1.0
54,4 days 03:00:00,23920554.554623347,4890.864397488786,4067.103100124519,0.2939058458760448,0.2778530780711147,0.25009579108136265,1.0
55,4 days 04:00:00,22756161.119943812,4770.34182422432,3801.064802377094,0.26282047728636876,0.20533469703670656,0.2282550434908401,1.0
