,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,4064615.797147952,2016.0892334289056,1870.290315666057,0.41828029108127757,0.47332525861272584,0.3181459288579629,1.0
1,0 days 13:00:00,3933129.888610894,1983.2120130260641,1845.5997766886142,0.3618332047183777,0.23406719276258808,0.28157561654069946,1.0
2,0 days 14:00:00,3689143.286661412,1920.7142647102437,1791.3345025285307,0.3085654508836379,0.11215140546439514,0.24518564737312384,1.0
3,0 days 15:00:00,3421289.5090570864,1849.672811352615,1722.8245865942372,0.258666652675249,0.09735053308941297,0.20977486028095008,1.0
4,0 days 16:00:00,3110074.286698902,1763.540270790237,1653.5630920412975,0.1923451956534078,0.09383998192306389,0.16654740851820138,1.0
5,0 days 17:00:00,3474972.804026688,1864.127893688276,1723.09290548828,0.15247255884875402,0.09383998192306389,0.1403122645935349,1.0
6,0 days 18:00:00,3739266.8759467923,1933.7184065801289,1771.8629920063804,0.1160181184656579,0.09383998192306389,0.11680555867897023,1.0
7,0 days 19:00:00,3436602.5010343306,1853.8075685017393,1664.6022534204274,0.09281273822578574,0.08437235048072271,0.0976061220328417,1.0
8,0 days 20:00:00,3555706.438705716,1885.658091676674,1734.4139992591115,0.09802737531435886,0.09383998192306389,0.10339192593970487,1.0
9,0 days 21:00:00,3534961.5733314776,1880.1493486772474,1723.843567885461,0.09945769221470291,0.09395479806279382,0.10494914098276371,1.0
10,0 days 22:00:00,3568109.2528041466,1888.9439517370934,1738.7140948284643,0.1052634671638279,0.09735053308941297,0.11137696432412508,1.0
11,0 days 23:00:00,3309527.3411171553,1819.2106368194848,1608.6067480833506,0.09958547493684776,0.09395479806279382,0.10531230162003395,1.0
12,1 days 00:00:00,3410919.9571589767,1846.867606830272,1647.4018516591111,0.12312327802693264,0.10105862095395134,0.12453266292929345,1.0
13,1 days 01:00:00,3236519.3684210307,1799.0328980930367,1609.250233025801,0.16161546221533174,0.10105862095395134,0.15120142842204062,1.0
14,1 days 02:00:00,3184684.7775053284,1784.568512975988,1595.1485746233714,0.1953498067464964,0.11987201535285524,0.1761698681617759,1.0
15,1 days 03:00:00,3169340.2749776263,1780.2641025919795,1590.0789508229416,0.22422587931639293,0.1429064513170044,0.19861520559311396,1.0
16,1 days 04:00:00,3136672.516206941,1771.0653619239865,1580.881505226178,0.26439435628833313,0.1594253528446437,0.22776484302815922,1.0
