,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,2000478.588540201,1414.3827588528507,1010.5441454281968,0.04392162009794793,0.03883313055285521,0.04548261559039928,0.9166666666666666
1,0 days 13:00:00,2053808.014903512,1433.111305832004,1061.524758710097,0.04507492960019991,0.03883313055285521,0.046658149462767605,0.9166666666666666
2,0 days 14:00:00,1994424.78424211,1412.2410503317449,995.6223706113786,0.040812475749625605,0.03664436567081907,0.042509296930190434,0.9166666666666666
3,0 days 15:00:00,2010940.736097799,1418.0764211063517,1028.5534327652551,0.04170308400046433,0.03664436567081907,0.04339132152492226,0.9166666666666666
4,0 days 16:00:00,2051967.6372219222,1432.469070249659,1055.8485216477757,0.041025396385583605,0.032578239981534696,0.04262274224315175,0.9166666666666666
5,0 days 17:00:00,2078750.9710496925,1441.7874222816943,1088.8911427880414,0.04142638639284293,0.032578239981534696,0.04302995768900222,0.9166666666666666
6,0 days 18:00:00,2553135.1239821706,1597.8532861255349,1240.3098593241345,0.04410942385540342,0.03476700486357083,0.04586023431957101,0.9166666666666666
7,0 days 19:00:00,2730341.9087407063,1652.3746272382382,1276.4454855275778,0.04305621335865554,0.03476700486357083,0.04403821916253386,0.9166666666666666
8,0 days 20:00:00,1688011.555051775,1299.2349883880802,1015.1464003574152,0.03282388898168431,0.0272536592665287,0.032957821561762836,1.0
9,0 days 21:00:00,1651858.7261644688,1285.2465624013428,997.875655327293,0.03194373557804287,0.0272536592665287,0.032042341736688004,1.0
10,0 days 22:00:00,1570242.0660912495,1253.0929997774504,950.5345054799149,0.030539666024494923,0.024992678768352768,0.030591467552646565,1.0
11,0 days 23:00:00,1596959.3834836585,1263.7085832911237,959.433265127706,0.03240656877838057,0.024992678768352768,0.03257459871092153,1.0
12,1 days 00:00:00,1779180.9563613574,1333.8594215138855,1081.342557464209,0.03852413011899103,0.0272536592665287,0.03892872042829441,1.0
13,1 days 01:00:00,1754394.2028178333,1324.535466802544,1064.285340307285,0.039255453734793284,0.031141514413895247,0.03968271446501547,1.0
14,1 days 02:00:00,1773461.9827513758,1331.7139267693253,1099.8174474557065,0.04161976502597404,0.031886925707176585,0.042009725062937785,1.0
15,1 days 03:00:00,1768123.82071976,1329.708171261559,1093.295045722655,0.04237969805143687,0.031886925707176585,0.04280033342362748,1.0
16,1 days 04:00:00,1758884.8096831506,1326.2295463769274,1088.0691159971739,0.04443670811363256,0.03417954733477838,0.04501250739877375,1.0
17,1 days 05:00:00,1742930.0792924345,1320.2007723420081,1072.4155236489817,0.045122532405877845,0.03417954733477838,0.045713580618490644,1.0
