,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,16668198.828925198,4082.670551112984,3748.123972528965,0.16079367611099926,0.17149033549123371,0.14600415912741985,1.0
1,0 days 13:00:00,13870329.754820636,3724.2891610105457,3378.943165052789,0.142287712041505,0.1171848510142176,0.1297837322049201,1.0
2,0 days 14:00:00,13923344.61711508,3731.3998200561514,3383.6441177756365,0.12946865247439507,0.09891382136104002,0.1189619564533944,1.0
3,0 days 15:00:00,15630965.159330701,3953.601542812667,3520.2731374752275,0.11700285238567386,0.09891382136104002,0.10861640988480233,1.0
4,0 days 16:00:00,19120294.609680425,4372.675909518155,3779.80051466421,0.10458889545562877,0.09891382136104002,0.09846082506139404,1.0
5,0 days 17:00:00,22682383.24576063,4762.60257062886,4097.7323519413685,0.09726336643577721,0.09891382136104002,0.09218526447742098,1.0
6,0 days 18:00:00,21566947.41143318,4644.02276172643,3916.8987967632515,0.08027556730799752,0.08330021270229188,0.07716909635814266,1.0
7,0 days 19:00:00,32983921.074119333,5743.162985160645,4671.941627814535,0.08504843843689668,0.08330021270229188,0.08123772878217957,0.9166666666666666
8,0 days 20:00:00,34087683.80440614,5838.465877643385,4841.439875573051,0.08461290965344448,0.0822328013373734,0.08042165436584242,0.9166666666666666
9,0 days 21:00:00,34044298.71204505,5834.749241573716,4832.85265837621,0.0823971037651474,0.08068704000157875,0.07793794948320615,0.9166666666666666
10,0 days 22:00:00,34419420.87396667,5866.806701602386,4931.568681256165,0.08382654492252739,0.08068704000157875,0.07931019963689276,0.9166666666666666
11,0 days 23:00:00,36448316.647623144,6037.244126886302,5260.435654773599,0.09290484194915039,0.09891382136104002,0.08772042011165176,0.9166666666666666
12,1 days 00:00:00,37853235.994036034,6152.49835384261,5390.124897493936,0.10205942949202369,0.10926613171894672,0.09563586040160223,0.9166666666666666
13,1 days 01:00:00,40793820.47966143,6387.004030033285,5771.052105819011,0.11941344460278447,0.11960712581435431,0.11094062791211451,0.9166666666666666
14,1 days 02:00:00,40809930.61070678,6388.265070479369,5772.471386243223,0.13071651317729394,0.12748970488157865,0.12056021669405768,0.9166666666666666
15,1 days 03:00:00,39125086.48011241,6255.00491447548,5637.935057491614,0.14122086757981003,0.13554796041324593,0.12936921169717772,0.9166666666666666
16,1 days 04:00:00,35633602.821629375,5969.388814747233,5378.199103042128,0.15123305090161163,0.16405696721274354,0.13766449924276633,0.9166666666666666
17,1 days 05:00:00,32066512.78463551,5662.730152906415,5059.589626498796,0.15681433775261608,0.18966210925154595,0.14249163639599,0.9166666666666666
18,1 days 06:00:00,34914479.55419231,5908.8475656588325,5407.8576377121635,0.18310405110457648,0.20074960304485234,0.16462313250640748,0.9166666666666666
19,1 days 07:00:00,24883223.84654224,4988.3087160421655,4823.666165412093,0.18609715082800515,0.21870820138542435,0.1670680180430046,1.0
20,1 days 08:00:00,23362983.94091317,4833.527070464504,4477.897850025943,0.18102423999809378,0.21870820138542435,0.16216490126746316,1.0
21,1 days 09:00:00,22864287.439214002,4781.661577235888,4302.791830510904,0.17840601334134135,0.21870820138542435,0.15962016116593164,1.0
22,1 days 10:00:00,22566668.47359131,4750.4387664289825,4230.504296719152,0.17747608875743784,0.21870820138542435,0.1587300670497441,1.0
23,1 days 11:00:00,21493648.119744245,4636.124256288246,4106.058740456128,0.1728417355841716,0.21870820138542435,0.1545469637516619,1.0
24,1 days 12:00:00,18425959.16161867,4292.546931789875,3693.958442555328,0.15756257057767328,0.20762070759211793,0.14085603796456475,1.0
25,1 days 13:00:00,15289907.626865044,3910.2311474981943,3212.1842873872324,0.1383716014982961,0.1309010575600414,0.12374525673354586,1.0
26,1 days 14:00:00,13184871.360678801,3631.0978175585965,2959.7398796595844,0.12220364871718682,0.0601532865069746,0.10959213637978805,1.0
27,1 days 15:00:00,13983320.280356495,3739.4278011958586,3027.8320078496204,0.10997235895506301,0.0601532865069746,0.0992337616264141,1.0
28,1 days 16:00:00,12910417.777489344,3593.106981080489,2906.9402558021516,0.09300982812334879,0.04870324633950575,0.08460947632424336,1.0
29,1 days 17:00:00,12622920.366140047,3552.8749437800434,2865.094077963216,0.08133576017975368,0.043520139923803915,0.07415170609349138,1.0
30,1 days 18:00:00,10825569.780383736,3290.2233632967436,2689.7969300986133,0.05687327318949478,0.043520139923803915,0.0539846310244906,1.0
31,1 days 19:00:00,9831135.694126908,3135.4641911728013,2576.8663799853343,0.04141502888654049,0.043520139923803915,0.040606385782082595,1.0
32,1 days 20:00:00,12154751.120354956,3486.3664638639116,3006.7148035119008,0.046594789463940245,0.044826834112821554,0.0459733549983028,1.0
33,1 days 21:00:00,18624841.717858605,4315.650787292527,3710.5461097726707,0.055446354519897746,0.04756142163892689,0.0554165284052432,1.0
34,1 days 22:00:00,27670191.368855402,5260.246322070422,4453.841638498225,0.06514449847264302,0.05214119725710722,0.0662619346318872,1.0
35,1 days 23:00:00,31589303.219044846,5620.436212523441,4800.868783274321,0.07018828980076317,0.05214119725710722,0.07239909355005718,1.0
36,2 days 00:00:00,34822647.110876754,5901.071691724881,5226.1711358773555,0.07928976929402508,0.06030686870457366,0.08230426162382302,1.0
37,2 days 01:00:00,34814236.56565589,5900.359020064448,5210.6482800425665,0.07917399979040494,0.06030686870457366,0.08219093541647308,1.0
