경복궁·서촌마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,49.4,50.6,0.5,6.5,16.6,18.3,19.1,17.7,10.7,10.6,60.2,39.8,N,2023-03-15 23:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-15 23:55,22,0,2023-03-15 23:51,3.8,3.5,12,7,36,SSE,3.4,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,나쁨,131,보통,94,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
광화문·덕수궁,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,58.2,41.8,0.0,3.9,19.1,23.4,21.9,18.3,8.3,5.1,25.5,74.5,N,2023-03-15 23:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-15 23:55,21,0,2023-03-15 23:51,3.8,3.5,12,7,36,SSE,3.4,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,나쁨,131,보통,94,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
창덕궁·종묘,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,53.8,46.2,0.1,5.8,29.2,19.8,15.2,14.3,9.2,6.5,39.5,60.5,N,2023-03-15 23:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-15 23:55,19,0,2023-03-15 23:51,3.8,3.5,12,7,36,SSE,3.4,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,나쁨,131,보통,94,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,68.4,31.6,0.1,6.9,20.7,26.0,24.0,12.3,8.5,1.6,8.0,92.0,N,2023-03-15 23:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-15 23:55,20,0,2023-03-15 23:51,4.9,4.9,13,7,25,SSE,3,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,나쁨,109,보통,85,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
동대문 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,49.6,50.4,0.0,2.8,22.8,27.3,19.8,15.1,8.9,3.3,28.7,71.3,N,2023-03-15 23:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-15 23:55,21,0,2023-03-15 23:51,3.8,3.5,12,7,36,SSE,3.4,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,나쁨,131,보통,94,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8500,9000,59.4,40.6,0.0,4.3,24.5,24.7,22.7,13.7,7.0,3.0,13.1,86.9,N,2023-03-15 23:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-15 23:55,20,0,2023-03-15 23:51,3.8,3.5,12,7,36,SSE,3.4,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,나쁨,115,보통,87,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}]}"
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,53.3,46.7,0.3,3.9,28.7,28.1,15.2,10.9,7.2,5.7,35.7,64.3,N,2023-03-15 23:20,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-03-15 23:55,25,0,2023-03-15 23:51,4.7,4.3,12,7,27,SE,3.7,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,16,나쁨,141,보통,97,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,18000,20000,51.2,48.8,0.4,5.3,26.2,23.7,17.3,12.6,9.4,5.2,30.8,69.2,N,2023-03-15 23:20,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-03-15 23:55,27,0,2023-03-15 23:51,4.9,4.9,13,7,25,SSE,3.1,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,16,나쁨,122,보통,87,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8500,9000,57.6,42.4,0.0,4.5,26.6,22.4,18.3,14.8,8.9,4.5,22.1,77.9,N,2023-03-15 23:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-15 23:55,19,0,2023-03-15 23:51,3.8,3.5,12,7,36,SSE,3.4,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,나쁨,131,보통,94,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,30000,32000,50.6,49.4,0.2,8.9,42.5,20.4,12.6,8.1,4.2,3.2,26.9,73.1,N,2023-03-15 23:20,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-15 23:55,19,0,2023-03-15 23:51,4.8,4.1,12,8,29,SSE,4.5,-,없음,비 또는 눈 소식이 없어요.,06:44,18:39,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,나쁨,90,보통,77,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,"{'NEWS_LIST': [{'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-12 21:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': '야외활동은 최대한 자제해주세요.외출 시 보온에 유의해주세요.외출 중 주기적으로 따뜻한 곳에서 휴식을 취해주세요.'}, {'WARN_VAL': '건조', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '발표', 'CANCEL_YN': '정상', 'WARN_MSG': None}, {'WARN_VAL': '한파', 'WARN_STRESS': '주의보', 'ANNOUNCE_TIME': '2023-03-13 10:00', 'COMMAND': '해제', 'CANCEL_YN': '정상', 'WARN_MSG': '해당 특보는 해제되었습니다.'}]}"
