,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,10539309.248757834,3246.430231617158,2999.8033636799396,0.36960706155329087,0.3796720251721858,0.29259753113443887,1.0
1,0 days 13:00:00,11607824.277177416,3407.0257229990816,3113.961112303247,0.3280914961686199,0.17487487216663203,0.26621909447322956,1.0
2,0 days 14:00:00,10574895.344263723,3251.906416898205,2924.749346524411,0.2742783915995048,0.16047183846634847,0.2277700087801734,1.0
3,0 days 15:00:00,10618885.128452731,3258.6630891291493,2931.1727803475637,0.2325996889082985,0.13435639869956803,0.19875312058231945,1.0
4,0 days 16:00:00,10776721.766914664,3282.791764171871,2954.603558516131,0.19344369879446435,0.11619061773537359,0.17129615799406847,1.0
5,0 days 17:00:00,11242382.191002488,3352.966178028417,3011.0269719130883,0.1484534829965596,0.11619061773537359,0.1420044050046327,1.0
6,0 days 18:00:00,11705076.476748452,3421.268255595935,3064.098357627942,0.11427084720744259,0.11619061773537359,0.11986486909957557,1.0
7,0 days 19:00:00,11687474.21687561,3418.694811894681,3060.0250896238263,0.10898634977399935,0.11619061773537359,0.11529267877691583,1.0
8,0 days 20:00:00,11490074.21552103,3389.7011985602844,2975.775262975339,0.10546762595382168,0.11619061773537359,0.11139745410440376,1.0
9,0 days 21:00:00,11313192.692317126,3363.5089850210193,2885.148476784921,0.10276323135969458,0.11619061773537359,0.10856086493072843,1.0
10,0 days 22:00:00,11356279.020067597,3369.9078652194034,2919.150959404673,0.10720303715499396,0.11619061773537359,0.11319954060909337,1.0
11,0 days 23:00:00,10688394.167342385,3269.3109621665517,2748.2244073293077,0.10802686777467206,0.11619061773537359,0.11311987406327235,1.0
12,1 days 00:00:00,8799231.119604668,2966.349797243182,2437.7578994852142,0.10929632623597968,0.11619061773537359,0.11223762603019073,1.0
13,1 days 01:00:00,6526447.804922678,2554.691332611961,2093.0535004316375,0.11238744988227245,0.11619061773537359,0.11246590211248066,1.0
14,1 days 02:00:00,6389871.468280478,2527.8195086438586,2039.3776248328193,0.12203916510999575,0.11781957233058826,0.12083387721803322,1.0
15,1 days 03:00:00,5447745.678067978,2334.0406333369556,1819.7801844339883,0.12621279919855352,0.13375774616506467,0.12336427963347985,1.0
16,1 days 04:00:00,4445329.334973894,2108.394966550123,1571.6550502198477,0.12532016496687945,0.13375774616506467,0.12141966367956057,1.0
17,1 days 05:00:00,2801516.9662426575,1673.7732720540907,1237.8196682923854,0.11987184103196513,0.11393832091786593,0.11469558099565606,1.0
18,1 days 06:00:00,1006724.9218904075,1003.356826802114,896.7832548549432,0.11291661571785523,0.10772068546400287,0.10619205185813195,1.0
19,1 days 07:00:00,787629.233523307,887.4847793192326,834.6658333801064,0.11268522236138578,0.10772068546400287,0.10710884931270827,1.0
20,1 days 08:00:00,3151124.071523672,1775.1405779609884,1226.420856252965,0.13157920599278203,0.11254996077904922,0.1295391327558226,1.0
21,1 days 09:00:00,4052636.8113698415,2013.1161942048554,1466.8577003039427,0.14157283287032218,0.13334689188244825,0.14051708440854252,1.0
22,1 days 10:00:00,4446032.9400998205,2108.561817946019,1591.1072687922479,0.14384159579335756,0.13334689188244825,0.14298774684648533,1.0
23,1 days 11:00:00,5110996.785265057,2260.7513762607905,1761.5431152491972,0.14427208767560182,0.13334689188244825,0.14446732053461417,1.0
24,1 days 12:00:00,7068756.804655977,2658.713373919042,2078.943010993085,0.1450751228797054,0.13334689188244825,0.1478135868250953,1.0
25,1 days 13:00:00,9492805.69705891,3081.0397103995447,2437.529488368925,0.14447567313465462,0.13334689188244825,0.1506030495428393,1.0
26,1 days 14:00:00,10645671.331385922,3262.7704993434522,2678.257186609869,0.14238325128838503,0.13177751717412145,0.15063608929119313,1.0
27,1 days 15:00:00,11779573.041037573,3432.138260769454,2924.3315570850696,0.14070774903871297,0.13065287869368972,0.15096466985170862,1.0
28,1 days 16:00:00,13020357.17019234,3608.373202731716,3204.651986418628,0.1443381220860925,0.1465257137510378,0.15605251284608082,1.0
29,1 days 17:00:00,15016714.960412877,3875.1406375011575,3576.0681045870588,0.15313998831150205,0.14873048014335222,0.16677805436688095,1.0
30,1 days 18:00:00,17232596.804223653,4151.216304196115,3959.7798066338146,0.16419358744654503,0.15029985485167902,0.1802955980683475,1.0
31,1 days 19:00:00,17087085.84091247,4133.652844750327,3880.0411545359,0.15679524081299262,0.15029985485167902,0.1723341489886596,1.0
32,1 days 20:00:00,15006732.476366147,3873.852407664255,3596.1111777105725,0.14609859440802478,0.14873048014335222,0.15904998714438304,1.0
33,1 days 21:00:00,14896566.59773603,3859.6070522445716,3578.9756567742884,0.15514209972223195,0.14873048014335222,0.17028799164159644,1.0
34,1 days 22:00:00,17029506.18741526,4126.6822251556105,3849.038791656192,0.18573272874671395,0.16398491811766397,0.21215342816325403,1.0
35,1 days 23:00:00,17230524.500695806,4150.966694722544,3880.805384017012,0.21114626692211427,0.1836179128008792,0.24625886656155682,1.0
36,2 days 00:00:00,16269009.61636354,4033.4860377052923,3769.5414732122913,0.23979122956646307,0.19331552848705397,0.2888082879769152,1.0
37,2 days 01:00:00,14306239.826582134,3782.3590293072566,3529.760511488054,0.2675642467167187,0.202657066276052,0.33075993800678055,1.0
38,2 days 02:00:00,14399393.153441498,3794.6532323048305,3541.6715579295137,0.3155909857779708,0.23777435027452376,0.4120354388773593,1.0
39,2 days 03:00:00,14646168.163091568,3827.031246683461,3572.774672147534,0.3727019849662869,0.33931738277583456,0.5173809604326179,1.0
40,2 days 04:00:00,15068600.942854075,3881.8295870445004,3623.0999090950286,0.43520074517511803,0.4417177809193624,0.64019326503987,1.0
41,2 days 05:00:00,14833361.71361669,3851.4103538336044,3598.4312604270744,0.48944387340434053,0.49300537080897167,0.7434799772089834,1.0
42,2 days 06:00:00,13950511.840368936,3735.0383987810533,3502.800165363178,0.5232462288404421,0.5263647226338942,0.798481969922847,1.0
43,2 days 07:00:00,14290423.801102057,3780.2676890799753,3638.7793602420347,0.5439385486172922,0.5263647226338942,0.8228090097022656,1.0
44,2 days 08:00:00,13984432.583365807,3739.576524603529,3509.749562524326,0.5360831126418033,0.5263647226338942,0.8139903316302219,1.0
45,2 days 09:00:00,14150189.961716486,3761.673824471825,3535.1406896383087,0.5429440781101784,0.5263647226338942,0.8134783848962815,1.0
46,2 days 10:00:00,13151407.911422836,3626.4869931412736,3434.578003098761,0.5345638542318828,0.5263647226338942,0.7887511723445711,1.0
47,2 days 11:00:00,13341021.262722865,3652.5362780844307,3461.5396104350675,0.5215138404654384,0.5263647226338942,0.7638892177243556,1.0
48,2 days 12:00:00,13325166.599692099,3650.3652693521094,3459.3619068598127,0.49961250771371796,0.4471899702608137,0.7241554907797824,1.0
49,3 days 17:00:00,13467834.228692519,3669.8547966769092,3484.777912000091,0.47592623968729275,0.352596013102614,0.6822305905199006,1.0
50,3 days 18:00:00,12247768.441336818,3499.681191385412,3244.7861868611312,0.42324767275708625,0.3085375554377276,0.5949865686895195,1.0
51,4 days 00:00:00,13336545.207558045,3651.923494209325,3357.4975488602977,0.43049494051346954,0.3085375554377276,0.6178938254201319,1.0
52,4 days 01:00:00,14155383.194205752,3762.364043285252,3439.526500051754,0.43859266095311905,0.3085375554377276,0.6472456307824502,1.0
53,4 days 02:00:00,14697784.152321257,3833.7689226557795,3494.328017114534,0.45655291550044463,0.3085375554377276,0.6932240948624201,1.0
54,4 days 03:00:00,15773428.611084478,3971.5775972633946,3608.1512160680254,0.49486420030023454,0.3085375554377276,0.7846845152230602,1.0
55,4 days 04:00:00,17676133.639631588,4204.299423165718,3869.8178522737276,0.5586738758678893,0.352596013102614,0.9247326879339309,1.0
56,4 days 05:00:00,19561957.672661502,4422.890194506473,4233.426044485804,0.6272094718778314,0.6158526465157489,1.0488451306614313,1.0
57,4 days 06:00:00,20019519.765052065,4474.317798843983,4293.956383289234,0.6480581899582897,0.7299916929349948,1.0945754069077267,1.0
58,4 days 07:00:00,21057884.25996941,4588.887039355993,4398.059169008401,0.6567334221015536,0.7299916929349948,1.1198040112606191,1.0
59,4 days 08:00:00,26803492.45148344,5177.208944159337,4848.350632835415,0.6726799094195112,0.7299916929349948,1.1494072931552772,0.9166666666666666
60,4 days 09:00:00,34943029.91584001,5911.262971298097,5423.3888472233575,0.6848320412462922,0.7299916929349948,1.1726008793691012,0.8333333333333334
61,4 days 10:00:00,38341290.44982053,6192.034435451771,5763.306563696317,0.6868406191666057,0.7299916929349948,1.1803962429477242,0.8333333333333334
62,4 days 11:00:00,45273916.287036456,6728.589472321554,6437.083317037574,0.7047084233877801,0.7299916929349948,1.2032141831015573,0.75
63,4 days 12:00:00,52311230.65680954,7232.650320374236,6870.974077708191,0.6561315532947212,0.5297397144449475,1.0954015156539525,0.6666666666666666
64,4 days 13:00:00,59478805.854707934,7712.250375519971,7311.858510274716,0.6011079887924237,0.4608666718182508,0.9634787523486702,0.5833333333333334
65,4 days 14:00:00,63332208.93699234,7958.153613558383,7589.374070681323,0.5370587025601271,0.42949482578211184,0.8247273727698913,0.5
66,4 days 15:00:00,66342445.57770022,8145.087205039626,7812.467948573113,0.4693839694647745,0.3707969853112195,0.6840170876217998,0.5
67,4 days 16:00:00,69083938.70383506,8311.674843485822,8024.1407823659,0.40413775374063116,0.3357317196498627,0.5420559909083741,0.5
68,4 days 17:00:00,70516371.20741358,8397.402646498118,8153.206184980088,0.3506117847805097,0.3205099529742017,0.43543413092769767,0.5
69,4 days 18:00:00,74642695.41266234,8639.600419733677,8488.448329206387,0.32559550800258935,0.2989370575638376,0.3938387267126929,0.5
70,4 days 19:00:00,72763426.50203626,8530.14809379276,8269.980351877977,0.2990837071066594,0.28927890131112477,0.35644013958599974,0.5
71,4 days 20:00:00,66260933.55432715,8140.08191324431,7688.89122898439,0.2722256636497939,0.2788120700174266,0.3192420361396767,0.5833333333333334
72,4 days 21:00:00,57087422.357301556,7555.621904072593,6883.6910489846805,0.2444917400621938,0.27010140244953734,0.2831674418262771,0.6666666666666666
73,4 days 22:00:00,53679850.47680665,7326.653429554768,6542.194964395418,0.24235163146552166,0.2638491493876936,0.28034677259164736,0.6666666666666666
74,4 days 23:00:00,46656560.36562004,6830.560765092427,5806.205703706607,0.22053344790107046,0.251605479440293,0.2539984778987803,0.75
75,5 days 00:00:00,37096174.46645684,6090.662892202854,4930.4203207205255,0.19524383585196173,0.23543073563301345,0.2230599970027546,0.8333333333333334
76,5 days 01:00:00,27423217.612262297,5236.718210125718,4036.5754197159454,0.16785059744904862,0.18767742023902445,0.1899848417404253,0.9166666666666666
77,5 days 02:00:00,21248973.765459977,4609.66091653822,3323.6897276686273,0.1447453355743961,0.1406476057014781,0.16287090089113423,1.0
78,5 days 03:00:00,15804941.534485878,3975.5429232352503,2666.798846577544,0.1256606680298898,0.10194302351531834,0.14022160425795477,1.0
79,5 days 04:00:00,10807449.52011632,3287.4685580422392,2035.2002411638794,0.10692172942985777,0.05826257572325047,0.11824773306511034,1.0
80,5 days 05:00:00,7484930.88345443,2735.8601724968385,1536.8845804207504,0.09331128782108083,0.05347147836164727,0.1020835952311917,1.0
81,5 days 06:00:00,1970264.4958367578,1403.661104339918,915.4893095543727,0.07744854650756121,0.05347147836164727,0.0816653995265633,1.0
82,5 days 07:00:00,1314940.1592332143,1146.7084020068983,752.8057815705778,0.0721977219608075,0.05347147836164727,0.07573379045343767,1.0
83,5 days 08:00:00,2859892.35877059,1691.12162743269,976.6188361295818,0.08119196200094388,0.05347147836164727,0.08667372503813921,1.0
84,5 days 09:00:00,6354173.904150751,2520.7486792916807,1448.9334981413376,0.09612259643516112,0.05347147836164727,0.10438831098786701,1.0
85,5 days 10:00:00,6563414.017769533,2561.916083280156,1482.2508313301862,0.08640967613181728,0.05347147836164727,0.09255957654790271,1.0
86,5 days 11:00:00,9343706.91431854,3056.7477675330915,1934.8881498567778,0.09878279495752788,0.07450982330584069,0.10656455906480233,1.0
87,5 days 12:00:00,17035834.35966927,4127.448892435771,2718.7435406380014,0.11972751587565895,0.09388985324020593,0.1314258173058611,0.9166666666666666
88,5 days 13:00:00,22322097.625938464,4724.626718158638,3378.490391020814,0.13980519019664187,0.11487059409465425,0.1544543005212871,0.9166666666666666
89,5 days 14:00:00,25409873.721864656,5040.820738913918,3881.3429643023833,0.1559093481124361,0.16068166443759996,0.17247159921048613,0.9166666666666666
90,5 days 15:00:00,28254730.540212628,5315.517899528947,4351.664751615008,0.1687750458643271,0.19388903744937155,0.1871574488704283,0.9166666666666666
91,5 days 16:00:00,31035942.461676862,5570.991156129838,4819.401422810507,0.18205191999042025,0.19388903744937155,0.20219107953282503,0.9166666666666666
92,5 days 17:00:00,34677001.173108734,5888.718126477845,5342.328786580155,0.19522806064261491,0.19889464587595274,0.2178049250076339,0.9166666666666666
93,5 days 18:00:00,38387533.49513,6195.767385492293,5842.446398033986,0.20675945697711504,0.21177264365565995,0.23246204233922327,0.9166666666666666
94,5 days 19:00:00,38558960.111723,6209.586146573941,5903.485320219238,0.20692805123394156,0.21177264365565995,0.2326464188137046,0.9166666666666666
95,5 days 20:00:00,36746089.8031367,6061.85531031026,5596.417644314678,0.19273039735970796,0.19889464587595274,0.2159359435983901,0.9166666666666666
