,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,39579344.290144466,6291.211671065,6062.196738076905,0.6071200685594212,0.5078964231602278,0.42295644890558853,1.0
1,0 days 13:00:00,41230138.335414596,6421.069874671556,6168.425343294634,0.522651830008963,0.20242499300914354,0.3768203328172793,1.0
2,0 days 14:00:00,38430088.914458565,6199.200667381124,5922.738454441038,0.4219776549084118,0.1885706601854526,0.3194424924902967,1.0
3,0 days 15:00:00,35858223.51867303,5988.173637986212,5657.719951669688,0.33054458457515073,0.17604398717631706,0.2643001088394869,1.0
4,0 days 16:00:00,33834585.55100875,5816.7504288054815,5432.569370765224,0.2479387301400058,0.16378857268196217,0.21264300522712984,1.0
5,0 days 17:00:00,33578815.62061462,5794.723084032111,5408.969449511652,0.18664546197507437,0.13618072181285107,0.173344328126557,1.0
6,0 days 18:00:00,41326922.78342631,6428.601930702064,5822.230811218498,0.14052411039257537,0.13618072181285107,0.14990373159681927,1.0
7,0 days 19:00:00,41632108.93107376,6452.294857728819,5861.184499713055,0.13788378667818438,0.13618072181285107,0.1476991439350551,1.0
8,0 days 20:00:00,38644903.47853421,6216.502511745186,5511.538507591304,0.13219710371426327,0.11431603852367944,0.1401145666300027,1.0
9,0 days 21:00:00,31706489.922647197,5630.851616109875,4847.974142727088,0.12200668571312606,0.10235031132354327,0.1278247402956988,1.0
10,0 days 22:00:00,30974157.41583416,5565.4431464021045,4622.588993187923,0.11798946510890257,0.10235031132354327,0.12362602914629413,1.0
11,0 days 23:00:00,30069492.3058559,5483.565656199979,4486.630400425626,0.133736688606957,0.11431603852367944,0.13617255405826093,1.0
12,1 days 00:00:00,26508861.714311093,5148.6757243305865,4150.811087972949,0.16015964690413761,0.11431603852367944,0.1541092198549462,1.0
13,1 days 01:00:00,21702016.23192587,4658.542286158394,3750.680431055211,0.19564421017126088,0.11431603852367944,0.17662137472392167,1.0
14,1 days 02:00:00,21203504.01159325,4604.726268910374,3685.672497806783,0.23982841761689846,0.146448526844551,0.20795879686641064,1.0
15,1 days 03:00:00,20843221.554156613,4565.437717695491,3623.293544260189,0.27173467771053345,0.21532637137888783,0.23254334141749464,1.0
16,1 days 04:00:00,20265632.41233958,4501.736599617928,3504.4472929894073,0.29179565356836107,0.26835997067493733,0.24887171871194566,1.0
