,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,41235797.66027442,6421.510543499436,5684.174001527951,0.3328822537957085,0.29321763684160546,0.26247088178568595,1.0
1,0 days 13:00:00,36412897.2727681,6034.310008009872,5353.797611027221,0.29052928151754354,0.11983194128775315,0.23120947668870373,1.0
2,0 days 14:00:00,28721820.128254276,5359.274216557152,4641.612784763619,0.23429452399698858,0.0787621627494475,0.18976860900121284,1.0
3,0 days 15:00:00,23544225.713790353,4852.239247377478,4052.7582505998325,0.18812300966076848,0.07006942093488833,0.15402008727557256,1.0
4,0 days 16:00:00,18043349.41579796,4247.746392594308,3384.6909010257455,0.13182583120228034,0.05895050722895674,0.11199483469064718,1.0
5,0 days 17:00:00,13046483.804072032,3611.991667220736,2832.9123199245173,0.07879977373431235,0.0345668533827319,0.07238261149564632,1.0
6,0 days 18:00:00,19873522.789121132,4457.972946207854,3205.7284274542094,0.05434075304295635,0.0345668533827319,0.05519475124681033,1.0
7,0 days 19:00:00,19722582.191672835,4441.011392878072,3186.3134370059483,0.046418158107117635,0.0345668533827319,0.04804904697765392,1.0
8,0 days 20:00:00,19404725.027238946,4405.079457539779,3073.1937937274342,0.043260008502184776,0.018426854184792348,0.04479148572464275,1.0
9,0 days 21:00:00,18739497.229830567,4328.914093607144,2963.3738630430744,0.04122630608210403,0.018426854184792348,0.04263864921947733,1.0
10,0 days 22:00:00,18721598.794307623,4326.846287344585,2954.2919726108994,0.041721399693821104,0.02139741585509479,0.04309881024227346,1.0
11,0 days 23:00:00,19776201.127254907,4447.044088746468,3162.216564873926,0.05135516025769305,0.0335788551808352,0.05200387461956859,1.0
12,1 days 00:00:00,17619495.63331496,4197.558294212834,2949.1754610014154,0.05854687589618943,0.0335788551808352,0.057741315335170386,1.0
13,1 days 01:00:00,18966279.22781478,4355.029187940625,3061.5719017226693,0.08727610131313716,0.0335788551808352,0.08026259211171305,1.0
14,1 days 02:00:00,20810732.32437025,4561.878157554216,3370.829094555127,0.11113089915456871,0.05140141533767726,0.10079771854693521,1.0
15,1 days 03:00:00,22747017.474681493,4769.383343230181,3706.978473925227,0.13925204529123977,0.09702253939516856,0.12457345181993412,1.0
16,1 days 04:00:00,23455995.54223975,4843.139017438974,3941.1635114657515,0.15649670603669,0.13703285787880193,0.14017786257410855,1.0
17,1 days 05:00:00,23845819.314962786,4883.21813100365,4046.545154283758,0.16986084515920774,0.15545698398733251,0.152327151231832,1.0
18,1 days 06:00:00,14013346.766796323,3743.4404986317495,3383.506528340315,0.1761809584497043,0.17462609879284244,0.15604719166123984,1.0
19,1 days 07:00:00,13316225.802086644,3649.140419617563,3270.886245481948,0.17967145007988397,0.17462609879284244,0.15927510735793168,1.0
