,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,1196971.0329406438,1094.0617134972981,729.1743317926308,0.05647442057283211,0.04578241623192181,0.05768718298178868,1.0
1,0 days 13:00:00,1194897.4948092403,1093.1136696653466,721.5848843912805,0.05563115649252253,0.04578241623192181,0.056852382299823236,1.0
2,0 days 14:00:00,1267162.1587487266,1125.6829743532264,757.894265736078,0.054769575534406784,0.04578241623192181,0.056050065835868114,1.0
3,0 days 15:00:00,1651999.8317707817,1285.301455601285,929.8595253260781,0.06396220535975773,0.053778460465804576,0.06467784618959406,1.0
4,0 days 16:00:00,1810950.1152891328,1345.7154659470675,1010.0280502351488,0.06537167901694989,0.05912014360651023,0.06573163521469493,1.0
5,0 days 17:00:00,2005403.0354147248,1416.1225354519024,1131.5418080405504,0.07046762410690359,0.06844865965704165,0.07063592504313629,1.0
6,0 days 18:00:00,3393560.0140362848,1842.161777379035,1416.092800526518,0.07520886057545194,0.06844865965704165,0.07649704170285032,0.9166666666666666
7,0 days 19:00:00,4250916.564790131,2061.7751004389715,1637.329175016271,0.08230818864485463,0.07156381845948898,0.08276375498833649,0.9166666666666666
8,0 days 20:00:00,3432808.915802294,1852.7840985398957,1428.1354092587192,0.06783089421953253,0.06844865965704165,0.06639188127210206,0.9166666666666666
9,0 days 21:00:00,3422678.336828571,1850.048198514993,1404.0173523191386,0.06594619102720652,0.06844865965704165,0.0644797765476994,0.9166666666666666
10,0 days 22:00:00,3642694.0536875366,1908.5843061514304,1516.7605026451176,0.07042308784060132,0.07156381845948898,0.06921968114614123,0.9166666666666666
11,0 days 23:00:00,3573540.4847380593,1890.3810422076442,1484.4523250703205,0.06746330085247072,0.06844865965704165,0.06646323225114331,0.9166666666666666
12,1 days 00:00:00,3550892.040261328,1884.3810761789475,1462.7158832307953,0.06639536847869221,0.06844865965704165,0.06543100331060675,0.9166666666666666
13,1 days 01:00:00,3594182.123009358,1895.8328309767605,1515.6668070497233,0.07101875559379993,0.06844865965704165,0.0699072285210965,0.9166666666666666
14,1 days 02:00:00,3510225.39049275,1873.559550826381,1471.3399648902553,0.0701326765133831,0.06502481071558655,0.06934232783181103,0.9166666666666666
15,1 days 03:00:00,3142161.8114264733,1772.6144000956535,1330.1988460834007,0.06418469308625803,0.05864746296497621,0.06386149891778646,0.9166666666666666
16,1 days 04:00:00,2961652.830411528,1720.945330454029,1210.980433738769,0.05843634304733688,0.05576393948905911,0.05833005537775838,0.9166666666666666
17,1 days 05:00:00,2768332.5811734605,1663.8306948645527,1094.9234693821052,0.053908013007957244,0.05144116815493138,0.053986763306139884,0.9166666666666666
18,1 days 06:00:00,1343874.528095788,1159.2560235322428,775.7416552077385,0.04502600913995225,0.03987115681810263,0.044208622561931865,1.0
19,1 days 07:00:00,455486.40664751845,674.8973304492458,503.76509876389156,0.03369833257437505,0.0297650810174717,0.03360300114049262,1.0
20,1 days 08:00:00,965823.7959411849,982.7633468649433,659.7333699332316,0.04484903358793393,0.03987115681810263,0.0459541614689388,1.0
21,1 days 09:00:00,973945.9353878748,986.8869922072511,680.8701419793323,0.04652078785929708,0.03987115681810263,0.047604840904171365,1.0
22,1 days 10:00:00,831944.2859688461,912.1097992943866,627.5859109632243,0.04629095671089306,0.03987115681810263,0.0469203971010121,1.0
23,1 days 11:00:00,767982.2622737848,876.3459717906991,556.3766512537962,0.0418403779790538,0.0297650810174717,0.042591412092645164,1.0
24,1 days 12:00:00,779799.8069583095,883.0627423678962,569.041497420737,0.04202736678176508,0.030887013833739384,0.04284881446233696,1.0
25,1 days 13:00:00,810845.4464822862,900.4695699923935,587.5725094718404,0.04137519832610355,0.030887013833739384,0.04223206290697879,1.0
26,1 days 14:00:00,1148604.456175186,1071.7296562917284,707.9269482366284,0.04648503277348259,0.030887013833739384,0.04665526284325105,1.0
27,1 days 15:00:00,1235686.04779493,1111.6141631856487,763.153780729402,0.047141592752560496,0.030887013833739384,0.04727894122534481,1.0
28,1 days 16:00:00,1256332.6281244978,1120.8624483514905,801.3004395068077,0.04864715017483633,0.030887013833739384,0.04876415482519145,1.0
29,1 days 17:00:00,1414611.3440957803,1189.374349856167,905.3326757595423,0.05182184281374239,0.04217354295930692,0.05206981705155169,1.0
30,1 days 18:00:00,2157319.536546884,1468.7816503983443,1129.146253312071,0.05752490546101944,0.0529899755787759,0.05825314903712377,1.0
31,1 days 19:00:00,2353166.462443177,1534.0034101797744,1256.785998118375,0.06177394767772986,0.0529899755787759,0.06261384753754591,1.0
32,1 days 20:00:00,1802119.247568444,1342.430351105205,1045.9917504688492,0.048504869325252914,0.05190744625430145,0.048174224676019665,1.0
33,1 days 21:00:00,2367625.902040209,1538.7091674647972,1238.1176201105502,0.05441724100341148,0.0529899755787759,0.0544920399009897,1.0
34,1 days 22:00:00,3817909.4496994168,1953.9471460864586,1511.4618316548076,0.06214809842331256,0.0529899755787759,0.06367147561774471,0.9166666666666666
35,1 days 23:00:00,4970984.064175157,2229.570376591678,1819.6288673551405,0.07612464330123413,0.05462694931203901,0.07894934230660085,0.9166666666666666
36,2 days 00:00:00,5337634.17982167,2310.3320496893234,1954.967228802034,0.08364344115939489,0.07485943560122539,0.08707203651387575,0.9166666666666666
37,2 days 01:00:00,5266013.078335694,2294.7795271737314,1892.7429029951002,0.0804539432931397,0.07485943560122539,0.08398672164369336,0.9166666666666666
38,2 days 02:00:00,5005544.6636398295,2237.3074584508563,1813.9290717030624,0.07763564226733886,0.07012062649373935,0.08202570563319339,0.9166666666666666
39,2 days 03:00:00,4923879.979827259,2218.9817439148205,1764.2275517127607,0.07660429418506982,0.06875956130116857,0.08120242785833341,0.9166666666666666
40,2 days 04:00:00,4930266.471049594,2220.4203365690905,1770.192962467134,0.07947129451991548,0.07068091754754983,0.08395854743163673,0.9166666666666666
41,2 days 05:00:00,4883853.289028078,2209.944182333137,1752.0027221382168,0.08526606823942616,0.08899204759035495,0.08903985873584663,0.9166666666666666
42,2 days 06:00:00,4588218.717878863,2142.0127725760326,1696.6385351673969,0.09743326170110322,0.08899204759035495,0.09852118917917307,0.9166666666666666
43,2 days 07:00:00,6080956.424232156,2465.959534183835,1944.0069836419636,0.13485491648421163,0.10704871989135928,0.1274930327827557,0.8333333333333334
44,2 days 08:00:00,8083392.8370264815,2843.1308160242083,2348.993397666577,0.1755802087851888,0.12158487591923693,0.16017641032312155,0.75
45,2 days 09:00:00,8683592.46825467,2946.7935910502233,2443.095767178863,0.19383661254430606,0.14395768820961932,0.17452314486534415,0.6666666666666666
46,2 days 10:00:00,7626920.394547318,2761.6879611113413,2285.1628888931455,0.1943494217857293,0.14594390203038596,0.17267205549543932,0.75
47,2 days 11:00:00,6509403.481403705,2551.353264721235,2029.6396045247554,0.18328488071539606,0.12158487591923693,0.1603622205356605,0.75
48,2 days 12:00:00,6256649.163773175,2501.329479251619,1956.4926973862173,0.1786244804994285,0.10352820361823259,0.15523828321433555,0.75
49,3 days 17:00:00,6884371.494769289,2623.8085857717,2168.9797580575782,0.18624167157744156,0.11432477716638723,0.1633569965633482,0.75
50,3 days 18:00:00,7296696.731589362,2701.2398508072847,2280.4995435163446,0.1867139694546589,0.11432477716638723,0.1638732780031049,0.75
51,4 days 00:00:00,7475880.802725469,2734.2056986857206,2366.633604969418,0.19389180790908167,0.12627453386202536,0.17031141442917608,0.75
52,4 days 01:00:00,7451218.227571953,2729.6919656935565,2333.5220865346614,0.19033933975323766,0.12627453386202536,0.16689986377267493,0.75
53,4 days 02:00:00,7398598.844138137,2720.036551985678,2307.4831010673274,0.1875983939145709,0.1177961422748163,0.1644285792113147,0.75
54,4 days 03:00:00,6943601.89906028,2635.071516877726,2118.556515232955,0.16774579221162209,0.0978835992943276,0.14682519001805636,0.75
55,4 days 04:00:00,5279992.973174138,2297.8235295979844,1789.0575054592464,0.1314329708797535,0.08991631584953616,0.11902911772035667,0.8333333333333334
56,4 days 05:00:00,3299364.0483475775,1816.4151640931589,1423.3206499836167,0.09561414249441225,0.07717679959143109,0.09140878888971075,0.9166666666666666
57,4 days 06:00:00,2126124.127938774,1458.1234954347228,1119.382274110842,0.07053231466986086,0.06442430368933216,0.0698467769430163,1.0
58,4 days 07:00:00,1781676.3712714429,1334.7945052596833,1025.4972528820224,0.06508725621416367,0.06442430368933216,0.06602113459092855,1.0
59,4 days 08:00:00,4648446.579382989,2156.025644416826,1462.828721613486,0.08938344892146721,0.07717679959143109,0.09561855347615773,0.9166666666666666
60,4 days 09:00:00,4605632.566798435,2146.0737561413016,1444.6869609468733,0.09038910103432583,0.08321071226858283,0.09669902046100283,0.9166666666666666
61,4 days 10:00:00,3990515.017664859,1997.6273470457045,1251.879996566083,0.08417763111992495,0.0704582163664839,0.09003614695170643,0.9166666666666666
62,4 days 11:00:00,3483824.1968391538,1866.5005215212648,1084.4699052895298,0.0797131685414371,0.06239769993156659,0.08516485320426169,0.9166666666666666
63,4 days 12:00:00,3282985.411174273,1811.9010489467335,964.5948131542824,0.06951793572109967,0.0483679175226793,0.07563059816098851,0.9166666666666666
64,4 days 13:00:00,3320273.131752888,1822.1616645492486,1007.708810317512,0.07151096393177624,0.049391945123978584,0.07767745495291403,0.9166666666666666
65,4 days 14:00:00,3274179.6412131023,1809.4694363854567,971.5356942029925,0.06596314980105496,0.03737128966892213,0.07242955577042544,0.9166666666666666
66,4 days 15:00:00,3425206.3161756913,1850.731292266841,1077.9915865381142,0.071550496385537,0.049391945123978584,0.07778905671257946,0.9166666666666666
67,4 days 16:00:00,3989957.2472802214,1997.4877339498787,1254.0543169588568,0.07849905152274826,0.049391945123978584,0.0837115670889213,0.9166666666666666
68,4 days 17:00:00,4578728.061073407,2139.7962662537307,1436.8759650913332,0.08474651480752225,0.05664417401829966,0.08908733276744979,0.9166666666666666
