,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,2027770.8501650367,1423.9981917702835,882.8878190426418,0.13416274455743685,0.10080265734144833,0.14211428164012016,0.9166666666666666
1,0 days 13:00:00,2108461.526838898,1452.0542437660165,933.3060108556139,0.11853024566717824,0.09496975321848361,0.12862483389251028,0.9166666666666666
2,0 days 14:00:00,2321969.235856906,1523.800917396005,1058.8109410521988,0.12188921117954078,0.09496975321848361,0.13156555619860547,0.9166666666666666
3,0 days 15:00:00,2562123.3847278263,1600.6634201879626,1180.5356998853451,0.1156087890555579,0.09307665902485554,0.12359523792988651,0.9166666666666666
4,0 days 16:00:00,2869023.9061349765,1693.8193251155733,1316.5165336101,0.10724461089064889,0.09307665902485554,0.1127499022399942,0.9166666666666666
5,0 days 17:00:00,2868683.94527669,1693.7189688011085,1315.110802698909,0.10232354963252199,0.09307665902485554,0.10799636315604678,0.9166666666666666
6,0 days 18:00:00,2888397.3064175677,1699.5285541636445,1335.5860891198572,0.09630451862170014,0.08993255025280458,0.10243189674655717,0.9166666666666666
7,0 days 19:00:00,3628914.2771764896,1904.9709386697975,1536.027289491347,0.1061947536790274,0.08993255025280458,0.11010785431969793,0.9166666666666666
8,0 days 20:00:00,2310483.622306734,1520.0275070888467,1290.2964988317333,0.08571718779072629,0.08993255025280458,0.08318020979925168,1.0
9,0 days 21:00:00,1989811.3672779212,1410.606737286449,1162.1195837801517,0.07641357602161204,0.07517632078700585,0.0724572764605363,1.0
10,0 days 22:00:00,2019313.5249077482,1421.025518739107,1184.9588266179105,0.0829172257669289,0.08993255025280458,0.0796774936543471,1.0
11,0 days 23:00:00,1884898.5969684746,1372.9160924719597,1082.8511126590922,0.07630172459528979,0.07517632078700585,0.0733850484990165,1.0
12,1 days 00:00:00,1900447.8471645087,1378.567316878109,1100.2793877558058,0.09001677418269079,0.0922343581509458,0.08579912647919734,1.0
13,1 days 01:00:00,1853598.8780890068,1361.4693819873464,1075.7679247858887,0.11186442496220105,0.09803457238719196,0.10404653012186003,1.0
14,1 days 02:00:00,1688263.819182419,1299.332066556667,1006.0112766506518,0.13637960048051245,0.10435519382464571,0.12374189907024825,1.0
15,1 days 03:00:00,1444748.2729704417,1201.9768188157548,876.1876205493899,0.13505341704521265,0.10435519382464571,0.12252445322444999,1.0
16,1 days 04:00:00,1131592.0502115998,1063.7631551297497,726.6971124072597,0.13232130283941715,0.09007747177539319,0.12002631175696914,1.0
17,1 days 05:00:00,1238245.7900864028,1112.7649302913903,812.0634051308512,0.17922264500374432,0.11056848885955933,0.15644515949618573,1.0
18,1 days 06:00:00,1372653.9526709125,1171.603154942369,878.9110717425748,0.21019109116675813,0.15200019692446753,0.18177266322137728,1.0
19,1 days 07:00:00,613572.451428373,783.3086565514088,661.3366865772996,0.19766498152577158,0.11056848885955933,0.17084589249731974,1.0
20,1 days 08:00:00,1263588.365196643,1124.0944645342947,814.2334796707411,0.210406380950225,0.15200019692446753,0.18705799523935082,1.0
21,1 days 09:00:00,1308944.9906654675,1144.0913384277794,847.510613319545,0.2118016776024411,0.15200019692446753,0.18881672057047552,1.0
22,1 days 10:00:00,1489251.1778480734,1220.3487935209644,921.1285124824471,0.21333612302384597,0.16120686945289675,0.18895670166296633,1.0
23,1 days 11:00:00,1505252.0541278583,1226.8871399309141,954.0448755751014,0.21468159340044657,0.16120686945289675,0.19027638534680213,1.0
24,1 days 12:00:00,1537893.1565196747,1240.1182026402462,977.6246790681735,0.203244770401367,0.1091619553119946,0.18003804556364136,1.0
