,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,2441637.2563888133,1562.573920295873,1266.6789773200978,0.11943388172530782,0.1256729650617458,0.11670052958292133,0.9166666666666666
1,0 days 13:00:00,2658138.0466986503,1630.379724695646,1333.3566791841604,0.11311730012547226,0.11463654071795401,0.11229102908950421,0.9166666666666666
2,0 days 14:00:00,2645896.756490366,1626.6212701456864,1322.696175892528,0.10759364699738744,0.11463654071795401,0.10710844535542162,0.9166666666666666
3,0 days 15:00:00,2690439.138352156,1640.2558149118559,1350.703999538801,0.10390029440443739,0.11463654071795401,0.10370108836813137,0.9166666666666666
4,0 days 16:00:00,2711615.345099027,1646.6983163588366,1367.4488783296222,0.09990603184288628,0.11463654071795401,0.10009081112954765,0.9166666666666666
5,0 days 17:00:00,2665296.580536908,1632.573606468299,1334.1693464699129,0.09072156239054992,0.08631058035525045,0.09167846400840772,0.9166666666666666
6,0 days 18:00:00,2976664.6031122655,1725.3013079205225,1416.6804179938038,0.08614862044800185,0.08631058035525045,0.08889407009306445,0.9166666666666666
7,0 days 19:00:00,2782481.2148191044,1668.0771009815776,1357.2773380513183,0.08095462286440301,0.07003942220607837,0.08253733851429494,0.9166666666666666
8,0 days 20:00:00,1654392.4815789007,1286.2318926145863,1058.8380770598876,0.06443215516857882,0.050455990602448056,0.06407272230753591,1.0
9,0 days 21:00:00,1642397.0746723546,1281.5604061737997,1030.984315585908,0.06272716244520155,0.050455990602448056,0.06234314170844941,1.0
10,0 days 22:00:00,1825982.9497536307,1351.2893656628955,1073.8735935995091,0.06579068230331592,0.050455990602448056,0.0674492928688943,1.0
11,0 days 23:00:00,1817603.8223038483,1348.1853812825032,1050.5186222703421,0.06447089110067396,0.050455990602448056,0.06611343072963724,1.0
12,1 days 00:00:00,1618742.2457278909,1272.298017654626,959.0650307905665,0.06071649457566095,0.050455990602448056,0.06268921305237245,1.0
