,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,9121.650849395448,95.50733400841763,66.66262261744423,0.06979817968357475,0.04654062354847788,0.06912215043810636,1.0
1,0 days 13:00:00,15022.584485139463,122.56665323463582,85.91776741669186,0.07576055382204572,0.04654062354847788,0.07605062627572746,1.0
2,0 days 14:00:00,18881.890013856846,137.41138968024757,103.42014408848154,0.08699241834790972,0.09498843267764667,0.08648497235731419,1.0
3,0 days 15:00:00,22084.21087151888,148.60757339893172,119.05394277604067,0.09669713389827243,0.1301367434719206,0.09551180914653556,1.0
4,0 days 16:00:00,23591.167837981764,153.59416602847182,124.68228536053464,0.0893269041756055,0.12061102576460841,0.08916678686162725,1.0
5,0 days 17:00:00,24064.507608045984,155.12739154658013,130.07813034087744,0.09196693118276111,0.12061102576460841,0.09171697712321601,1.0
6,0 days 18:00:00,25181.058415089807,158.68540706407066,138.25130261886113,0.09581014544988094,0.12061102576460841,0.09586785343953112,1.0
7,0 days 19:00:00,26115.649569390986,161.60337115725955,144.2261482193517,0.10027208347097138,0.12176006080418934,0.09965961764735072,1.0
8,0 days 20:00:00,25201.305909473882,158.74919183880553,139.0157209736607,0.09513641376479552,0.11291052438951006,0.09354328118965832,1.0
9,0 days 21:00:00,25197.686811425927,158.73779263749992,138.80960508276638,0.09519967588088361,0.11291052438951006,0.09361556630469126,1.0
10,0 days 22:00:00,22049.25661082215,148.48992090651186,126.79781223747905,0.09093689596650101,0.09801291697781525,0.08884207909383564,1.0
11,0 days 23:00:00,22086.621089773875,148.61568251626028,127.16381879771261,0.09561752489034235,0.10024699017848768,0.09325206244598346,1.0
12,1 days 00:00:00,19275.0741228979,138.8347007159878,116.23291493212157,0.09358192205343492,0.09688290957172246,0.09143560820756014,1.0
13,1 days 01:00:00,13403.079321627207,115.77166890749743,97.34062746334295,0.08822431013241232,0.0864984178063738,0.08507362171584622,1.0
14,1 days 02:00:00,9549.086344996958,97.71942665098358,80.19756887718424,0.07759130908259988,0.08124713042092928,0.07523083007885184,1.0
15,1 days 03:00:00,6341.993498617777,79.63663414922668,64.18887511964301,0.06726176841560035,0.07441442872604177,0.06557248506547218,1.0
16,1 days 04:00:00,4918.90495997087,70.13490543210898,58.969425493352304,0.0754497840546738,0.07441442872604177,0.072590237470019,1.0
17,1 days 05:00:00,5575.554887227678,74.66963832259854,62.36737982300954,0.09071642332743148,0.08124713042092928,0.08591891674671852,1.0
18,1 days 06:00:00,4482.727719284513,66.9531755728174,54.72284181262058,0.08775426617296951,0.07743164291081385,0.08261705542173492,1.0
19,1 days 07:00:00,3500.7596225284874,59.16721746481313,48.13569489084666,0.08241761197861716,0.0703440290082492,0.07790014411183042,1.0
20,1 days 08:00:00,4252.1062536177915,65.20817627888232,52.63584991577815,0.08676409032839356,0.0771767307031367,0.08311615901890103,1.0
21,1 days 09:00:00,4280.270901102641,65.4237793245135,53.663238249713324,0.08752210065534634,0.0771767307031367,0.08385301460343346,1.0
