,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,13568864.126901759,3683.5939144946146,3461.4402772578337,1.3499098064181083,1.0639165260056653,0.6363682450417348,1.0
1,0 days 13:00:00,13707816.215503735,3702.406813885224,3477.292274284601,1.1260574900326634,0.5399744500870549,0.5540151429892057,1.0
2,0 days 14:00:00,13453841.60425893,3667.9478737107115,3447.5543735277274,0.8920252602763914,0.1670002082660762,0.4687096054393672,1.0
3,0 days 15:00:00,12777604.775067912,3574.5775659604747,3363.978593686141,0.6507678959163888,0.15957489535324343,0.38048398066818345,1.0
4,0 days 16:00:00,11573938.046776803,3402.049095291954,3174.2084085320807,0.41838158189120306,0.1504120938604504,0.2895870737851504,1.0
5,0 days 17:00:00,10873627.052907282,3297.5183172967036,3056.0555708945685,0.2739012271521676,0.1398814382247483,0.21881249959635365,1.0
6,0 days 18:00:00,10019792.965835191,3165.4056558101984,2898.9775182213984,0.1804447157812343,0.12235958439686859,0.16430773710807325,1.0
7,0 days 19:00:00,9376177.086799629,3062.0543899153113,2819.781427033188,0.1380258267451951,0.12235958439686859,0.13998057785536236,1.0
8,0 days 20:00:00,9823188.120552199,3134.196566993238,3009.083086262952,0.16349754315198758,0.1398814382247483,0.16200868325186019,1.0
9,0 days 21:00:00,9319868.9323559,3052.8460381021346,2927.0191325771407,0.1890201359916395,0.1398814382247483,0.1789481397687912,1.0
10,0 days 22:00:00,9728099.207591709,3118.9900941797987,2994.8598912258726,0.261314654904731,0.1504120938604504,0.2240539465092685,1.0
11,0 days 23:00:00,9559918.69576257,3091.9118188852945,2971.430294395792,0.36431013713439125,0.16480185685284945,0.2792059814601859,1.0
12,1 days 00:00:00,10037631.146896185,3168.2220797943105,3060.779603922754,0.490613568096794,0.24054654223545385,0.34563394105078377,1.0
13,1 days 01:00:00,9340239.545195444,3056.180548527106,2972.456783374349,0.6661520021344802,0.3537804883405913,0.41869046569760743,1.0
14,1 days 02:00:00,8964563.505903436,2994.0880925422744,2922.9579533692363,0.8473597447160945,0.43336971140912517,0.49417323481001074,1.0
15,1 days 03:00:00,8947433.166464994,2991.2260306544863,2920.5313095832353,1.0312821599910387,0.7219912619622575,0.5719043531715049,1.0
16,1 days 04:00:00,9454699.518098243,3074.849511455519,3017.531799598913,1.2018220105906363,1.1776657968095146,0.6505134375293032,1.0
17,1 days 05:00:00,9542772.557470163,3089.1378340032293,3036.141489569461,1.2965307914961894,1.3091917622538902,0.7052657080190979,1.0
18,1 days 06:00:00,9753873.362827709,3123.1191720502293,3086.8896497009287,1.3545440053532223,1.3091917622538902,0.7440170896425076,1.0
19,1 days 07:00:00,9524105.965461072,3086.115027904999,3052.946554200993,1.3743350570516322,1.3091917622538902,0.7565363161492528,1.0
20,1 days 08:00:00,9260611.384367792,3043.1252659671754,2983.6269072177442,1.3574334843767337,1.3091917622538902,0.7435727450786951,1.0
21,1 days 09:00:00,10860152.251288144,3295.4745107932704,3192.5614666320766,1.3376777372520146,1.3091917622538902,0.7337268668800246,1.0
22,1 days 10:00:00,11363115.693530142,3370.922083574484,3258.5386523232287,1.2709589660197516,1.3091917622538902,0.6950827528693789,1.0
23,1 days 11:00:00,12819861.33482126,3580.4833940155704,3422.805446642799,1.1733802990781486,1.016890922703534,0.646445017760444,1.0
24,1 days 12:00:00,13237144.535953341,3638.2886823276326,3481.3972895690854,1.053241082801298,0.7154897168964858,0.5870410489684293,1.0
25,1 days 13:00:00,15612782.558701986,3951.301375332181,3724.861733544292,0.8836696342800271,0.44000933915977203,0.5214203029192604,1.0
26,1 days 14:00:00,15954155.26562555,3994.265297351385,3770.1427504981352,0.7033790421541934,0.23740319565416546,0.44702453285113375,1.0
27,1 days 15:00:00,15994121.81746993,3999.265159684955,3775.7736478299375,0.5205367710038563,0.21971241129161756,0.37054605892169307,1.0
28,1 days 16:00:00,16585836.898954988,4072.571288382192,3856.1863100683154,0.3573891350815109,0.19188116776631914,0.3003888885251657,1.0
29,1 days 17:00:00,16584852.200690525,4072.4503926617112,3855.9875246912634,0.26445493876483533,0.17435888511337225,0.2476304455923626,1.0
30,1 days 18:00:00,16475001.51371882,4058.940934987699,3831.435062211646,0.20910638502304033,0.17089360567053086,0.21187778303031346,1.0
31,1 days 19:00:00,15747664.171528375,3968.3326689591404,3664.6167587124296,0.1670085112136135,0.16570124983559775,0.18190288684263764,1.0
32,1 days 20:00:00,15566946.308077708,3945.496965919212,3556.6178012786913,0.16026760329958045,0.16570124983559775,0.17469386343490792,1.0
33,1 days 21:00:00,13415243.091919163,3662.682499469366,3135.496096650593,0.14144386947634205,0.15614855621285462,0.15335807422612477,1.0
34,1 days 22:00:00,11946718.308407158,3456.4025096054943,2808.5641182221134,0.1320997578210096,0.14014507940382614,0.1427820813413886,1.0
35,1 days 23:00:00,9500845.454542292,3082.344149270534,2369.4271435686783,0.1188967892272021,0.13081115158915485,0.12745631597372784,1.0
36,2 days 00:00:00,8233358.0775700025,2869.3828739939886,2069.4316022973585,0.11833415633153625,0.13081115158915485,0.12474434592596657,1.0
37,2 days 01:00:00,4899064.791055605,2213.383109869506,1576.3963231012149,0.12152504803884867,0.13081115158915485,0.12220767748880805,1.0
