,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,268109.99445872224,517.793389740273,371.5223665075516,0.043098379600449786,0.03308091197367935,0.0422962815339084,1.0
1,0 days 13:00:00,430576.82513191766,656.1835300675549,465.1449766387161,0.05201073897671745,0.03420375633287641,0.05046711737561559,1.0
2,0 days 14:00:00,400264.205351502,632.6643702244517,426.69835232180253,0.046203117501725954,0.026138201882074198,0.044944975307991776,1.0
3,0 days 15:00:00,401138.8611406328,633.3552408724765,431.69614236228966,0.046379943693256764,0.026138201882074198,0.04512026791172702,1.0
4,0 days 16:00:00,416241.8043705775,645.1680435131435,456.54807251117836,0.04768334374855676,0.0339586022138742,0.04638553812619334,1.0
5,0 days 17:00:00,497681.99267843715,705.4657983761064,535.7463766555747,0.05408992967275228,0.03799266554729512,0.05252140647840276,1.0
6,0 days 18:00:00,501477.36038086266,708.1506622046347,541.9683595651751,0.05294111453734229,0.0339586022138742,0.05145759149051627,1.0
7,0 days 19:00:00,883849.6142603452,940.1327641670325,701.4906740461083,0.06539659371632407,0.04809167280914407,0.06264083770910035,0.9166666666666666
8,0 days 20:00:00,850542.1796858637,922.248437074232,659.0100573742337,0.06022299587098925,0.031099774734835238,0.05723995828628841,0.9166666666666666
9,0 days 21:00:00,1003484.2482536732,1001.7406092665273,734.7537546089638,0.06552045963030713,0.031099774734835238,0.06180629693751368,0.9166666666666666
10,0 days 22:00:00,1011346.8923923831,1005.6574428662988,757.3506798080538,0.06733337148400258,0.0317719859277056,0.0635925136862986,0.9166666666666666
11,0 days 23:00:00,1096999.0842781975,1047.377240672241,828.1655891106349,0.0744148624142607,0.06009639892417977,0.07026725198584431,0.9166666666666666
12,1 days 00:00:00,1016389.596714132,1008.1614933700513,792.6085937700658,0.07112045308304916,0.06009639892417977,0.06734053461207767,0.9166666666666666
13,1 days 01:00:00,872876.491622841,934.2785942227516,720.7085343005579,0.06476368790227052,0.052203386361032125,0.0615991428702912,0.9166666666666666
14,1 days 02:00:00,883568.5296471313,939.9832603015499,739.8939735107793,0.0677297052197174,0.057939783545597034,0.06445884984077331,0.9166666666666666
15,1 days 03:00:00,891744.6259201838,944.3223104005241,757.9814251490338,0.0706309112520188,0.057939783545597034,0.06728293756527008,0.9166666666666666
16,1 days 04:00:00,874946.9946277918,935.3860137011841,725.241109675541,0.06815291142696774,0.057939783545597034,0.0648658928459762,0.9166666666666666
17,1 days 05:00:00,802580.9456820571,895.8688216932527,670.4855537358455,0.06523814667487234,0.048344207596172264,0.06213142541805781,0.9166666666666666
18,1 days 06:00:00,819807.8624717478,905.4324173961013,689.3858860481854,0.0699758639848452,0.057939783545597034,0.06657924623612022,0.9166666666666666
19,1 days 07:00:00,432969.53755264706,658.0042078532987,515.4394988957883,0.055717375721930446,0.048344207596172264,0.05355146327894611,1.0
20,1 days 08:00:00,488691.9093711288,699.0650251379544,573.1057958321062,0.0621742056670718,0.057939783545597034,0.06034415030262228,1.0
21,1 days 09:00:00,314448.2774543236,560.7568790967468,470.2057570100222,0.05401817963540089,0.048344207596172264,0.05279724929488008,1.0
22,1 days 10:00:00,307821.8904542558,554.8169882531138,455.0515921010506,0.05293270415162237,0.048344207596172264,0.05174598729935145,1.0
23,1 days 11:00:00,242150.60545563823,492.08800580347236,412.7186941960147,0.04869941436111878,0.048344207596172264,0.04782230767286503,1.0
24,1 days 12:00:00,225412.25297800454,474.77600295087,403.0088143171899,0.045760204357520234,0.048344207596172264,0.0454908386870749,1.0
25,1 days 13:00:00,202465.37385483916,449.96152486055865,373.60203033608394,0.04168944864709335,0.04603674902994401,0.04161259082115764,1.0
26,1 days 14:00:00,192890.37175599087,439.1928639629643,357.48613913633534,0.038979226997185895,0.03436923779336251,0.03898936692717069,1.0
27,1 days 15:00:00,203406.53892244273,451.0061406704378,370.27164537837615,0.0386507674549091,0.032398480539701756,0.03867447545641865,1.0
28,1 days 16:00:00,260435.6543817117,510.3289668260187,434.38389892660786,0.04374309545285507,0.044065991776283245,0.04357170565139081,1.0
29,1 days 17:00:00,284194.85929751024,533.0992959079108,459.1027070354667,0.043530886712032764,0.04279273933134946,0.043537217740436195,1.0
30,1 days 18:00:00,257362.7667703314,507.30934031449823,415.33286084293286,0.03701677555347461,0.032398480539701756,0.03728737318213123,1.0
31,1 days 19:00:00,281759.5781230766,530.8103033316861,455.0908396341072,0.039551860324549215,0.03980923770139987,0.0397634597478222,1.0
32,1 days 20:00:00,247817.68650429146,497.8129031114917,430.1052473363654,0.03542936642502043,0.03838143361961959,0.03525063188980871,1.0
33,1 days 21:00:00,245131.12927152132,495.1071896786809,422.8799133575678,0.03426684916970206,0.03838143361961959,0.03406789389846762,1.0
34,1 days 22:00:00,384003.6728085803,619.6802988707808,520.3392848724375,0.04092416726310285,0.03980923770139987,0.04109348529552167,1.0
35,1 days 23:00:00,915498.7369337546,956.8169819426047,691.7656505675632,0.05192687031485096,0.03980923770139987,0.053763804327738814,0.9166666666666666
36,2 days 00:00:00,1100108.5491574742,1048.8605956739314,765.7524877960383,0.058092440083890556,0.03980923770139987,0.06062667912069455,0.9166666666666666
37,2 days 01:00:00,1171494.9429154904,1082.3561996475514,827.1008012851366,0.06592102279525773,0.04279273933134946,0.06794909823854504,0.9166666666666666
38,2 days 02:00:00,1172550.2873219224,1082.8436116641785,829.554049497971,0.06665742942997636,0.04279273933134946,0.06872454433031974,0.9166666666666666
39,2 days 03:00:00,1160101.4352637662,1077.0800505365264,813.712470224746,0.06618904323657494,0.04193810287510463,0.0683757635601184,0.9166666666666666
40,2 days 04:00:00,1106218.5235990365,1051.7692349555755,761.5416389802832,0.06254766639364343,0.03838143361961959,0.06495407636455604,0.9166666666666666
41,2 days 05:00:00,1075838.8183870504,1037.2265029332073,723.7964157071733,0.06075930806037158,0.036425752915455856,0.06305703605207715,0.9166666666666666
42,2 days 06:00:00,1088852.390779801,1043.4809010134306,753.2722859495892,0.06491586328246372,0.03838143361961959,0.06709992073195384,0.9166666666666666
43,2 days 07:00:00,1222605.6660353462,1105.7150021752198,822.7667112297173,0.07808985509291162,0.0454111202587719,0.07886328012589097,0.9166666666666666
44,2 days 08:00:00,1276408.1512858362,1129.7823468641366,858.8393667470917,0.08496195365721367,0.07283627313302257,0.08522528762504843,0.9166666666666666
45,2 days 09:00:00,1364867.161306865,1168.2752934590653,933.6352838411532,0.09431055017042346,0.10220587852382008,0.09398161882102307,0.9166666666666666
46,2 days 10:00:00,1328698.537121826,1152.6918656439916,918.6567524936218,0.096936017601373,0.11601331703538172,0.09562715769098472,0.9166666666666666
47,2 days 11:00:00,820216.2775319731,905.6579252300357,765.4639274849384,0.08775666861826914,0.09289950152037102,0.08467040237984969,1.0
48,2 days 12:00:00,742011.9845446363,861.4011751470022,740.0575521121677,0.08756534571170412,0.09289950152037102,0.08283921427534195,1.0
49,3 days 17:00:00,715099.7120867168,845.6356852017994,724.3291628452042,0.08353842335218152,0.06873796736323542,0.07914263244343954,1.0
50,3 days 18:00:00,875113.445593824,935.4749839487018,822.230541321529,0.09116490227489282,0.09554904521168991,0.08620227243214483,1.0
51,4 days 00:00:00,961473.4678276359,980.5475347109062,885.7983750873915,0.09864347095322958,0.11866286072670063,0.09301804975216275,1.0
52,4 days 01:00:00,998441.8177447664,999.2206051442125,926.883811377012,0.10377915048943213,0.11866286072670063,0.09782387665850117,1.0
53,4 days 02:00:00,1017943.9412886578,1008.9320796211497,955.1179292947219,0.10754369954512681,0.11866286072670063,0.10142132024781066,1.0
54,4 days 03:00:00,1021537.582972865,1010.7114241824246,959.3648650115414,0.10846596401969305,0.11866286072670063,0.10229187641895625,1.0
55,4 days 04:00:00,863196.7007969549,929.0837964343986,848.481203298871,0.092625440917883,0.10205167725498837,0.08792199607662284,1.0
56,4 days 05:00:00,786372.4004119249,886.7764094809497,773.5119712847777,0.08334737740117572,0.08054844977898579,0.07921582222406036,1.0
57,4 days 06:00:00,698691.2550229281,835.8775359004022,701.187232598509,0.07520037969628833,0.07134085545490776,0.07163183448475412,1.0
58,4 days 07:00:00,603665.6636830581,776.9592419702967,635.5071128109665,0.06828374160736618,0.06635852069619136,0.06539210114064249,1.0
59,4 days 08:00:00,601909.9957308471,775.8285865646143,634.3099717935451,0.06883633536224239,0.06635852069619136,0.0664475865857977,1.0
60,4 days 09:00:00,474170.5174909483,688.600404800163,570.7903849355092,0.06275823412702784,0.06490346817981163,0.06130479617721049,1.0
61,4 days 10:00:00,448419.34433870506,669.6412056756253,550.6898034308605,0.061805344593076024,0.06490346817981163,0.060630047814664335,1.0
62,4 days 11:00:00,574404.136318426,757.8945416866558,589.2009172013275,0.06501460407394827,0.06490346817981163,0.06547200438143957,1.0
63,4 days 12:00:00,598147.3207652819,773.3998453356982,599.7623602753898,0.06286172971957123,0.06490346817981163,0.06435905211376698,1.0
64,4 days 13:00:00,586946.5580165257,766.1243750309252,591.0695115451832,0.05971924005254611,0.058038295400808126,0.06162314378537378,1.0
65,4 days 14:00:00,567329.7100483964,753.2129247751902,562.5056908139105,0.055194049996581875,0.050668324200672306,0.05729635028967787,1.0
66,4 days 15:00:00,551804.4039046431,742.8353814302623,535.300430705404,0.05070190511885028,0.04525286483244838,0.05296570092179608,1.0
67,4 days 16:00:00,570055.255562864,755.0200365307294,570.4519428830952,0.05338966218404645,0.04525286483244838,0.05559264179611981,1.0
68,4 days 17:00:00,656337.6001921684,810.1466535092078,650.193990074759,0.0597245311665038,0.050668324200672306,0.06163569786357692,1.0
69,4 days 18:00:00,661375.1823248231,813.2497662617698,660.8578924691589,0.05946115241548087,0.050668324200672306,0.06141659526773885,1.0
70,4 days 19:00:00,655980.0861115515,809.9259756987373,650.836924971699,0.057275207456843946,0.050668324200672306,0.05914933884013019,1.0
71,4 days 20:00:00,615411.2613246473,784.4815238899176,607.0757763005258,0.051748311635266046,0.04427525817457301,0.05333132078104306,1.0
72,4 days 21:00:00,779826.1825870689,883.0776764175781,683.139182827896,0.056945856135092565,0.04427525817457301,0.05770021323838093,1.0
73,4 days 22:00:00,770015.7115223074,877.5053911642409,672.3658969729369,0.05532592338907707,0.035882780081169435,0.05592117132535387,1.0
74,4 days 23:00:00,697613.1338965573,835.2323831704308,651.5853694800461,0.05654997721566222,0.035882780081169435,0.054938853551274126,1.0
75,5 days 00:00:00,770885.8612448663,878.0010599337943,678.7189838763446,0.06313756421361112,0.035882780081169435,0.05988492099656199,1.0
76,5 days 01:00:00,854364.6786990175,924.3184941885656,726.2855832793645,0.0711392727147379,0.035882780081169435,0.06696185990982258,1.0
77,5 days 02:00:00,933865.5567592407,966.3671956141934,794.5989647878341,0.08096440420766172,0.06208221244293638,0.07609496474229516,1.0
78,5 days 03:00:00,1005076.758190684,1002.5351655631258,862.1268738746021,0.09121692751085926,0.10652571824699832,0.08565862340149959,1.0
79,5 days 04:00:00,1010555.7418721962,1005.2640160038537,867.5712530654376,0.09432858349830976,0.10652571824699832,0.0885979479471079,1.0
80,5 days 05:00:00,938952.7206236236,968.9957278665493,817.9778838266117,0.09230066850911499,0.10232275225992805,0.08670989100621652,1.0
81,5 days 06:00:00,967242.076770462,983.4846601602193,847.5814723973077,0.09831654596943736,0.11086418610434373,0.09235745167174486,1.0
82,5 days 07:00:00,965397.9739524131,982.5466777473796,842.4008510227624,0.09860229231907362,0.11086418610434373,0.09263849995815192,1.0
83,5 days 08:00:00,967667.2735044289,983.7008048712926,847.323522281542,0.09981380176149666,0.11086418610434373,0.09389382506196337,1.0
84,5 days 09:00:00,808334.8711163616,899.074452487869,775.1822494819381,0.09473461318385773,0.08509061622498477,0.08965156152557617,1.0
85,5 days 10:00:00,810112.2333766219,900.062349716186,777.3826238487255,0.09568018438104535,0.08509061622498477,0.0905620015666026,1.0
86,5 days 11:00:00,766883.2181487721,875.7186866504403,763.2811683191038,0.09154929863591747,0.08509061622498477,0.08818991226376577,1.0
87,5 days 12:00:00,628068.2874445654,792.5075945658599,702.9953991188253,0.08219903207097023,0.07184762079409449,0.08023848956022082,1.0
88,5 days 13:00:00,519301.6840610593,720.6258974398986,624.1773450696777,0.07159303568266617,0.06647273806399212,0.07046701651745939,1.0
