,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,3601439.7299336414,1897.7459603259972,1738.9130303390468,0.11598795439380986,0.1257908729536544,0.11010405211897496,1.0
1,0 days 13:00:00,3274876.6884378376,1809.6620370770443,1602.5039081067455,0.10520449013833078,0.10391468201224088,0.10011736712050547,1.0
2,0 days 14:00:00,3289112.60211031,1813.591079077726,1605.0696706654069,0.09573218658189193,0.10144664818686366,0.0920882749863013,1.0
3,0 days 15:00:00,3837359.7069779616,1958.9179939389912,1725.046334487799,0.09529736953196549,0.10144664818686366,0.09170412199053207,1.0
4,0 days 16:00:00,4086974.6239458304,2021.6267271546026,1815.1879887749471,0.09560941889001029,0.10144664818686366,0.0919948103948466,1.0
5,0 days 17:00:00,3999769.975143293,1999.9424929590582,1744.1127909333663,0.08890725107173425,0.09514401489965382,0.085594185432093,1.0
6,0 days 18:00:00,5055167.082673431,2248.369872301582,1911.8536136272207,0.08366175930385204,0.09469899325880052,0.08215301295034999,0.9166666666666666
7,0 days 19:00:00,5384806.408974745,2320.5185646692735,1988.3282361525035,0.0808256034819534,0.08059511379363915,0.07959051194521773,0.9166666666666666
8,0 days 20:00:00,4835858.265277704,2199.058495192364,1832.972093462022,0.0717537273228135,0.06342923214845007,0.06973371160272744,0.9166666666666666
9,0 days 21:00:00,4747382.760488488,2178.848953114577,1764.257340553139,0.06804239472526959,0.06017854945586065,0.06590591168302944,0.9166666666666666
10,0 days 22:00:00,5127511.874778148,2264.4009969036288,1884.1542062767824,0.07182126211080493,0.08059511379363915,0.07010376992912985,0.9166666666666666
11,0 days 23:00:00,4344866.52377244,2084.4343414395285,1650.044555615651,0.06011577957774836,0.06017854945586065,0.0593062497655349,0.9166666666666666
12,1 days 00:00:00,4241963.022357952,2059.6026370050004,1558.0598799027387,0.05629169965892936,0.05006800252784845,0.05556948563325865,0.9166666666666666
13,1 days 01:00:00,4752152.745949713,2179.9432896178087,1735.1072691959591,0.06997789727590266,0.08059511379363915,0.06804178725416549,0.9166666666666666
14,1 days 02:00:00,4225465.439424395,2055.5936951217755,1603.3887048321494,0.0674880834663405,0.0802051320422808,0.06578612040409945,0.9166666666666666
15,1 days 03:00:00,3800654.2420147457,1949.526671275555,1518.2077780125755,0.07082254526650182,0.0802051320422808,0.06868471471787428,0.9166666666666666
16,1 days 04:00:00,3618591.979269115,1902.2597034235664,1460.580643435326,0.07322003921761523,0.08674562127253943,0.07088355802564872,0.9166666666666666
17,1 days 05:00:00,3780941.359672358,1944.4642860367371,1562.3501051517896,0.08248006235879818,0.08788731952488552,0.07959992830207956,0.9166666666666666
18,1 days 06:00:00,2861478.3786455467,1691.5904878680144,1423.9613091053718,0.09017155634730012,0.08788731952488552,0.08507567145304835,1.0
19,1 days 07:00:00,2638269.324419877,1624.2750150205097,1375.9842416493732,0.09504325181700479,0.09573179400130738,0.08942719679492395,1.0
20,1 days 08:00:00,2591099.3157261307,1609.6891984871274,1336.5406511548335,0.09454240108069902,0.09573179400130738,0.08891458394920955,1.0
21,1 days 09:00:00,2723798.996567403,1650.3935883804818,1424.1624010824835,0.09979304684348478,0.09573179400130738,0.0939579782751964,1.0
22,1 days 10:00:00,2403604.467636849,1550.356238945375,1333.110182041537,0.09745641179208427,0.09459009574896131,0.09113027938027275,1.0
23,1 days 11:00:00,2569232.264166646,1602.8824860752102,1430.4401079674378,0.10177940920052198,0.09459009574896131,0.09528900923070854,1.0
24,1 days 12:00:00,2591117.139170484,1609.6947347775242,1472.5296034474231,0.10338763299276467,0.09459009574896131,0.09691357751242015,1.0
25,1 days 13:00:00,2193630.6483898987,1481.0910331204827,1365.8537407604556,0.09212804122277418,0.07881561861880151,0.08695791772223417,1.0
26,1 days 14:00:00,2194732.4081181213,1481.462928364433,1366.308372104252,0.08882415629287477,0.06824773212965154,0.08386306162256428,1.0
27,1 days 15:00:00,2044707.6083472946,1429.9327286090402,1322.7211659275906,0.07973454534913062,0.06290964097597422,0.0756962126271582,1.0
28,1 days 16:00:00,1932052.3984806258,1389.9828770458382,1254.3197796051275,0.07239523145776923,0.058366047053791545,0.06876689211864472,1.0
29,1 days 17:00:00,1776181.7231282901,1332.7346784443969,1164.9437366215448,0.06354832227434899,0.051420849530451965,0.0604568220593339,1.0
30,1 days 18:00:00,2334635.34053716,1527.9513541134613,1256.723065145609,0.05456212085467057,0.051420849530451965,0.05353496783857146,1.0
31,1 days 19:00:00,2636791.05346374,1623.8198956361323,1319.3105204802903,0.04888605278404184,0.051420849530451965,0.0489424544852362,1.0
32,1 days 20:00:00,2629280.9361564885,1621.5057619868294,1305.9540984343848,0.047736903128458706,0.051420849530451965,0.04777799833880659,1.0
33,1 days 21:00:00,2695397.6864589867,1641.766635810031,1329.1952390799333,0.046135754559429594,0.04938541762523035,0.04649719421530604,1.0
34,1 days 22:00:00,2786535.182846162,1669.2918207569826,1361.5963429118344,0.046216577487405264,0.04938541762523035,0.04688949522757682,1.0
35,1 days 23:00:00,2697952.048304492,1642.5443824458723,1325.1830576313905,0.04456142815647599,0.04603354746705904,0.04549369578648831,1.0
36,2 days 00:00:00,2723646.2052782364,1650.3472983824454,1345.4439495583256,0.04641711477572888,0.04603354746705904,0.04726110888967804,1.0
37,2 days 01:00:00,3500814.413809722,1871.04634197278,1517.6640428808023,0.062358437305398605,0.04938541762523035,0.06106248928567303,1.0
38,2 days 02:00:00,3715844.078931457,1927.6524787760518,1584.274040872644,0.07045265290212929,0.05409724679329418,0.06844129992822333,1.0
39,2 days 03:00:00,3591622.0535697113,1895.1575273759465,1529.2849448047075,0.0705343373757421,0.05458735363497104,0.06851854846191792,1.0
40,2 days 04:00:00,3929892.71114851,1982.3956999419945,1666.2507397008737,0.08358735198157874,0.05934109146332241,0.08045324621490306,1.0
41,2 days 05:00:00,4334712.055608279,2081.9971315081775,1824.0620787295777,0.09813720250209244,0.06952621117879215,0.09369229637057963,1.0
42,2 days 06:00:00,4168355.2118442766,2041.6550178333941,1799.940636511585,0.11276156111394349,0.06952621117879215,0.10510398323810398,1.0
43,2 days 07:00:00,5466189.085965086,2337.9882561649206,1970.213905301397,0.139864855481896,0.10270444903396587,0.12632198307488793,0.9166666666666666
44,2 days 08:00:00,7081203.896436881,2661.0531555075863,2320.70346594749,0.16557282864836506,0.15761428403680053,0.14846120351650424,0.9166666666666666
45,2 days 09:00:00,8221996.930056329,2867.4024708883003,2525.222336236709,0.18215143204369658,0.17858920580412452,0.16259143136266363,0.9166666666666666
46,2 days 10:00:00,8309610.328256479,2882.6394724724905,2550.2416217924765,0.18494162858510432,0.17858920580412452,0.16485929074114256,0.9166666666666666
47,2 days 11:00:00,8227047.036550096,2868.2829422060327,2472.9778762421206,0.18140731922486916,0.17858920580412452,0.1612369078487736,0.9166666666666666
48,2 days 12:00:00,8179774.974295676,2860.0305897482417,2415.102856030825,0.17810493536391012,0.17858920580412452,0.15800621569538328,0.9166666666666666
49,3 days 17:00:00,7798527.488155349,2792.584374402204,2349.2456262748624,0.16653448353236402,0.15761428403680053,0.14812706277928894,0.9166666666666666
50,3 days 18:00:00,7975920.510418106,2824.167224230553,2388.661882518563,0.1619488899895075,0.1337590282180638,0.1440310264152204,0.9166666666666666
51,4 days 00:00:00,8445884.683931438,2906.180428660863,2530.844603378247,0.1721047986223421,0.1751863782631647,0.1530939151836536,0.9166666666666666
52,4 days 01:00:00,8852411.159407046,2975.3001797141487,2610.9539173511,0.1787805747867465,0.1823866235168446,0.15855592547262912,0.9166666666666666
