,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,195802376.0171349,13992.94022059463,13613.011339671735,0.3860961992464342,0.34500454793433427,0.3068759525890746,1.0
1,0 days 13:00:00,204256639.99845317,14291.838230208637,13874.601439447477,0.34102071343652485,0.17749407759253882,0.2762256988723995,1.0
2,0 days 14:00:00,195749469.60637426,13991.049624898564,13575.303367878796,0.2817126624459022,0.13051644214522723,0.23632382351797065,1.0
3,0 days 15:00:00,181000737.24286115,13453.651446460963,12895.948568384085,0.22368427179918568,0.12240483465037585,0.1953135736091343,1.0
4,0 days 16:00:00,174930204.74561647,13226.118279586663,12634.512018900234,0.17497190536356175,0.11796525446907105,0.16044845826991716,1.0
5,0 days 17:00:00,182239936.23725495,13499.627262900814,12908.083064343178,0.140200166880004,0.11452825260180126,0.1356009652859068,1.0
6,0 days 18:00:00,176982355.005001,13303.471539602022,12687.86139566644,0.10878297969054877,0.1125027988441445,0.11214535006132244,1.0
7,0 days 19:00:00,179891549.57955575,13412.3655474922,12818.050360118497,0.10497267376030585,0.1125027988441445,0.10897769135474711,1.0
8,0 days 20:00:00,169286302.8913795,13011.006989905874,12052.181137093618,0.09779273667317528,0.10392486859632999,0.10107706715648934,1.0
9,0 days 21:00:00,154081813.2098678,12412.969556470676,11073.25370884627,0.09135346798948026,0.09259628687277446,0.09401287513332983,1.0
10,0 days 22:00:00,151256399.41545808,12298.634046732917,10826.372999748479,0.09557112667186284,0.10126489531442112,0.09765415799133932,1.0
11,0 days 23:00:00,119254652.30940051,10920.377846457535,9669.728047012444,0.1031801564176763,0.10126489531442112,0.10243099802305676,1.0
12,1 days 00:00:00,102951353.56620257,10146.494644270137,8996.260405277517,0.12189872152195032,0.10126489531442112,0.1165759070681462,1.0
13,1 days 01:00:00,81782262.03975414,9043.354578902352,8165.88089848385,0.1411201433764994,0.10126489531442112,0.1307224702479399,1.0
14,1 days 02:00:00,75342985.10943945,8680.03370439536,7861.921298745197,0.17026531080175533,0.11070893874723595,0.15295561129384103,1.0
15,1 days 03:00:00,75896574.04058452,8711.863981983679,7901.375701982332,0.19629868163559325,0.14308363264896024,0.17424338556941596,1.0
16,1 days 04:00:00,69605183.66948362,8342.972112471887,7484.019664813434,0.21107141873857968,0.2002864204859623,0.186432893971919,1.0
17,1 days 05:00:00,53001342.231847234,7280.20207355862,6657.128675342301,0.2226159535839737,0.24072652096024993,0.19500465023171007,1.0
18,1 days 06:00:00,46707271.6890741,6834.271847759211,6280.50710168665,0.23411296815291804,0.24306177710409893,0.20404361533642876,1.0
19,1 days 07:00:00,35397191.51517623,5949.553892114621,5507.621894335597,0.224736024493596,0.24306177710409893,0.1956488439745754,1.0
20,1 days 08:00:00,67645382.86524609,8224.681323020734,6964.341634416251,0.2396472014396288,0.24306177710409893,0.21277895298618835,1.0
21,1 days 09:00:00,117508467.78728145,10840.132277204068,8851.18293689378,0.253652419075242,0.24306177710409893,0.22877840649295192,1.0
22,1 days 10:00:00,145241137.8309432,12051.603122860593,10058.526071236362,0.2568229328947424,0.24306177710409893,0.2333256860156041,1.0
23,1 days 11:00:00,231778884.9365754,15224.286023869081,12230.21066283116,0.25598083407465405,0.24306177710409893,0.2367164045938056,1.0
24,1 days 12:00:00,322709432.194734,17964.115124178366,14391.834052520659,0.24687401990598967,0.2305774616236539,0.23405100936576204,1.0
25,1 days 13:00:00,375257974.2866271,19371.576453314974,15935.1677492785,0.23310902193666486,0.2231896125592745,0.22631824559537903,1.0
26,1 days 14:00:00,408043127.69731593,20200.07741810204,17011.672444427273,0.20996013390588017,0.2175054668529912,0.21090760430927633,1.0
27,1 days 15:00:00,443186859.89363426,21052.003702584567,18222.223875572534,0.19318606554894888,0.20988485246302835,0.19995092319781163,1.0
28,1 days 16:00:00,477066559.98119783,21841.853400780754,19534.628538426387,0.18553671612823083,0.1960994914919258,0.19580269859990382,1.0
29,1 days 17:00:00,533391832.6548707,23095.27728032012,21318.874737201022,0.1820356708432208,0.1960994914919258,0.19677858486202127,1.0
30,1 days 18:00:00,556860490.9092702,23597.89166237675,22298.741554524808,0.17737532770196762,0.18314589609874893,0.1956270425872434,1.0
31,1 days 19:00:00,568330362.2692183,23839.68041457809,23078.288019448955,0.18571641356941523,0.18314589609874893,0.20524000557887268,1.0
32,1 days 20:00:00,563851768.2488157,23745.56312764167,22961.083297761765,0.19100904484466252,0.18314589609874893,0.21213201732158224,1.0
33,1 days 21:00:00,539416890.9065372,23225.350178340417,22380.749069248763,0.20212896324682864,0.18314589609874893,0.2270361203746262,1.0
34,1 days 22:00:00,531350883.974094,23051.049520013054,22148.071194725297,0.22332508092280615,0.1998308483277212,0.25555988518470724,1.0
35,1 days 23:00:00,462124667.46751434,21497.08509234483,20733.30615438711,0.24662404102455524,0.1998308483277212,0.29044201920285334,1.0
36,2 days 00:00:00,385728622.8991292,19639.975124707496,19189.208239164862,0.27732820523989093,0.1998308483277212,0.3397408350754169,1.0
37,2 days 01:00:00,340979617.1494916,18465.63340775213,18032.58010580803,0.31336952664406564,0.2453719969503074,0.39739601905344485,1.0
38,2 days 02:00:00,318107167.00674355,17835.559060672687,17391.552516317206,0.358292269957748,0.30836015052750887,0.4725273729511961,1.0
39,2 days 03:00:00,300073467.4294214,17322.62876786954,16914.957938032152,0.4117641809576896,0.36815781865960917,0.569708581007937,1.0
40,2 days 04:00:00,287541474.35914284,16957.047925837294,16581.305342885425,0.4761187665515783,0.44885268324706973,0.7007066010040623,1.0
41,2 days 05:00:00,259710561.81476745,16115.537900261581,15971.85596919896,0.5383596530909969,0.5472083584617832,0.8344328344917322,1.0
42,2 days 06:00:00,250765474.45595083,15835.576227468036,15695.73763517522,0.5785611462875325,0.6076878765384806,0.9003641706622157,1.0
43,2 days 07:00:00,239128530.09313843,15463.78123529748,14882.468246890081,0.5726569720599993,0.6076878765384806,0.893659041138767,1.0
44,2 days 08:00:00,229633268.04315802,15153.655270038249,14598.12009944645,0.5884589664503883,0.6076878765384806,0.8982885016210518,1.0
45,2 days 09:00:00,289742375.78292304,17021.82057780316,15808.424059902061,0.6306829646801881,0.6406027837030113,0.9138913346424259,1.0
46,2 days 10:00:00,400630274.92724735,20015.750671090187,17797.64218050362,0.6695961511100763,0.6803394108670568,0.9227652296369021,0.9166666666666666
47,2 days 11:00:00,484813183.8326743,22018.473694438366,19430.665394461623,0.6809257700435859,0.6803394108670568,0.9074918162324375,0.9166666666666666
48,2 days 12:00:00,523831872.9094138,22887.37365687496,20358.020296590683,0.6659689342394206,0.6803394108670568,0.8655655744238017,0.9166666666666666
49,3 days 17:00:00,524666089.3599774,22905.590788276502,20391.11520489078,0.6295225928702477,0.6803394108670568,0.8046076716821838,0.9166666666666666
50,3 days 18:00:00,508859424.20458883,22557.912673928608,19431.755652450094,0.5743468545797044,0.6481009792273711,0.7179963398741264,0.9166666666666666
51,4 days 00:00:00,496242159.101634,22276.493420231876,18953.467881968936,0.5504324660556464,0.5756265676567554,0.6641456319619784,0.9166666666666666
52,4 days 01:00:00,483044325.56941754,21978.2693943226,18479.994363354137,0.5189911573370921,0.5354178305928761,0.5826536976521799,0.9166666666666666
53,4 days 02:00:00,458486577.4048323,21412.29967576655,17594.135710965336,0.47865462923201446,0.49539198649708205,0.48105422320822405,0.9166666666666666
54,4 days 03:00:00,446878428.4717187,21139.499248367232,17090.20649174765,0.46289864028310396,0.473330464374235,0.4502535968170662,0.9166666666666666
55,4 days 04:00:00,453386577.3426139,21292.876211132538,17661.087552950954,0.49785471832322203,0.4908669967415723,0.4992212951325312,0.9166666666666666
56,4 days 05:00:00,442139977.4506932,21027.124802280818,17201.373535264458,0.49829160174259074,0.4908669967415723,0.5193176226302857,0.9166666666666666
57,4 days 06:00:00,360196076.7901849,18978.832334740324,15096.358313999857,0.44981334424869873,0.47423141441489997,0.4950504131532449,0.9166666666666666
58,4 days 07:00:00,237530009.50622115,15412.008613617536,12663.52601098481,0.3961245416622323,0.4727933370656331,0.46543167816147984,1.0
59,4 days 08:00:00,225327648.083644,15010.917629633574,12486.744883166082,0.37222620685707725,0.44377239872890895,0.46042069075493147,1.0
60,4 days 09:00:00,283641389.2259067,16841.656368240823,13396.229784530247,0.36259888804372137,0.4101750367029777,0.46116910684749524,1.0
61,4 days 10:00:00,322228087.5315135,17950.71273046041,14415.94802604396,0.3634088277259786,0.4101750367029777,0.46496631448065734,1.0
62,4 days 11:00:00,439426554.46359605,20962.503535207718,17341.099732547136,0.3811549060703338,0.4101750367029777,0.485760690992723,1.0
63,4 days 12:00:00,544299138.2378029,23330.219421124246,19559.876738549494,0.3586789716296906,0.3242911355267831,0.4512149823706391,0.9166666666666666
64,4 days 13:00:00,622252680.4124733,24944.99309305323,21346.485875355527,0.3311426388149125,0.2814830105846432,0.4082914724393774,0.9166666666666666
65,4 days 14:00:00,673558550.742505,25953.00658387203,22821.26031868035,0.3071995026420736,0.2567000422323347,0.37364847237909277,0.9166666666666666
66,4 days 15:00:00,718136816.3629965,26798.07486300082,24166.68521964535,0.2825413047816771,0.2484314329754528,0.33826168590701045,0.9166666666666666
