,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,327336.52681634383,572.1333121015974,524.7895971702259,0.12138913845456346,0.11454313243911252,0.11478111356602576,1.0
1,0 days 13:00:00,286651.363497318,535.3983222772723,496.0807607990103,0.10729288220852451,0.09278925543930325,0.10275647614160689,1.0
2,0 days 14:00:00,315418.27162778383,561.6211103829554,519.3093294832603,0.10559351309732974,0.09278925543930325,0.10125380871222878,1.0
3,0 days 15:00:00,331035.9781373828,575.3572613058627,546.3509625946676,0.1079503926801495,0.09278925543930325,0.10349659202345207,1.0
4,0 days 16:00:00,316804.05662290496,562.853494812731,526.193777126194,0.09736332391385154,0.08521984381145603,0.09383411304219962,1.0
5,0 days 17:00:00,279029.75667059567,528.2326728541085,481.66432851142844,0.07979494943161548,0.08108404493465149,0.07823389731859313,1.0
6,0 days 18:00:00,286935.7908093407,535.6638785743731,493.1323467766974,0.0778759894155834,0.08108404493465149,0.07659657293033308,1.0
7,0 days 19:00:00,311961.71891788696,558.5353336342177,513.7386743825803,0.0781620031355055,0.08108404493465149,0.07621305649994727,1.0
8,0 days 20:00:00,261914.4383559459,511.77576960612924,472.5110622940642,0.070954876629709,0.07204373179173246,0.06815316267977752,1.0
9,0 days 21:00:00,258489.59555897894,508.41872070074186,469.2002171119068,0.06873812972484049,0.06774085901540033,0.0661121192314698,1.0
10,0 days 22:00:00,224884.6346880975,474.2200277171953,440.88731760204365,0.06305550743835077,0.06751408462688678,0.06097942312317622,1.0
11,0 days 23:00:00,205931.56587506682,453.7968332580857,403.6749481705105,0.05689307548041761,0.055188437832199386,0.05507260293178052,1.0
12,1 days 00:00:00,207491.19210745845,455.5120109365487,406.56173265171793,0.05897510382645866,0.06415500714110073,0.0570517034997704,1.0
13,1 days 01:00:00,238210.7074723509,488.0683430344063,429.37704511543006,0.07138749609892521,0.06415500714110073,0.06773582035738565,1.0
14,1 days 02:00:00,203398.41770835107,450.99713713986154,399.25493048281146,0.07111728065344322,0.06415500714110073,0.06749421024086116,1.0
15,1 days 03:00:00,210308.133634394,458.59364761670435,406.2618619949971,0.08061199289904346,0.06723747609414235,0.07593941173807263,1.0
16,1 days 04:00:00,217682.91852354977,466.56502068152275,418.3638747665994,0.0885140040997177,0.07082332796844196,0.08326063697020457,1.0
17,1 days 05:00:00,244930.06744950093,494.9040992449961,454.6964610678844,0.10335009114412687,0.08120485632962485,0.09663120640970983,1.0
18,1 days 06:00:00,269148.30058660964,518.7950468023087,476.8555784295201,0.1156979087224048,0.10241123362511854,0.10745781657663446,1.0
