,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,3553512.7742988938,1885.0763311598005,1440.2072507578207,0.23076009871489908,0.25216213215030286,0.27463797610113977,1.0
1,0 days 13:00:00,3462901.36171574,1860.8872512099545,1380.7153433658714,0.21192033352651185,0.24437592702406485,0.25283794701045303,1.0
2,0 days 14:00:00,3657916.3204055037,1912.567991054306,1448.8208579218515,0.19912630639794185,0.19311706219294866,0.23650409410908246,1.0
3,0 days 15:00:00,4113567.398674308,2028.1931364330933,1571.7111864333904,0.18453821327113543,0.1486047471095799,0.21606531813886623,1.0
4,0 days 16:00:00,4648584.99831671,2156.057744661935,1689.8594720614522,0.1612717339270183,0.1486047471095799,0.18117097177986563,1.0
5,0 days 17:00:00,4616869.7176238885,2148.6902330545204,1676.7826187015944,0.13525678880321723,0.12309944916927594,0.148073462770093,1.0
6,0 days 18:00:00,4631668.490010117,2152.131150745725,1687.688990390262,0.12558530824873806,0.07947540635552047,0.1372855939335408,1.0
7,0 days 19:00:00,5214617.266287606,2283.5536486554474,1804.2938821423825,0.12081923368758295,0.07947540635552047,0.12784322969431014,1.0
8,0 days 20:00:00,3301432.869332204,1816.9845539608211,1423.382263780816,0.08868449200650873,0.05602886392242531,0.0873794322260009,1.0
9,0 days 21:00:00,2885518.6832324336,1698.6814543146204,1330.475680354332,0.07927471060340023,0.05602886392242531,0.07604875945782864,1.0
10,0 days 22:00:00,2875669.778506354,1695.7799911858713,1322.484453254401,0.08058198664661258,0.06387252018169941,0.07702171852454479,1.0
11,0 days 23:00:00,2870307.7601692416,1694.1982647167483,1304.8160254132774,0.07968288896011408,0.06387252018169941,0.07611079606557337,1.0
12,1 days 00:00:00,2872092.9641024787,1694.7250408554416,1308.119283767216,0.08321269682275549,0.06452162803589574,0.07979512121060743,1.0
13,1 days 01:00:00,2862076.6530794115,1691.7673164709772,1291.7836645754187,0.0852019005480879,0.06452162803589574,0.081896770673245,1.0
14,1 days 02:00:00,2579966.8848259444,1606.2275320844008,1141.7052212673223,0.07750269548862883,0.05735852936215706,0.07461600029965366,1.0
15,1 days 03:00:00,2046519.5049563653,1430.56614840292,972.4007133085555,0.07716417474678305,0.05735852936215706,0.07595976342949531,1.0
16,1 days 04:00:00,1325045.7193768467,1151.106302379084,760.1423701284945,0.07354206621890041,0.05735852936215706,0.07404482262014377,1.0
17,1 days 05:00:00,1218535.2317744337,1103.872833153545,673.1992533498893,0.07097987701742638,0.05217772360719035,0.07164139326093541,1.0
18,1 days 06:00:00,1208309.5094642013,1099.2313266388478,665.8958325120198,0.081552095284605,0.06452162803589574,0.08123372545368225,1.0
19,1 days 07:00:00,355453.99131630146,596.1996237136531,402.2745089001958,0.06534865113854595,0.05217772360719035,0.06654354057794393,1.0
20,1 days 08:00:00,1312873.5777967903,1145.8069548561791,666.5420609955345,0.08776305396410115,0.06452162803589574,0.09285588569298962,1.0
21,1 days 09:00:00,1226039.3501578982,1107.2666120487415,637.7543103914026,0.08703164086465831,0.06452162803589574,0.09203191066126931,1.0
22,1 days 10:00:00,1308736.4551702435,1144.0001989380262,685.9698128478931,0.08793861893814199,0.06996349647679782,0.09343348762116875,1.0
23,1 days 11:00:00,1347945.7227116905,1161.010647113837,739.447420704474,0.09088401159869824,0.06996349647679782,0.09645506041187578,1.0
24,1 days 12:00:00,1342358.3291570346,1158.6018855314514,726.1663488112987,0.08665497388327835,0.06413358286763478,0.09208383486475406,1.0
25,1 days 13:00:00,1339113.3987853897,1157.2006735157863,714.4133918926536,0.0830740299749735,0.062442829004567074,0.08841078836460621,1.0
26,1 days 14:00:00,1537224.3015937952,1239.848499452169,839.6599947014751,0.08867963141610981,0.07951875176022469,0.09377372626176166,1.0
27,1 days 15:00:00,1962440.2025834017,1400.8712298364192,986.9591027807288,0.08671823627118436,0.07951875176022469,0.090402436670944,1.0
28,1 days 16:00:00,1992650.9541778115,1411.6128910497423,1012.9241416540457,0.07936988471825922,0.06004222502754951,0.08235086443071267,1.0
29,1 days 17:00:00,2062752.1237403818,1436.2284371716019,1082.157207956997,0.0806974547957796,0.06004222502754951,0.08357834918943835,1.0
30,1 days 18:00:00,2202392.274398102,1484.0459138443466,1148.4138075144845,0.07206503258039146,0.051719037661657995,0.07613952149280918,1.0
31,1 days 19:00:00,2283035.323064301,1510.9716486633033,1227.4579669640486,0.0753341385469476,0.052608133235498816,0.07949521993907828,1.0
32,1 days 20:00:00,1638945.0700032804,1280.2129002643585,1107.049995194224,0.0598774506471019,0.052608133235498816,0.060566177241970304,1.0
33,1 days 21:00:00,1778367.2301732271,1333.5543596618877,1150.6927844617173,0.0602866290748287,0.052608133235498816,0.061026191898779426,1.0
34,1 days 22:00:00,2758452.0678011556,1660.8588343989852,1356.4636195547394,0.07498454586718742,0.052608133235498816,0.0786246311800891,1.0
