,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,0 days 12:00:00,1511868.4108986526,1229.5805833285806,1030.6439946891142,0.27716064039847377,0.24637481315914317,0.22640117334867083,1.0
1,0 days 13:00:00,1329067.8662670276,1152.8520574067722,963.8339385263253,0.247024775485435,0.15294551805682133,0.20322048545270444,1.0
2,0 days 14:00:00,1037363.2071328163,1018.5102881821157,825.1944695432984,0.20369999009982856,0.10506638318692213,0.16942132390769735,1.0
3,0 days 15:00:00,725727.8950090789,851.8966457317923,686.1274615355105,0.15138498439578366,0.057467381258881706,0.13042714317519954,1.0
4,0 days 16:00:00,545057.5365698639,738.2801206654991,597.0532846377669,0.11169959824039134,0.037155316354145894,0.099501389964958,1.0
5,0 days 17:00:00,399812.5931541349,632.3073565554453,513.1953824462704,0.07618715557154532,0.03228694585188481,0.07101769954206148,1.0
6,0 days 18:00:00,297707.23532699514,545.6255449729192,423.5533204849292,0.050041111266241,0.027349387676214094,0.04847321646033562,1.0
7,0 days 19:00:00,690902.2640433371,831.2053079975711,550.1363655497272,0.05675762842730822,0.027349387676214094,0.05394275270782117,1.0
8,0 days 20:00:00,852081.9960528379,923.0828760478865,648.9161399269007,0.06693837518024152,0.027349387676214094,0.06312702912181739,1.0
9,0 days 21:00:00,996441.4845218166,998.219156559228,746.0247738120752,0.07896540105835147,0.03510760492231664,0.07407772171061673,1.0
10,0 days 22:00:00,1118775.3013065474,1057.7217504176358,834.5814084297008,0.09195115912869108,0.06028804032931354,0.08588074157002161,1.0
11,0 days 23:00:00,1379015.4053239275,1174.314866347151,963.7491917670435,0.11691860706471535,0.10506638318692213,0.10705726350816232,1.0
12,1 days 00:00:00,1635126.180026401,1278.7205245973028,1042.043673019963,0.1451117691047915,0.11855186177648155,0.12851582514053392,1.0
13,1 days 01:00:00,1937209.8400232426,1391.8368582643739,1139.4042805761526,0.1828852718661805,0.16112308675165476,0.15663331828421703,1.0
14,1 days 02:00:00,2180374.2236816194,1476.6090287146492,1264.5835326938443,0.2172382683936259,0.17016051351324246,0.1846155421450079,1.0
15,1 days 03:00:00,2434046.2878014054,1560.143034404668,1388.0810361737676,0.25734749406684043,0.2157675263743718,0.21625982558741788,1.0
16,1 days 04:00:00,2696942.0019695605,1642.2368897237575,1501.4219051982789,0.30512177759782183,0.29051274853565917,0.2521062030932232,1.0
17,1 days 05:00:00,2910716.5060738437,1706.0822096469572,1608.0364369193176,0.348219763443182,0.37732698774107176,0.28543886800843893,1.0
18,1 days 06:00:00,3066273.9501518044,1751.0779394852202,1719.283990254131,0.380538805283764,0.4105261405426256,0.3124425966226855,1.0
19,1 days 07:00:00,2711385.259439778,1646.628452152998,1613.5490381885775,0.37845519767808455,0.4105261405426256,0.3107880933913823,1.0
20,1 days 08:00:00,2568849.378424112,1602.763045002009,1539.7550094473283,0.3726771769844977,0.4105261405426256,0.3056531978109613,1.0
21,1 days 09:00:00,2422969.485258822,1556.5890547150914,1436.505342997488,0.3598313467644323,0.4105261405426256,0.2938588125120027,1.0
22,1 days 10:00:00,2299275.270764559,1516.3361338319942,1342.6059969876544,0.34621703441265644,0.4105261405426256,0.2814072485101328,1.0
23,1 days 11:00:00,2034638.5031911507,1426.4075515753382,1197.0015670830749,0.3195194131537651,0.4105261405426256,0.2584747481484247,1.0
24,1 days 12:00:00,1864945.0384509778,1365.6299053736989,1150.5516481396646,0.29128136753240236,0.3112102557031359,0.23836900161622931,1.0
25,1 days 13:00:00,1520787.1430278078,1233.201987927285,1027.2735713339175,0.2513480756668836,0.18047367390142788,0.2079377639309713,1.0
26,1 days 14:00:00,1274811.5638490897,1129.0755350502861,893.8656536787504,0.21630935701131526,0.108080714080114,0.17925141316607,1.0
27,1 days 15:00:00,1051069.4305752392,1025.2167724804542,801.8695790442104,0.17882525040854932,0.07125307215685908,0.15013148209435273,1.0
28,1 days 16:00:00,836444.8318865806,914.5735792633529,723.5238728269184,0.13396723044483613,0.0651549562748212,0.11704091699201828,1.0
29,1 days 17:00:00,669103.4087964954,817.9874135929571,655.8353777122642,0.09411308098334137,0.06225202267214293,0.08679695781664416,1.0
30,1 days 18:00:00,533266.1665676495,730.2507559514399,582.5731492472333,0.06495948288190784,0.05501070515116885,0.06289098830946464,1.0
31,1 days 19:00:00,443515.9384853738,665.9699231086745,504.90553451072043,0.046406281151859886,0.047653340267530514,0.046350209644565425,1.0
32,1 days 20:00:00,496803.4916559441,704.8428843763297,540.947015314057,0.04577776413564325,0.047653340267530514,0.04630018749362951,1.0
33,1 days 21:00:00,821041.2183018038,906.1132480555639,698.2382851040352,0.058523101434486934,0.05501070515116885,0.06028022334776031,1.0
34,1 days 22:00:00,905635.4774580725,951.6488204469506,774.636035456806,0.06602279242450428,0.06225202267214293,0.06823461546396845,1.0
35,1 days 23:00:00,970575.1437856546,985.1777219292236,845.3309346306668,0.07389489909686828,0.07206820462911834,0.07652951067616039,1.0
36,2 days 00:00:00,791000.2237747939,889.3819335779167,757.2623010106873,0.06826107231788568,0.06527670392150223,0.07031656654439968,1.0
37,2 days 01:00:00,756105.8585317071,869.5434770796151,711.6530826819202,0.06500038850809108,0.06527670392150223,0.06691778616057267,1.0
38,2 days 02:00:00,759478.1024476272,871.4804085277117,721.1143616617607,0.0669544066629885,0.06527670392150223,0.06892380424828486,1.0
39,2 days 03:00:00,734681.2899794611,857.1355143613297,697.3347207918983,0.06760269771116524,0.06614176896120344,0.06953534087933956,1.0
40,2 days 04:00:00,689448.9209750742,830.3306094412479,665.3904054043724,0.0691781615574738,0.06614176896120344,0.0709857992454581,1.0
41,2 days 05:00:00,791096.4854698536,889.4360491175595,711.3531721911681,0.08899839737487843,0.0713717163486198,0.08759407353017919,1.0
42,2 days 06:00:00,1161813.6054324592,1077.8745777837323,851.1270387312316,0.13071253810165578,0.08675093509438601,0.11977084885060385,1.0
43,2 days 07:00:00,1859676.2515793266,1363.6994726035962,1083.145937267757,0.1902697408821079,0.09601972275691761,0.1632886376445277,0.9166666666666666
44,2 days 08:00:00,2760404.4696564507,1661.4464991857099,1288.8291167153404,0.24703616489841432,0.0996828783136616,0.20230776955185262,0.8333333333333334
45,2 days 09:00:00,3788770.5044320473,1946.4764330533383,1460.104143312381,0.3004871115662915,0.0996828783136616,0.2352386542654543,0.75
46,2 days 10:00:00,5085886.187450747,2255.190942570218,1715.1876667912984,0.3486234218961659,0.2025854209808158,0.2685902123482422,0.6666666666666666
47,2 days 11:00:00,6381029.487053002,2526.0699687564083,1978.238769079172,0.38853935891648916,0.4241009170535966,0.29731278662135746,0.5833333333333334
48,2 days 12:00:00,7098869.022303827,2664.3702862597434,2185.294899584843,0.41097718696511404,0.43591790333598013,0.3156796778776138,0.5
49,3 days 17:00:00,7160837.736875298,2675.9741659581277,2248.653425542263,0.41485469470094943,0.43591790333598013,0.3197329375507684,0.5
50,3 days 18:00:00,7191599.556504403,2681.715785929673,2283.3573308386267,0.416581108569069,0.43591790333598013,0.3212920537038217,0.5
51,4 days 00:00:00,7643917.07413979,2764.7634752614536,2448.493660921461,0.4550313560012535,0.532857484677039,0.3508215458250243,0.5
52,4 days 01:00:00,8075623.1603370765,2841.7640930128377,2599.9580066869235,0.49583108945472837,0.5591738593210562,0.38099063508189396,0.5
53,4 days 02:00:00,8383954.343456005,2895.505887311577,2682.184295785049,0.5266340315978904,0.5803137455997065,0.4009438350677665,0.5
54,4 days 03:00:00,8283458.14926915,2878.0997462334676,2657.249317501434,0.5259525346272372,0.5803137455997065,0.40052034010230003,0.5
55,4 days 04:00:00,7883136.163290036,2807.6923199115026,2573.6552781081523,0.5181990021140143,0.5803137455997065,0.3961928286375127,0.5833333333333334
56,4 days 05:00:00,7134456.565100502,2671.040352578093,2426.22690005122,0.5007571366782431,0.5643369270689551,0.38628871712835333,0.6666666666666666
57,4 days 06:00:00,5931223.374545823,2435.410309279696,2202.2188243382916,0.46553868647970137,0.5422678191958774,0.3652234459657495,0.75
58,4 days 07:00:00,4629553.976871039,2151.6398343754095,1944.8546722458352,0.42720328433303006,0.5287685028531198,0.3394250583630663,0.8333333333333334
59,4 days 08:00:00,3269746.7125030383,1808.2440964933462,1613.7978631345077,0.37997117258109636,0.45392391692197087,0.3029685922785495,0.9166666666666666
60,4 days 09:00:00,2531894.8909774777,1591.1929144442158,1368.4995619380504,0.3527754336449031,0.45392391692197087,0.27968256656792995,1.0
61,4 days 10:00:00,2469150.3252159483,1571.353023739716,1300.2715024951742,0.3480962979950882,0.45392391692197087,0.27483915402311504,1.0
62,4 days 11:00:00,2444870.2967815655,1563.6081020452552,1276.3765524921655,0.34694923743161127,0.45392391692197087,0.27374458168590926,1.0
63,4 days 12:00:00,1986163.7852965314,1409.3132317893462,1101.2115963833837,0.3053921851669665,0.3010702557305928,0.24124174374129412,1.0
64,4 days 13:00:00,1638263.9733458546,1279.946863485299,1000.7159791114126,0.26616894814830944,0.165804287652369,0.21249808019600222,1.0
65,4 days 14:00:00,1466727.4449002882,1211.0852343663878,960.3776375226906,0.2254835961344701,0.15060692199624054,0.18471521448201147,1.0
66,4 days 15:00:00,1659047.7396000896,1288.0402709543246,1005.4026462531698,0.2011144094862148,0.15060692199624054,0.16754002230407425,1.0
67,4 days 16:00:00,1932767.4899181442,1390.2400835532487,1066.0474437583384,0.1703729526984589,0.15060692199624054,0.1468783259459787,1.0
68,4 days 17:00:00,2469692.4259183556,1571.5255091529236,1180.6642686639188,0.15099157332895843,0.15060692199624054,0.13377578316829322,0.9166666666666666
69,4 days 18:00:00,3155032.445807273,1776.2411001345715,1332.7009916425852,0.14836328062575757,0.15060692199624054,0.13190013162030673,0.8333333333333334
70,4 days 19:00:00,3846814.603323586,1961.3298048323197,1504.381013709725,0.15997999248858089,0.15060692199624054,0.14078066458737126,0.75
71,4 days 20:00:00,4444221.729473314,2108.132284623836,1721.958460649411,0.18701516328811962,0.2145023561160816,0.16381080228952707,0.75
72,4 days 21:00:00,5023049.331956868,2241.216038662241,1938.917719510321,0.21803489792399808,0.2513234802383005,0.18985841353623178,0.75
73,4 days 22:00:00,5810017.722375252,2410.397834876071,2190.835626376366,0.26410792168596997,0.29050237348264735,0.22576020568682653,0.6666666666666666
74,4 days 23:00:00,6639707.264502018,2576.762943016299,2425.1417416414765,0.31955268838086737,0.3268670051375824,0.26592767672163126,0.5833333333333334
75,5 days 00:00:00,7405328.088411019,2721.273247656512,2657.1172461315855,0.3807761406167,0.3432888896324132,0.30971846894347194,0.5833333333333334
76,5 days 01:00:00,8107649.531444834,2847.393462703185,2822.6635037394626,0.44553138803882053,0.35500077068832775,0.3521414535955761,0.5833333333333334
77,5 days 02:00:00,8438486.690925466,2904.907346358136,2894.1727532091586,0.4951227137329381,0.36737223892479437,0.3847057438031716,0.5833333333333334
78,5 days 03:00:00,8622160.389111625,2936.3515438570403,2929.2724943239095,0.5536031471299375,0.46767060111957526,0.4201882761387668,0.5833333333333334
79,5 days 04:00:00,8544101.302635819,2923.029473446311,2913.83347162131,0.5994131955185497,0.6323346368733876,0.4489977083325865,0.5833333333333334
80,5 days 05:00:00,8208884.170368686,2865.115036149279,2850.5980569817257,0.6359217116433822,0.7314518015677949,0.4718389708359909,0.6666666666666666
81,5 days 06:00:00,7715316.441984549,2777.6458453129962,2755.521089885559,0.6548242203130116,0.7314518015677949,0.4843069067904305,0.75
82,5 days 07:00:00,7191494.349563976,2681.696170255679,2645.764080593978,0.6569681779558679,0.7314518015677949,0.4858323541286796,0.8333333333333334
83,5 days 08:00:00,6719319.535191459,2592.1650285410956,2524.881424582481,0.6461208101189927,0.7314518015677949,0.4774028464022315,0.8333333333333334
84,5 days 09:00:00,6194735.902810574,2488.9226389766663,2372.5258399679615,0.6237148987159663,0.7314518015677949,0.45951002051444384,0.8333333333333334
85,5 days 10:00:00,5464441.606982935,2337.6145120577376,2185.255438590917,0.5852474638350532,0.7314518015677949,0.4308369156101606,0.9166666666666666
86,5 days 11:00:00,4758292.115551225,2181.350984035175,2026.4765323139618,0.5381946092499509,0.6678313495952918,0.39835221405509796,1.0
87,5 days 12:00:00,4104564.2480112948,2025.9724203481385,1871.9047196486208,0.48471152619659513,0.4812795685632423,0.3617748792488061,1.0
88,5 days 13:00:00,3654141.567953667,1911.5809080323195,1785.0670717780376,0.427827139748204,0.295593470528824,0.32610299242724977,1.0
